帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/老福記-欣廣福(XZR125A20,2024/02/18,17:22:52,您好！明天幫我送玉米一件白花兩件玉米筍一件三色豆一件謝謝！新年快樂！
Account,自動回應訊息,2024/02/18,17:22:53,貼圖已傳送
Account,自動回應訊息,2024/02/18,17:22:53,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/02/19,10:57:42,老闆不好意思~我們三色豆數量不足，先請司機帶6包過去給您，到貨後再通知您
User,鳳山/老福記-欣廣福(XZR125A20,2024/03/19,10:22:50,明天幫我送玉米兩件青花兩件三色豆一件
Account,林鈺婷,2024/03/19,10:42:12,貼圖已傳送
User,鳳山/老福記-欣廣福(XZR125A20,2024/08/05,14:13:04,"你好!明天幫我送兩件白花,兩件青花,一件毛豆仁,一件三色豆,一件玉米,謝謝!"
Account,林鈺婷,2024/08/05,14:29:00,貼圖已傳送
Account,林鈺婷,2024/08/05,15:47:34,老闆娘我們目前玉米粒只有小包裝的，一箱15公斤975元，請問可以嗎?
User,鳳山/老福記-欣廣福(XZR125A20,2024/08/05,19:09:06,可以
Account,自動回應訊息,2024/08/05,19:09:06,貼圖已傳送
Account,自動回應訊息,2024/08/05,19:09:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/08/06,15:53:43,"老闆娘您好~這是我們所有產品的品項和圖片給您參考
988 DM目錄，點擊網址即可查看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
User,鳳山/老福記-欣廣福(XZR125A20,2024/11/12,16:29:18,你好我這裡是老福記明天幫我送毛豆仁一箱，玉米一箱，白花兩件，青花兩件，敏豆一件，白苦瓜一件，
User,鳳山/老福記-欣廣福(XZR125A20,2024/11/12,16:29:46,谢謝！
Account,林鈺婷,2024/11/12,16:31:24,青花菜目前只有小包裝請問可以嗎?
User,鳳山/老福記-欣廣福(XZR125A20,2024/11/12,16:31:24,不好意思，我明天店休，幫我改後天送，.謝謝！
Account,林鈺婷,2024/11/12,16:31:40,苦瓜目前已經售完不好意思
User,鳳山/老福記-欣廣福(XZR125A20,2024/11/12,16:32:19,那青花現在一件多少
Account,林鈺婷,2024/11/12,16:33:03,一箱10公斤 550元
User,鳳山/老福記-欣廣福(XZR125A20,2024/11/12,16:59:32,好
User,鳳山/老福記-欣廣福(XZR125A20,2025/04/08,11:21:34,您好明天幫我送玉米一件三色豆一件毛豆仁一件白花青花各兩件你們有沒有賣魚板絲有的話幫我來一包
Account,林鈺婷,2025/04/08,11:21:55,不好意思~我們目前沒有魚板絲
User,鳳山/老福記-欣廣福(XZR125A20,2025/04/08,11:22:22, 好的
Account,☆羅惠君☆,2025/04/10,15:41:57,老闆娘好 剛剛電話連絡明天過去2箱玉米  感謝
User,鳳山/老福記-欣廣福(XZR125A20,2025/05/12,14:38:54,老闆：我明天玉米兩件，毛豆仁一件，青花兩件，白花兩件，謝謝！
Account,☆羅惠君☆,2025/05/12,14:39:15,貼圖已傳送
User,鳳山/老福記-欣廣福(XZR125A20,2025/06/30,14:23:22,老闆我明天玉米一件青花兩件白花兩件毛豆仁一件三色豆一件
Account,☆羅惠君☆,2025/06/30,14:26:39,貼圖已傳送
