帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/12/19,14:23:34,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/12/19,14:23:34,"葦歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,九如/後庄自助餐(C512ZZZZZZ),2024/12/19,14:23:54,九如後庄自助餐
Account,林鈺婷,2024/12/19,14:26:17,老闆您好~請問方便留地址和電話嗎?
User,九如/後庄自助餐(C512ZZZZZZ),2024/12/19,17:34:20,屏東縣九如鄉後庄村文化街66號，0903189533
User,九如/後庄自助餐(C512ZZZZZZ),2024/12/30,08:35:46,"白口 3 號，ㄧ箱

白帶魚切，4/5、5/6 ㄧ箱

炙燒腿排50塊，ㄧ箱"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/12/30,09:02:28,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2024/12/30,10:48:48,你好，魚排有照片嗎
Account,林鈺婷,2024/12/30,11:11:00,照片已傳送
Account,林鈺婷,2024/12/30,11:11:00,照片已傳送
Account,林鈺婷,2024/12/30,11:11:00,照片已傳送
Account,林鈺婷,2024/12/30,11:11:04,這是冷凍魚排
Account,林鈺婷,2024/12/30,11:11:49,照片已傳送
Account,林鈺婷,2024/12/30,11:11:49,照片已傳送
Account,林鈺婷,2024/12/30,11:11:51,這是虱目魚排
User,九如/後庄自助餐(C512ZZZZZZ),2024/12/30,13:42:35,收到謝謝
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/02,08:55:10,"80/100
100/120
肉魚請問哪個比較大尾"
Account,林鈺婷,2025/01/02,08:56:03,100/120比較大喔~
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/02,08:57:39,"ㄧ件，越南肉魚，80/100

ㄧ件，裹粉 柳葉魚 M

ㄧ件，香酥魚排"
Account,俐均,2025/01/02,09:00:00,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/02,12:24:42,在麻煩早點來，謝謝
Account,俐均,2025/01/02,12:29:42,好的
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/06,08:33:11,"白口 3 號，ㄧ箱

炙燒腿排50塊，兩箱"
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/06,08:33:17,在麻煩早點來，謝謝
Account,林鈺婷,2025/01/06,08:35:15,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/09,09:12:01,貨還有，今天不用進貨 謝謝
Account,林鈺婷,2025/01/09,09:15:50,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/13,08:27:58,"無骨香酥雞排 60p，ㄧ件

金線魚，ㄧ件

炙燒腿排50p，ㄧ件"
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/13,08:28:11,在麻煩早點來，謝謝
Account,林鈺婷,2025/01/13,08:32:10,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/20,09:05:17,"白口 3 號，ㄧ箱

白帶魚切，4/5、5/6 ㄧ箱

M 柳葉魚，ㄧ箱"
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/20,09:05:23,在麻煩早點來，謝謝
Account,俐均,2025/01/20,09:21:14,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/23,10:11:20,今天不用，星期一在叫貨 謝謝
Account,俐均,2025/01/23,10:16:56,收到
Account,俐均,2025/01/23,10:16:59,謝謝
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/26,21:08:17,"無骨香酥雞排 60p，ㄧ件

金線魚，ㄧ件

炙燒腿排50p，ㄧ件"
Account,自動回應訊息,2025/01/26,21:08:18,貼圖已傳送
Account,自動回應訊息,2025/01/26,21:08:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/26,21:19:48,"更改

無骨香酥雞排 60p，ㄧ件

金線魚，ㄧ件

炙燒腿排50p，2 件"
Account,自動回應訊息,2025/01/26,21:19:49,貼圖已傳送
Account,自動回應訊息,2025/01/26,21:19:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/27,09:10:47,"更改

無骨香酥雞排 60p，ㄧ件

金線魚，ㄧ件

炙燒腿排50p，2 件"
Account,林鈺婷,2025/01/27,09:14:53,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/01/29,10:03:08,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/02/10,08:36:20,"無骨香酥雞排 60p，ㄧ件

最小尺寸 金線魚，ㄧ件

炙燒腿排50p，2 件"
User,九如/後庄自助餐(C512ZZZZZZ),2025/02/10,08:36:40,在麻煩早點來，謝謝
Account,林鈺婷,2025/02/10,09:00:51,老闆不好意思~目前金線魚缺貨中
User,九如/後庄自助餐(C512ZZZZZZ),2025/02/10,09:24:09,最小尺寸 白帶魚，ㄧ件
Account,林鈺婷,2025/02/10,09:26:14,"最小尺寸的白帶魚切塊有調漲喔~一箱1350元
還是要用大一個規格的白帶魚切塊一箱1250元"
User,九如/後庄自助餐(C512ZZZZZZ),2025/02/17,09:34:35,"無骨香酥雞排 60p，ㄧ件

白口魚 最小尺寸 ，ㄧ件

炙燒腿排50p，2 件"
Account,俐均,2025/02/17,09:35:07,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/02/24,08:07:50,"白口魚 最小尺寸 ，ㄧ件

炙燒腿排50p，2 件"
Account,自動回應訊息,2025/02/24,08:07:51,貼圖已傳送
Account,自動回應訊息,2025/02/24,08:07:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/後庄自助餐(C512ZZZZZZ),2025/03/03,08:22:59,"越南肉魚100/120，ㄧ件

炙燒腿排50p，2 件"
Account,林鈺婷,2025/03/03,08:33:45,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/03/10,08:33:26,"白口魚 最小尺寸 ，ㄧ件

炙燒腿排50p，2 件"
Account,林鈺婷,2025/03/10,08:33:44,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/03/17,08:33:28,"白口魚 最小尺寸 ，ㄧ件

無骨香酥雞排 60p，ㄧ件

哈克魚，ㄧ件"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/03/17,08:39:27,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/03/23,14:53:21,"無骨香酥雞排 60p，2 件

炙燒腿排50p，2 件

越南肉魚100/120，ㄧ件

不好意思，可以方便早ㄧ點點來嗎"
User,九如/後庄自助餐(C512ZZZZZZ),2025/03/23,14:53:39,"無骨香酥雞排 60p，2 件

炙燒腿排50p，1 件

越南肉魚100/120，ㄧ件

不好意思，可以方便早ㄧ點點來嗎"
User,九如/後庄自助餐(C512ZZZZZZ),2025/03/23,14:54:28,照這單謝謝
Account,俐均,2025/03/24,08:49:18,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/04/07,08:35:53,"無骨香酥雞排 60p，1 件

炙燒腿排50p，2 件

越南肉魚100/120，ㄧ件

最小尺寸 白帶魚，ㄧ件


不好意思，可以方便早ㄧ點點來嗎"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/04/07,08:40:41,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/04/14,09:18:22,"白口魚 最小尺寸 ，ㄧ件

炙燒腿排50p，2 件

越南肉魚100/120，ㄧ件

不好意思，可以方便早ㄧ點點來嗎"
Account,林鈺婷,2025/04/14,09:20:56,盡量請司機安排喔~不好意思
User,九如/後庄自助餐(C512ZZZZZZ),2025/04/21,09:21:21,"炙燒腿排50p，2 件

哈克魚，ㄧ件"
Account,林鈺婷,2025/04/21,09:31:03,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/04/28,08:50:54,"炙燒腿排50p，2 件

白口魚 最小尺寸 ，ㄧ件

最小尺寸 金線魚，ㄧ件"
Account,林鈺婷,2025/04/28,08:54:51,貼圖已傳送
Account,林鈺婷,2025/04/28,08:55:46,"老闆不好意思~我們金線魚目前缺貨
預計這個星期會到貨"
Account,林鈺婷,2025/04/28,09:12:46,照片已傳送
Account,林鈺婷,2025/04/28,09:12:46,照片已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/04/28,09:17:24,照片已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/04/28,09:17:30,這個
User,九如/後庄自助餐(C512ZZZZZZ),2025/04/28,09:17:40,在麻煩稍微早點來，謝謝
Account,俐均,2025/04/28,09:21:24,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/05/05,08:19:22,"無骨香酥雞排 60p，1 件

炙燒腿排50p，1 件

鐵路大排 60 p，1 件

越南肉魚100/120，1 件

挪威鯖魚切塊 40/60，1 件

不好意思，請早ㄧ點點來"
Account,自動回應訊息,2025/05/05,08:19:22,貼圖已傳送
Account,自動回應訊息,2025/05/05,08:19:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/05/05,08:37:34,貼圖已傳送
User,九如/後庄自助餐(C512ZZZZZZ),2025/05/12,09:06:47,"白口魚 最小尺寸 ，ㄧ件

柳葉魚 M ，1 件

哈克魚 1 件

無骨香酥雞排 60p，1 件"
Account,俐均,2025/05/12,09:08:31,貼圖已傳送
