帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,小港/吉利壽司米(RXY5HJF20),2024/01/10,14:17:10,"1/12（五）

鯖魚13/16 x4件
麻煩了，謝謝(!)

"
Account,林鈺婷,2024/01/10,14:19:27,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/01/25,14:06:39,"1/26（五）

鯖魚13/16 x4件
麻煩了，謝謝(!)

"
Account,林鈺婷,2024/01/25,14:07:07,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/02/05,17:01:20,"2/7（三）

鯖魚13/16 x4件
麻煩了，謝謝(!)

"
User,小港/吉利壽司米(RXY5HJF20),2024/02/05,17:01:45,"2/7（三）

鯖魚13/16 x4件
麻煩了，謝謝(!)

"
Account,林鈺婷,2024/02/05,17:03:59,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/02/25,12:14:38,"2/26（一）

鯖魚13/16 x4件
麻煩了，謝謝(!)

"
Account,自動回應訊息,2024/02/25,12:14:38,貼圖已傳送
Account,自動回應訊息,2024/02/25,12:14:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小港/吉利壽司米(RXY5HJF20),2024/03/13,17:03:25,"3/15 (五)

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,林鈺婷,2024/03/13,17:35:08,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/03/28,14:35:42,"3/29 (五)

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,林鈺婷,2024/03/28,14:36:59,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/04/11,14:42:38,"4/12 (五)

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,俐均,2024/04/11,14:42:44,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/04/29,09:22:03,"4/30（二）

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,林鈺婷,2024/04/29,09:22:23,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/05/20,14:11:29,"5/21（二）

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,俐均,2024/05/20,14:11:49,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/06/03,12:57:19,"6/4（二）

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,林鈺婷,2024/06/03,12:59:04,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/06/17,01:02:43,"6/17（一）

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,自動回應訊息,2024/06/17,01:02:44,貼圖已傳送
Account,自動回應訊息,2024/06/17,01:02:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,小港/吉利壽司米(RXY5HJF20),2024/07/08,14:04:39,"7/9（二）

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,林鈺婷,2024/07/08,14:06:34,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/07/22,14:02:14,"7/23（二）

鯖魚13/16 x4件
麻煩了，謝謝(!)
"
Account,林鈺婷,2024/07/22,15:21:22,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/08/08,09:58:29,"8/9（五）

鯖魚13/16 x4件
麻煩了，謝謝(!)

▪︎到貨前請提前電話聯絡抵達時間，麻煩了
謝謝(!)

"
Account,俐均,2024/08/08,11:04:24,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/08/08,13:42:45,"請司機事先聯絡抵達時間，提前至少20分鐘。
手機: 0983 730 457 陳
麻煩了，謝謝！
"
User,小港/吉利壽司米(RXY5HJF20),2024/08/08,14:01:21,"請司機事先聯絡抵達時間，提前至少20分鐘。
手機: 0983 730 457 陳
麻煩了，謝謝！
"
User,小港/吉利壽司米(RXY5HJF20),2024/08/08,14:01:25,貼圖已傳送
Account,俐均,2024/08/08,14:27:01,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/08/29,17:55:02,"8/30（五）

鯖魚13/16 x3件
麻煩了，謝謝(!)

請司機提前至少20分鐘聯絡抵達時間。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
Account,俐均,2024/08/29,17:57:31,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/09/24,14:53:03,"9/25（三）

送貨地址變更：
高雄市小港區松金街103號

鯖魚13/16 x3件

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
Account,林鈺婷,2024/09/24,14:53:52,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/10/11,14:15:42,"10/14（一）

送貨地址變更：
高雄市小港區松金街103號

鯖魚13/16 x3件

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
User,小港/吉利壽司米(RXY5HJF20),2024/10/11,14:16:10,"11:00～12:00為佳
謝謝(!)
"
Account,林鈺婷,2024/10/11,14:18:09,貼圖已傳送
Account,林鈺婷,2024/10/11,14:38:45,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/10/23,13:21:18,"10/24（四）

10/14（一）

送貨地址變更：
高雄市小港區松金街103號

鯖魚13/16 x5件

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
User,小港/吉利壽司米(RXY5HJF20),2024/10/23,13:21:42,"10/24（四）

送貨地址變更：
高雄市小港區松金街103號

鯖魚13/16 x5件

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
Account,林鈺婷,2024/10/23,14:14:19,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/10/28,14:18:55,"10/29（二）

高雄市小港區松金街103號

鯖魚13/16 x5件

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
Account,俐均,2024/10/28,14:19:20,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/12/10,16:06:50,照片已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/12/10,16:07:30,"160/200
請問有貨嗎？"
Account,俐均,2024/12/10,16:09:58,"老闆好
有的"
User,小港/吉利壽司米(RXY5HJF20),2024/12/10,16:11:53,"10/29（二）

高雄市小港區松金街103號

鯖魚16/20 x5件

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
Account,林鈺婷,2024/12/10,16:29:25,貼圖已傳送
Account,林鈺婷,2024/12/10,16:29:40,明天幫您送過去方便嗎?
User,小港/吉利壽司米(RXY5HJF20),2024/12/10,16:35:58,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/12/10,16:35:59,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/12/10,16:36:45,"日期錯誤
12/11（三）

不好意思，謝謝哦！
"
Account,林鈺婷,2024/12/10,16:39:00,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2024/12/27,16:01:37,"12/30（一）

高雄市小港區松金街103號

鯖魚16/20 x5件
@930

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！


"
Account,林鈺婷,2024/12/27,16:11:04,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/01/13,17:41:23,照片已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/01/13,17:42:07,請問還有供貨嗎？
Account,林鈺婷,2025/01/13,17:42:33,您好~160/200的優惠已經結束囉
Account,林鈺婷,2025/01/13,17:42:38,目前200/240還有
User,小港/吉利壽司米(RXY5HJF20),2025/01/13,17:43:08,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/01/14,17:28:08,"1/15（三）

高雄市小港區松金街103號

鯖魚20/24 x10件
@930

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！
"
Account,林鈺婷,2025/01/14,18:04:08,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/02/18,14:42:57,"鯖魚20/24  @930
有嗎？"
Account,林鈺婷,2025/02/18,14:43:23,您好~還有喔，優惠到12月底
Account,林鈺婷,2025/02/18,14:43:35,您好~還有喔，優惠到2月底
User,小港/吉利壽司米(RXY5HJF20),2025/02/18,14:45:03,"2/19（三）

高雄市小港區松金街103號

鯖魚20/24 x5件
@930

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！
"
Account,林鈺婷,2025/02/18,15:24:39,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/02/27,16:48:06,"2/28（四）

高雄市小港區松金街103號

鯖魚20/24 x5件
@930

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！
"
User,小港/吉利壽司米(RXY5HJF20),2025/02/27,16:49:12,"嗨！
沒注意你們休假
明天若休假
下週一送嗎？"
Account,俐均,2025/02/27,16:51:38,"老闆好
明天公休,是下星期安排幫您送"
User,小港/吉利壽司米(RXY5HJF20),2025/02/27,16:52:50,麻煩了，謝謝(!)
User,小港/吉利壽司米(RXY5HJF20),2025/03/28,17:11:10,"3/31（一）

高雄市小港區松金街103號

鯖魚20/24 x5件
@930

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。
手機: 0983 730 457 陳
麻煩了，謝謝！
"
Account,林鈺婷,2025/03/28,17:25:36,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/04/28,11:35:19,"4/29（二）

高雄市小港區松金街103號

鯖魚20/24 x5件
@930

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。（中午最好）
手機: 0983 730 457 陳
麻煩了，謝謝！
"
Account,林鈺婷,2025/04/28,11:38:08,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/06/02,11:11:15,"6/3（二）

高雄市小港區松金街103號

鯖魚20/24 x5件
@930

請司機提前至少20分鐘聯絡抵達時間，以便收貨付款。（中午最好）
手機: 0983 730 457 陳
麻煩了，謝謝！
"
Account,林鈺婷,2025/06/02,11:40:15,老闆不好意思~我們鯖魚200/240-5K目前缺貨中
User,小港/吉利壽司米(RXY5HJF20),2025/06/02,11:45:37,有什麼規格呢
Account,林鈺婷,2025/06/02,11:47:53,"您好~我們鯖魚優惠目前都結束了
現在5公斤/箱都是1150元
目前規格有80/100、130/160、160/200"
User,小港/吉利壽司米(RXY5HJF20),2025/06/02,12:44:57,"160/200 x3件

麻煩明天中午左右送來？11:30～12:30
謝謝(!)
"
Account,☆羅惠君☆,2025/06/02,12:49:19,會請司機盡量安排喔
User,小港/吉利壽司米(RXY5HJF20),2025/06/17,14:05:17,"6/18（三）

160/200 x3件

麻煩明天中午送來？11:30～13:00
（中午前無人可收貨）
謝謝
"
Account,俐均,2025/06/17,14:06:19,"老闆好
會請司機安排,謝謝"
User,小港/吉利壽司米(RXY5HJF20),2025/06/17,14:06:33,貼圖已傳送
User,小港/吉利壽司米(RXY5HJF20),2025/06/29,14:50:22,"6/30（一）

160/200 x3件

麻煩明天中午送來？11:30～13:00
（中午前無人可收貨）
謝謝
"
Account,林鈺婷,2025/06/30,08:34:43,貼圖已傳送
