帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,長治/繁華燒肉飯(ZCGBZ0000),2024/01/14,14:40:09,明天兩件鯖魚
Account,自動回應訊息,2024/01/14,14:40:09,貼圖已傳送
Account,自動回應訊息,2024/01/14,14:40:09,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/繁華燒肉飯(ZCGBZ0000),2024/02/28,14:43:24,鯖魚6k*2件
Account,林鈺婷,2024/02/28,14:55:34,貼圖已傳送
User,長治/繁華燒肉飯(ZCGBZ0000),2024/02/28,14:57:08,請問最近幾次叫的魚刺很多喔
Account,林鈺婷,2024/02/28,15:03:58,老闆不好意思～我們會再跟生產線反應
User,長治/繁華燒肉飯(ZCGBZ0000),2024/03/27,17:06:31,明天兩件6K鯖魚
Account,俐均,2024/03/27,17:08:00,貼圖已傳送
User,長治/繁華燒肉飯(ZCGBZ0000),2024/04/21,16:03:32,鯖魚兩件5k
Account,自動回應訊息,2024/04/21,16:03:32,貼圖已傳送
Account,自動回應訊息,2024/04/21,16:03:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/繁華燒肉飯(ZCGBZ0000),2024/05/12,16:08:01,鯖魚6k-4箱
Account,自動回應訊息,2024/05/12,16:08:01,貼圖已傳送
Account,自動回應訊息,2024/05/12,16:08:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/繁華燒肉飯(ZCGBZ0000),2024/06/30,08:36:21,明天2件6k鯖魚
Account,自動回應訊息,2024/06/30,08:36:22,貼圖已傳送
Account,自動回應訊息,2024/06/30,08:36:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/繁華燒肉飯(ZCGBZ0000),2024/07/01,07:11:42,今天要兩件6k鯖魚
Account,自動回應訊息,2024/07/01,07:11:43,貼圖已傳送
Account,自動回應訊息,2024/07/01,07:11:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/繁華燒肉飯(ZCGBZ0000),2024/08/29,06:20:32,今天兩件鯖魚
Account,自動回應訊息,2024/08/29,06:20:33,貼圖已傳送
