帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:10
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/21,15:02:30,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/03/21,15:02:30,"郭志明歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,枋寮/家家福(RRZ5RZX00),2025/03/21,15:02:39,枋寮家家福
Account,林鈺婷,2025/03/21,15:03:04,老闆您好~
User,枋寮/家家福(RRZ5RZX00),2025/03/24,14:03:13,海苔柳葉魚一箱 謝謝
Account,林鈺婷,2025/03/24,14:04:53,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/03/27,19:54:00,海苔柳葉魚一箱 謝謝
Account,自動回應訊息,2025/03/27,19:54:00,貼圖已傳送
Account,自動回應訊息,2025/03/27,19:54:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/03/27,23:01:59,好的
User,枋寮/家家福(RRZ5RZX00),2025/03/31,13:11:19,海苔柳葉魚兩箱 謝謝
Account,俐均,2025/03/31,13:58:27,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/04/07,13:59:48,海苔柳葉魚一箱 謝謝
User,枋寮/家家福(RRZ5RZX00),2025/04/07,14:00:35,改兩箱 謝謝
Account,☆羅惠君☆,2025/04/07,14:32:16,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/04/14,11:31:40,海苔柳葉魚兩箱 謝謝
Account,林鈺婷,2025/04/14,11:32:44,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/04/17,14:51:10,不用喔 謝謝
User,枋寮/家家福(RRZ5RZX00),2025/04/21,14:03:16,海苔柳葉魚1箱 謝謝
Account,林鈺婷,2025/04/21,14:03:37,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/05/01,14:05:33,海苔柳葉魚1箱 謝謝
Account,俐均,2025/05/02,08:42:17,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/05/05,17:39:46,海苔柳葉魚1箱 謝謝
Account,☆羅惠君☆,2025/05/05,17:40:27,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/05/12,11:36:21,"5/13
海苔柳葉魚 一箱 謝謝"
Account,☆羅惠君☆,2025/05/12,11:36:29,貼圖已傳送
Account,林鈺婷,2025/05/12,11:48:42,"老闆不好意思~海苔柳葉魚目前缺貨中，要不要考慮黃金柳葉魚
M的3公斤一箱580元
L的3公斤一箱630元"
User,枋寮/家家福(RRZ5RZX00),2025/05/12,12:00:33,請問5/16會有貨嗎
Account,林鈺婷,2025/05/12,12:15:35,目前還不確定，不好意思
User,枋寮/家家福(RRZ5RZX00),2025/05/12,12:20:26,那我禮拜四那天再叫貨 謝謝你
User,枋寮/家家福(RRZ5RZX00),2025/05/15,11:41:50,"5/16
海苔柳葉魚 2箱"
Account,☆羅惠君☆,2025/05/15,12:31:11,"老闆好
海苔柳葉魚目前已賣完了
明天帶新品 裹粉調味柳葉魚 過去給您看好嗎?"
User,枋寮/家家福(RRZ5RZX00),2025/05/15,12:32:01,價格多少呢
Account,☆羅惠君☆,2025/05/15,15:16:34,一箱5公斤700元
User,枋寮/家家福(RRZ5RZX00),2025/05/22,11:42:22,"5/23
黃金柳葉魚M 兩箱"
Account,☆羅惠君☆,2025/05/22,11:43:15,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/05/26,11:53:14,"5/27
黃金柳葉魚m 3箱"
Account,☆羅惠君☆,2025/05/26,11:53:23,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/06/02,14:06:09,"6/3
黃金柳葉魚m 3箱"
Account,☆羅惠君☆,2025/06/02,14:08:47,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/06/05,12:03:45,"6/6
黃金柳葉魚m 1箱"
Account,☆羅惠君☆,2025/06/05,12:03:59,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/06/09,10:51:09,"6/10
黃金柳葉魚m 3箱"
Account,☆羅惠君☆,2025/06/09,12:41:59,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/06/12,11:58:52,"6/13
黃金柳葉魚m 1箱"
Account,☆羅惠君☆,2025/06/12,11:59:23,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/06/16,11:34:05,"6/17
黃金柳葉魚m 2箱"
Account,☆羅惠君☆,2025/06/16,11:34:18,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/06/17,15:38:36,你好 請問一下貨大概幾點到
Account,☆羅惠君☆,2025/06/17,15:39:55,老闆請等一下，聯繫司機中喔
User,枋寮/家家福(RRZ5RZX00),2025/06/17,15:40:27,好 謝謝
User,枋寮/家家福(RRZ5RZX00),2025/06/23,10:28:22,"6/24
黃金柳葉魚m 4箱"
Account,林鈺婷,2025/06/23,10:29:12,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/06/30,14:30:26,"7/1
黃金柳葉魚m 5箱"
Account,☆羅惠君☆,2025/06/30,14:38:16,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/07/07,16:23:04,7/8黃金柳葉魚m 4箱
Account,☆羅惠君☆,2025/07/08,08:21:53,貼圖已傳送
User,枋寮/家家福(RRZ5RZX00),2025/07/10,11:46:01,7/11黃金柳葉魚 m 1箱
Account,俐均,2025/07/10,11:55:11,貼圖已傳送
