帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,屏市/燿壽司(UGNQ2G000),2024/01/11,06:00:46,鯖魚1
Account,自動回應訊息,2024/01/11,06:00:46,貼圖已傳送
Account,自動回應訊息,2024/01/11,06:00:46,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/11,08:31:27,明天幫您送過去喔
User,屏市/燿壽司(UGNQ2G000),2024/01/23,01:41:16,鯖魚1
Account,自動回應訊息,2024/01/23,01:41:17,貼圖已傳送
Account,自動回應訊息,2024/01/23,01:41:17,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/燿壽司(UGNQ2G000),2024/02/14,21:41:18,麻煩柳葉魚1！謝謝
Account,自動回應訊息,2024/02/14,21:41:18,貼圖已傳送
Account,自動回應訊息,2024/02/14,21:41:18,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/14,22:56:03,收到，星期五會送去
User,屏市/燿壽司(UGNQ2G000),2024/03/19,09:19:54,抱歉
User,屏市/燿壽司(UGNQ2G000),2024/03/19,09:20:11,請問今天要青花魚還來的及嗎😅😅
Account,林鈺婷,2024/03/19,09:20:12,您好～
User,屏市/燿壽司(UGNQ2G000),2024/03/19,09:20:16,昨天忘記叫
Account,林鈺婷,2024/03/19,09:20:28,可以喔，請問一件就好嗎
User,屏市/燿壽司(UGNQ2G000),2024/03/19,09:50:15,對的
User,屏市/燿壽司(UGNQ2G000),2024/04/11,14:08:26,青花魚1 柳葉魚1
Account,俐均,2024/04/11,14:13:59,貼圖已傳送
User,屏市/燿壽司(UGNQ2G000),2024/04/17,18:26:04,請問現在有柳葉魚（原料）嗎
Account,自動回應訊息,2024/04/17,18:26:05,貼圖已傳送
Account,自動回應訊息,2024/04/17,18:26:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/18,08:36:57,"老闆娘您好
目前缺貨"
User,屏市/燿壽司(UGNQ2G000),2024/05/06,15:26:03,請問有柳葉魚嗎
Account,林鈺婷,2024/05/06,15:26:40,不好意思~原本的目前都缺貨中，只有柳葉魚一夜干可以嗎?
User,屏市/燿壽司(UGNQ2G000),2024/05/13,13:19:52,明天要麻煩青花魚1
Account,俐均,2024/05/13,14:02:13,貼圖已傳送
User,屏市/燿壽司(UGNQ2G000),2024/05/14,10:34:40,你好！今天我們公休，貨麻煩幫我放椅子上即可！
User,屏市/燿壽司(UGNQ2G000),2024/05/14,10:34:48,貨款禮拜五結方便嗎
Account,俐均,2024/05/14,10:42:52,好
Account,俐均,2024/05/14,10:42:54,謝謝
User,屏市/燿壽司(UGNQ2G000),2024/05/23,15:53:05,您好，請問我們叫的青花魚尺寸是朵大的？（幾隻的）
Account,林鈺婷,2024/05/23,15:55:37,"您好~通常一箱都是20公斤
尺寸是400-600的"
User,屏市/燿壽司(UGNQ2G000),2024/05/23,16:11:26,現在價格為？
Account,林鈺婷,2024/05/23,16:14:08,一公斤130元
Account,林鈺婷,2024/05/24,09:22:56,老闆娘不好意思~昨天跟您報錯價格了，現在鯖魚原料價格一公斤是135元
User,屏市/燿壽司(UGNQ2G000),2024/05/26,09:43:58,你好！請問週三能送嗎😅😅
Account,自動回應訊息,2024/05/26,09:43:59,貼圖已傳送
Account,自動回應訊息,2024/05/26,09:43:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/26,21:05:04,老闆娘好，屏東市星期二、五才有送貨
User,屏市/燿壽司(UGNQ2G000),2024/05/26,23:31:03,那禮拜二麻煩鯖魚一件
Account,自動回應訊息,2024/05/26,23:31:04,貼圖已傳送
Account,自動回應訊息,2024/05/26,23:31:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/燿壽司(UGNQ2G000),2024/05/26,23:31:12,但貨款可能要麻煩禮拜五😅
Account,自動回應訊息,2024/05/26,23:31:12,貼圖已傳送
Account,自動回應訊息,2024/05/26,23:31:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/27,00:04:05,好的
Account,王振華,2024/05/27,00:04:17,謝謝老闆娘
User,屏市/燿壽司(UGNQ2G000),2024/06/10,14:55:38,明天要麻煩送鯖魚，貨款星期五收可以嗎
Account,俐均,2024/06/10,17:30:03,貼圖已傳送
User,屏市/燿壽司(UGNQ2G000),2024/06/10,18:21:06,柳葉魚原料現在有貨了嗎
Account,自動回應訊息,2024/06/10,18:21:06,貼圖已傳送
Account,自動回應訊息,2024/06/10,18:21:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/06/10,21:06:15,老闆娘好，目前有柳葉魚一夜干
Account,王振華,2024/06/10,21:06:36,照片已傳送
Account,王振華,2024/06/10,21:08:06,星期五帶去讓您參考報價
User,屏市/燿壽司(UGNQ2G000),2024/06/11,20:15:13,你們有毛豆莢嗎？
Account,自動回應訊息,2024/06/11,20:15:13,貼圖已傳送
Account,自動回應訊息,2024/06/11,20:15:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/06/12,12:12:24,您好~有的喔 一箱10公斤(10包) 750元
User,屏市/燿壽司(UGNQ2G000),2024/07/11,12:16:54,"青花魚1
謝謝"
Account,俐均,2024/07/11,12:20:37,貼圖已傳送
User,屏市/燿壽司(UGNQ2G000),2024/08/13,11:11:28,青花魚1
Account,林鈺婷,2024/08/13,11:21:09,貼圖已傳送
Account,林鈺婷,2024/08/13,15:11:10,老闆娘星期五幫您送過去喔
User,屏市/燿壽司(UGNQ2G000),2024/09/18,22:45:25,要麻煩青花魚1
Account,自動回應訊息,2024/09/18,22:45:26,貼圖已傳送
Account,自動回應訊息,2024/09/18,22:45:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/09/19,00:37:37,謝謝老闆娘，星期五會送去
User,屏市/燿壽司(UGNQ2G000),2024/10/10,23:01:53,你好！鯖魚1件！謝謝
Account,自動回應訊息,2024/10/10,23:01:53,貼圖已傳送
