帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,竹田/美味快餐(AJDH00000),2024/01/10,14:36:13,明天早上幫我 送一箱鹹魚
Account,俐均,2024/01/10,14:36:24,貼圖已傳送
User,竹田/美味快餐(AJDH00000),2024/01/28,16:16:07,明天幫我送一箱鹹魚 謝謝
Account,自動回應訊息,2024/01/28,16:16:08,貼圖已傳送
Account,自動回應訊息,2024/01/28,16:16:08,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,竹田/美味快餐(AJDH00000),2024/01/31,08:21:56, 早上幫我送一箱鹹魚 謝謝
Account,林鈺婷,2024/01/31,08:36:59,老闆早~明天幫您送過去喔
User,竹田/美味快餐(AJDH00000),2024/01/31,12:14:38,我明天沒有 鹹魚煎 怎麼辦
Account,林鈺婷,2024/01/31,12:15:57,老闆想問一下你們營業到幾點，下午大約3、4點送過去方便嗎?
Account,俐均,2024/01/31,17:17:34,老闆
Account,俐均,2024/01/31,17:17:39,我們司機到了
Account,俐均,2024/01/31,17:17:47,請問有人在嗎?
User,竹田/美味快餐(AJDH00000),2024/01/31,17:18:03,叫他等一下好不好馬上過去
Account,俐均,2024/01/31,17:18:27,好
User,竹田/美味快餐(AJDH00000),2024/02/27,08:00:58,今天幫我送一箱鹹魚 謝謝
Account,自動回應訊息,2024/02/27,08:00:58,貼圖已傳送
Account,自動回應訊息,2024/02/27,08:00:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,竹田/美味快餐(AJDH00000),2024/03/15,08:24:00,早上一箱鹹魚謝謝
Account,林鈺婷,2024/03/15,08:29:51,老闆不好意思~我們竹田送貨是星期一和四
User,竹田/美味快餐(AJDH00000),2024/04/02,17:20:05,明天幫我送一箱鹹魚 謝謝
Account,俐均,2024/04/02,17:41:16,貼圖已傳送
User,竹田/美味快餐(AJDH00000),2024/04/19,07:29:11,早上幫我送一箱鹹魚 謝謝
Account,自動回應訊息,2024/04/19,07:29:11,貼圖已傳送
Account,自動回應訊息,2024/04/19,07:29:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/05/08,07:15:15,早上幫我送一箱鹹魚 謝謝
Account,自動回應訊息,2024/05/08,07:15:15,貼圖已傳送
Account,自動回應訊息,2024/05/08,07:15:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/05/25,09:36:57,有賣肉魚嗎給我報價
Account,自動回應訊息,2024/05/25,09:36:57,貼圖已傳送
Account,自動回應訊息,2024/05/25,09:36:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/05/25,09:37:55, 星期一給我一箱漏油 謝謝
Account,自動回應訊息,2024/05/25,09:37:55,貼圖已傳送
Account,自動回應訊息,2024/05/25,09:37:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/05/25,09:39:18,更正星期一給我一箱鹹魚 謝謝 不是 肉魚
Account,自動回應訊息,2024/05/25,09:39:19,貼圖已傳送
Account,自動回應訊息,2024/05/25,09:39:19,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/26,21:01:45,老闆好，肉魚4／5一箱10公斤，1350元，一尾19、5元
User,竹田/美味快餐(AJDH00000),2024/05/27,10:17:25,    肉魚多帶幾種規格讓我看看
Account,林鈺婷,2024/05/27,10:32:56,老闆不好意思，因為司機已經出門了，今天有帶過去跟您參考看看
User,竹田/美味快餐(AJDH00000),2024/06/16,14:02:57,明天送一箱鹹魚 (3Q)
Account,自動回應訊息,2024/06/16,14:02:57,貼圖已傳送
Account,自動回應訊息,2024/06/16,14:02:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/07/03,18:12:08, 明天 幫我送一箱肉魚 謝謝
Account,自動回應訊息,2024/07/03,18:12:08,貼圖已傳送
Account,自動回應訊息,2024/07/03,18:12:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/07/07,19:49:42,明天幫我送一箱鹹魚 謝謝
Account,自動回應訊息,2024/07/07,19:49:42,貼圖已傳送
Account,自動回應訊息,2024/07/07,19:49:42,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/07/29,07:24:24,早上幫我送一箱鹹魚 謝謝
Account,自動回應訊息,2024/07/29,07:24:24,貼圖已傳送
Account,自動回應訊息,2024/07/29,07:24:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/08/14,08:01:27,貼圖已傳送
User,竹田/美味快餐(AJDH00000),2024/08/14,08:01:27,"  今幫我送1  
箱鹹魚"
Account,自動回應訊息,2024/08/14,08:01:28,貼圖已傳送
Account,自動回應訊息,2024/08/14,08:01:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,自動回應訊息,2024/08/14,08:01:28,貼圖已傳送
Account,自動回應訊息,2024/08/14,08:01:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/08/29,21:40:40,貼圖已傳送
User,竹田/美味快餐(AJDH00000),2024/08/29,21:40:40,"明早幫我送1
箱鹹魚"
Account,自動回應訊息,2024/08/29,21:40:41,貼圖已傳送
Account,自動回應訊息,2024/08/29,21:40:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,自動回應訊息,2024/08/29,21:40:41,貼圖已傳送
Account,自動回應訊息,2024/08/29,21:40:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/09/16,08:11:17,"  早上幫我送1
  箱鹹魚"
Account,自動回應訊息,2024/09/16,08:11:17,貼圖已傳送
Account,自動回應訊息,2024/09/16,08:11:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/10/08,07:54:05,貼圖已傳送
User,竹田/美味快餐(AJDH00000),2024/10/08,07:54:05,早上幫我送1 箱鹹魚，
Account,自動回應訊息,2024/10/08,07:54:06,貼圖已傳送
Account,自動回應訊息,2024/10/08,07:54:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,自動回應訊息,2024/10/08,07:54:06,貼圖已傳送
Account,自動回應訊息,2024/10/08,07:54:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/10/08,11:03:42,老闆不好意思 我們這個目前缺貨 先幫您送品質比較好的可以嗎？平均一片多一元
User,竹田/美味快餐(AJDH00000),2024/11/01,07:57:52, 今天早上幫我送一箱鹹魚
Account,自動回應訊息,2024/11/01,07:57:53,貼圖已傳送
Account,自動回應訊息,2024/11/01,07:57:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竹田/美味快餐(AJDH00000),2024/11/18,07:38:21,今早上幫我送一箱鹹鱼Ok
