帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,九如/家鄉味燒臘(RVJGX1200),2024/01/10,14:03:56,明天幫我送裏粉豬排一箱
Account,林鈺婷,2024/01/10,14:04:17,貼圖已傳送
User,九如/家鄉味燒臘(RVJGX1200),2024/01/14,19:10:37,幫我送玉米粒一箱10包裝
Account,自動回應訊息,2024/01/14,19:10:37,貼圖已傳送
Account,自動回應訊息,2024/01/14,19:10:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/家鄉味燒臘(RVJGX1200),2024/01/27,14:45:25,裏粉豬排一箱
Account,自動回應訊息,2024/01/27,14:45:25,貼圖已傳送
Account,自動回應訊息,2024/01/27,14:45:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/家鄉味燒臘(RVJGX1200),2024/02/21,13:44:44,裏粉豬排一箱、玉米粒一箱10包裝的
Account,俐均,2024/02/21,13:59:42,貼圖已傳送
User,九如/家鄉味燒臘(RVJGX1200),2024/03/06,14:52:57,青花菜一箱、裏粉豬排一箱
Account,俐均,2024/03/06,14:55:03,"老闆娘您好
散裝青花目前缺貨
幫您送小包裝青花好嗎?"
Account,俐均,2024/03/06,14:55:31,"再多訂一件菜
可以再折100元"
Account,俐均,2024/03/06,14:56:01,青花與白花都可以喔
User,九如/家鄉味燒臘(RVJGX1200),2024/03/06,14:56:39,不用了、送小包裝沒關係
Account,俐均,2024/03/06,14:56:48,好的
Account,俐均,2024/03/06,14:56:52,貼圖已傳送
User,九如/家鄉味燒臘(RVJGX1200),2024/03/13,14:02:56,玉米粒一箱10包的喔
Account,俐均,2024/03/13,14:03:07,貼圖已傳送
User,九如/家鄉味燒臘(RVJGX1200),2024/03/20,13:33:47,請問一下鯊魚片一箱多少
User,九如/家鄉味燒臘(RVJGX1200),2024/03/20,13:34:17,裡面有沒有秋刀魚大號的
Account,俐均,2024/03/20,14:00:34,老闆娘您好
Account,俐均,2024/03/20,14:00:46,一箱800元
