帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/04,13:36:08,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/04,13:36:08,"侯又權歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,仁武/五方市中式便當,2025/06/04,13:36:14,五方市中式便當
User,仁武/五方市中式便當,2025/06/04,13:36:24,仁武區文學路一段49號
Account,☆羅惠君☆,2025/06/04,14:01:54,您好
Account,林鈺婷,2025/06/04,14:07:36,"老闆這是我們的DM目錄可以參考看看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
User,仁武/五方市中式便當,2025/06/04,14:20:40,好的，謝謝
User,仁武/五方市中式便當,2025/06/12,22:42:38,阿里山熟雞腿兩箱
Account,自動回應訊息,2025/06/12,22:42:38,貼圖已傳送
Account,自動回應訊息,2025/06/12,22:42:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,仁武/五方市中式便當,2025/06/12,22:42:54,五方市中式便當
Account,自動回應訊息,2025/06/12,22:42:55,貼圖已傳送
Account,自動回應訊息,2025/06/12,22:42:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,仁武/五方市中式便當,2025/06/12,22:43:08,仁武文學路一段49號
Account,自動回應訊息,2025/06/12,22:43:09,貼圖已傳送
Account,自動回應訊息,2025/06/12,22:43:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,仁武/五方市中式便當,2025/06/12,22:43:17,統編90381307
Account,自動回應訊息,2025/06/12,22:43:17,貼圖已傳送
Account,自動回應訊息,2025/06/12,22:43:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,仁武/五方市中式便當,2025/06/12,22:43:28,全稱，五方市企業股份有限公司
Account,自動回應訊息,2025/06/12,22:43:29,貼圖已傳送
Account,自動回應訊息,2025/06/12,22:43:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/06/13,00:15:02,老闆好，我們仁武目前送貨時間為星期二、四，如不急下星期二會送去
User,仁武/五方市中式便當,2025/06/16,14:53:05,明天阿里山雞腿兩件
Account,☆羅惠君☆,2025/06/16,15:08:25,貼圖已傳送
User,仁武/五方市中式便當,2025/06/23,14:45:01,阿里山那天詢問業務可不可以18.5含稅，未回復
User,仁武/五方市中式便當,2025/06/23,14:45:35,侯還有月結
Account,林鈺婷,2025/06/23,14:46:08,您好~我詢問主管後回復您喔
Account,林鈺婷,2025/06/23,14:46:45,方便先配合先貨到付款一陣子，我們後續再看狀況改月結方便嗎?
Account,林鈺婷,2025/06/23,15:25:50,老闆您好~請問一次叫貨的量大約都多少呢?
User,仁武/五方市中式便當,2025/06/23,15:26:06,兩箱
User,仁武/五方市中式便當,2025/06/23,15:26:14,一個星期
Account,王振華,2025/06/23,18:38:02,老闆好，有跟公司争取了，如一次進貨4箱一支18.5含稅可以
User,仁武/五方市中式便當,2025/06/23,18:59:57,好哦我想一下
Account,自動回應訊息,2025/06/23,18:59:57,貼圖已傳送
Account,自動回應訊息,2025/06/23,18:59:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,仁武/五方市中式便當,2025/06/23,21:38:08,明來四箱好了，下次月結
Account,自動回應訊息,2025/06/23,21:38:08,貼圖已傳送
Account,自動回應訊息,2025/06/23,21:38:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/24,10:15:41,老闆，這邊先跟您說聲抱歉，我們這邊希望前三個月先以貨到付款的方式進行，等雙方配合穩定後，再視情況轉為月結方式，謝謝
User,仁武/五方市中式便當,2025/06/24,11:32:39,好的👌🏻
User,仁武/五方市中式便當,2025/06/24,13:54:33,發票記得下次補上 8881
Account,林鈺婷,2025/06/24,15:03:03,貼圖已傳送
