帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/15,13:41:40,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/11/15,13:41:40,"莊美玲歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,枋寮/灶腳私房菜(YRNZH1200),2024/11/15,13:41:54,東海灶腳
Account,林鈺婷,2024/11/15,14:00:45,老闆娘您好
Account,林鈺婷,2024/11/15,14:16:16,照片已傳送
User,枋寮/灶腳私房菜(YRNZH1200),2024/11/18,14:45:20,上次那個柳葉魚1箱
Account,林鈺婷,2024/11/18,14:47:18,貼圖已傳送
User,枋寮/灶腳私房菜(YRNZH1200),2024/11/18,14:55:38,玉米1箱
Account,林鈺婷,2024/11/18,14:56:14,貼圖已傳送
User,枋寮/灶腳私房菜(YRNZH1200),2024/12/06,08:11:24,玉米還有特價嗎
Account,自動回應訊息,2024/12/06,08:11:25,貼圖已傳送
Account,自動回應訊息,2024/12/06,08:11:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/灶腳私房菜(YRNZH1200),2024/12/06,08:11:35,如果有1箱
Account,自動回應訊息,2024/12/06,08:11:36,貼圖已傳送
Account,自動回應訊息,2024/12/06,08:11:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/灶腳私房菜(YRNZH1200),2024/12/06,08:12:10,海台柳業魚特價1箱
Account,自動回應訊息,2024/12/06,08:12:11,貼圖已傳送
Account,自動回應訊息,2024/12/06,08:12:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮/灶腳私房菜(YRNZH1200),2024/12/06,14:42:40,"100/120
120/140
報價"
Account,林鈺婷,2024/12/06,14:57:12,"100/120 一片50元
120/140 一片60元"
Account,王振華,2024/12/10,08:14:44,老闆娘好，今天有送貨，請問虱目魚肚有需要嗎？
User,枋寮/灶腳私房菜(YRNZH1200),2024/12/10,08:42:25,60元的10片
