帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,潮州/金十四便當(RBC5GDH00),2024/01/02,14:06:10,"鯖魚2箱
金日鴻便當 潮州店"
Account,林鈺婷,2024/01/02,14:06:52,貼圖已傳送
User,潮州/金十四便當(RBC5GDH00),2024/01/07,16:35:34,"鯖魚2箱
金日鴻便當 潮州店"
Account,自動回應訊息,2024/01/07,16:35:34,貼圖已傳送
Account,自動回應訊息,2024/01/07,16:35:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/01/09,13:52:28,請問鯖魚切塊1箱大概幾塊嗎？
Account,俐均,2024/01/09,13:59:59,約120塊左右
User,潮州/金十四便當(RBC5GDH00),2024/01/09,18:28:57,鯖魚切塊3箱
Account,自動回應訊息,2024/01/09,18:28:58,貼圖已傳送
Account,自動回應訊息,2024/01/09,18:28:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/01/15,23:21:25,"鯖魚2箱
金日鴻便當 潮州店"
Account,自動回應訊息,2024/01/15,23:21:25,貼圖已傳送
Account,自動回應訊息,2024/01/15,23:21:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/01/19,01:00:03,玉米粒1 箱
Account,自動回應訊息,2024/01/19,01:00:03,貼圖已傳送
Account,自動回應訊息,2024/01/19,01:00:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/01/22,22:43:31,"鯖魚2箱。玉米粒1箱
金日鴻便當 潮州店"
Account,自動回應訊息,2024/01/22,22:43:32,貼圖已傳送
Account,自動回應訊息,2024/01/22,22:43:32,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/01/22,22:43:46,玉米粒改2箱
Account,自動回應訊息,2024/01/22,22:43:47,貼圖已傳送
Account,自動回應訊息,2024/01/22,22:43:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/01/27,20:59:50,"鯖魚2箱。玉米粒2箱
金日鴻便當 潮州店"
Account,自動回應訊息,2024/01/27,20:59:51,貼圖已傳送
Account,自動回應訊息,2024/01/27,20:59:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/02/06,01:02:05,"鯖魚2箱。玉米粒1箱
金日鴻便當 潮州店"
Account,自動回應訊息,2024/02/06,01:02:06,貼圖已傳送
Account,自動回應訊息,2024/02/06,01:02:06,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/02/06,20:46:48,鯖魚1箱
Account,自動回應訊息,2024/02/06,20:46:49,貼圖已傳送
Account,自動回應訊息,2024/02/06,20:46:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/02/17,20:59:49,鯖魚2箱
Account,自動回應訊息,2024/02/17,20:59:49,貼圖已傳送
Account,自動回應訊息,2024/02/17,20:59:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/03/04,17:58:19,鯖魚2箱
Account,俐均,2024/03/04,18:00:58,貼圖已傳送
User,潮州/金十四便當(RBC5GDH00),2024/03/09,21:18:01,鯖魚2箱
Account,自動回應訊息,2024/03/09,21:18:02,貼圖已傳送
Account,自動回應訊息,2024/03/09,21:18:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/金十四便當(RBC5GDH00),2024/03/16,18:50:50,鯖魚2箱
Account,自動回應訊息,2024/03/16,18:50:51,貼圖已傳送
Account,自動回應訊息,2024/03/16,18:50:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,潮州/金十四便當(RBC5GDH00),2024/03/21,02:05:33,鯖魚2箱
Account,自動回應訊息,2024/03/21,02:05:33,貼圖已傳送
Account,自動回應訊息,2024/03/21,02:05:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
