帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/10/25,12:43:08,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/10/25,12:43:08,"莊訓貴歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三民/北高美家具(1EARRETZZ),2024/10/25,12:43:22,北高美
User,三民/北高美家具(1EARRETZZ),2024/10/25,12:43:42,照片已傳送
Account,俐均,2024/10/25,12:45:14,老闆您好
Account,俐均,2024/10/25,12:55:24,請問店名是?
Account,俐均,2024/10/25,18:03:43,貼圖已傳送
User,三民/北高美家具(1EARRETZZ),2024/10/25,19:45:20,阿貴海鮮
Account,自動回應訊息,2024/10/25,19:45:21,貼圖已傳送
Account,自動回應訊息,2024/10/25,19:45:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:01,"兄弟姊妹敖早
今日好康鬥相報
鮑魚32公克/(加1)粒
長約8公分/1粒
25粒/1包
1050元/1包
"
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:01,"可零售
32公克/(加1)粒
45元/1粒"
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:01,以上是大尺碼
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:03,"這是小包裝
鮑魚12粒/1包
200克/包
200元/包
5公分長/1粒
Q彈鮮甜
欲購從速
感恩"
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:18,照片已傳送
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:18,照片已傳送
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:19,照片已傳送
User,三民/北高美家具(1EARRETZZ),2024/12/24,11:37:27,照片已傳送
Account,林鈺婷,2024/12/24,11:42:50,貼圖已傳送
User,三民/北高美家具(1EARRETZZ),2025/01/28,11:53:25,"2025金蛇年總統賴清德、市長陳其邁走春行程
《總統、市長發福袋｜高雄市三民區》
日期：2025.01.30｜大年初二（四）
時段：11：20-12：00
地點：大港保安宮
（高雄市三民區十全一路52號）
為避開人流車潮，建議提早至11：00到場"
User,三民/北高美家具(1EARRETZZ),2025/01/28,11:53:28,照片已傳送
User,三民/北高美家具(1EARRETZZ),2025/01/28,11:53:30,照片已傳送
User,三民/北高美家具(1EARRETZZ),2025/01/28,11:53:32,照片已傳送
User,三民/北高美家具(1EARRETZZ),2025/06/23,15:59:07,"緊急通知‼️
我誤點幫忙投票的Line，手機被詐團利用，若有人以我名義或家具客戶蔡孟雪名義要借錢或投票等情事，皆是詐騙行為，請大家注意！
感謝大家  莊訓貴敬上"
Account,林鈺婷,2025/06/23,15:59:50,貼圖已傳送
