帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/20,13:09:22,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/05/20,13:09:22,"正文歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,屏市/饗佳便當(VR1200000),2025/05/20,13:09:56,饗佳便當 屏東中正路155之6號
Account,☆羅惠君☆,2025/05/20,14:01:23,老闆您好
Account,☆羅惠君☆,2025/05/21,10:59:13,"https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA
這是我們的DM可以參考看看，謝謝"
Account,林鈺婷,2025/05/21,11:11:09,"老闆您好~我們鮭魚輪切(單片真空包裝) 320/360克
一片230元"
User,屏市/饗佳便當(VR1200000),2025/05/22,14:02:12,沒關係 有點小貴
User,屏市/饗佳便當(VR1200000),2025/06/05,18:00:13,鮭魚有便宜的嗎
Account,自動回應訊息,2025/06/05,18:00:14,貼圖已傳送
Account,自動回應訊息,2025/06/05,18:00:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/06,08:43:33,目前只有單片真空包裝~單價都比較高 不好意思
Account,林鈺婷,2025/06/06,08:45:00,"單片真空320/360 鮭魚片
一片230元
給您參考看看"
User,屏市/饗佳便當(VR1200000),2025/06/20,11:20:50,你好
User,屏市/饗佳便當(VR1200000),2025/06/20,11:20:58,我們要訂鯖魚
Account,林鈺婷,2025/06/20,11:21:01,老闆您好~
User,屏市/饗佳便當(VR1200000),2025/06/20,11:21:02,饗佳
User,屏市/饗佳便當(VR1200000),2025/06/20,11:21:20,之前有叫過
Account,林鈺婷,2025/06/20,11:21:43,"不好意思~因為我們今天司機都出門了
所以下星期二幫您送過去可以嗎?"
User,屏市/饗佳便當(VR1200000),2025/06/20,11:21:49,好的
User,屏市/饗佳便當(VR1200000),2025/06/20,11:21:54,一箱
Account,林鈺婷,2025/06/20,11:22:01,貼圖已傳送
User,屏市/饗佳便當(VR1200000),2025/06/23,14:14:28,我們要訂鯖魚
Account,☆羅惠君☆,2025/06/23,14:43:24,"老闆好
請問是要之前有叫過的鯖魚130/160-5kg的 一箱嗎"
User,屏市/饗佳便當(VR1200000),2025/06/23,14:43:44,之前叫的
Account,☆羅惠君☆,2025/06/23,14:44:05,收到，謝謝老闆
