帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,屏市/躍愛廚房(M9TZ00000),2024/01/04,13:42:04,躍愛送貴妃雞排兩箱謝謝
Account,俐均,2024/01/04,13:51:59,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/01/18,13:22:23,躍愛白帶魚一箱 水針魚一箱謝謝
Account,林鈺婷,2024/01/18,14:02:56,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/01/22,14:04:41,躍愛送鯖魚三箱謝謝
Account,俐均,2024/01/22,14:05:38,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/01/29,13:39:26,躍愛送咕咾肉一箱謝謝
Account,俐均,2024/01/29,14:01:47,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/02/01,13:47:45,躍愛送貴妃雞排一箱鯖魚四箱謝謝
Account,俐均,2024/02/01,13:52:50,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/02/15,14:01:57,躍愛送鯖魚四箱
Account,林鈺婷,2024/02/15,14:04:03,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/02/19,13:52:58,躍愛送水針魚一箱 白帶魚一箱鯖魚四箱謝謝
Account,俐均,2024/02/19,13:54:23,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/02/26,11:03:40,躍愛送咕咾肉兩箱鯖魚四箱 比目魚一箱肉魚一箱
Account,俐均,2024/02/26,11:04:42,貼圖已傳送
Account,俐均,2024/02/26,11:35:47,"老闆娘您好
我們鱈魚片沒有賣整箱的
只有賣單包的"
User,屏市/躍愛廚房(M9TZ00000),2024/02/26,12:14:56,請問一包幾片
Account,俐均,2024/02/26,12:15:57,一包一片
User,屏市/躍愛廚房(M9TZ00000),2024/02/26,12:17:01,那先不用好了謝謝
Account,俐均,2024/02/26,12:18:14,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/02/29,13:35:06,躍愛送貴妃雞排兩箱謝謝
Account,俐均,2024/02/29,13:40:07,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/03/07,13:41:03,躍愛送鯖魚四箱謝謝
Account,俐均,2024/03/07,14:02:49,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/03/11,13:53:15,躍愛送香酥魚塊一箱謝謝
Account,俐均,2024/03/11,13:57:45,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/03/25,15:38:31,躍愛送咕咾肉一箱
Account,俐均,2024/03/25,15:42:22,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/03/28,14:17:49,躍愛送貴妃雞排一箱
Account,俐均,2024/03/28,14:18:14,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/04/08,14:24:57,躍愛明天送香酥魚塊一箱
Account,林鈺婷,2024/04/08,14:25:29,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2024/06/10,15:47:38,躍愛送兩箱柳葉魚謝謝
Account,俐均,2024/06/10,17:25:50,貼圖已傳送
Account,王振華,2024/06/10,21:21:59,老闆娘好，請問是海苔柳葉魚對吧！
User,屏市/躍愛廚房(M9TZ00000),2024/06/10,21:22:27,嗯
Account,自動回應訊息,2024/06/10,21:22:27,貼圖已傳送
Account,自動回應訊息,2024/06/10,21:22:27,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/躍愛廚房(M9TZ00000),2024/08/26,18:16:16,請問一下你們吻仔魚多少錢
Account,自動回應訊息,2024/08/26,18:16:17,貼圖已傳送
Account,自動回應訊息,2024/08/26,18:16:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/08/26,23:44:34,老闆娘好，吻仔魚目前缺貨
User,屏市/躍愛廚房(M9TZ00000),2025/02/24,14:31:56,躍愛明天送烏魚一箱
Account,林鈺婷,2025/02/24,14:32:49,貼圖已傳送
User,屏市/躍愛廚房(M9TZ00000),2025/03/03,12:06:06,躍愛明天送烏魚一箱
Account,林鈺婷,2025/03/03,12:12:13,貼圖已傳送
