帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,楠梓/每日食事(ABGG00000),2024/01/15,15:19:23,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,林鈺婷,2024/01/15,15:19:39,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/01/16,18:13:25,請問 你們的豬肉產地是哪裡的呢？
Account,自動回應訊息,2024/01/16,18:13:25,貼圖已傳送
Account,自動回應訊息,2024/01/16,18:13:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/16,23:32:50,老闆好，豬肉片是台灣的
User,楠梓/每日食事(ABGG00000),2024/01/31,14:59:01,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,俐均,2024/01/31,15:00:58,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/02/21,18:27:12,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/02/21,18:27:12,貼圖已傳送
Account,自動回應訊息,2024/02/21,18:27:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/每日食事(ABGG00000),2024/03/06,18:22:56,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/03/06,18:22:57,貼圖已傳送
Account,自動回應訊息,2024/03/06,18:22:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,楠梓/每日食事(ABGG00000),2024/03/25,16:42:54,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,俐均,2024/03/25,16:43:06,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/04/02,19:47:15,你好～我想請問一下 我叫的鯖魚的產地是哪裡的？
Account,自動回應訊息,2024/04/02,19:47:15,貼圖已傳送
Account,自動回應訊息,2024/04/02,19:47:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/02,22:47:37,"老闆好
是挪威"
User,楠梓/每日食事(ABGG00000),2024/04/03,13:37:49,好的謝謝🙏
User,楠梓/每日食事(ABGG00000),2024/04/10,23:29:29,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/04/10,23:29:29,貼圖已傳送
Account,自動回應訊息,2024/04/10,23:29:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/04/15,21:37:49,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/04/15,21:37:49,貼圖已傳送
Account,自動回應訊息,2024/04/15,21:37:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/05/13,20:05:08,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/05/13,20:05:08,貼圖已傳送
Account,自動回應訊息,2024/05/13,20:05:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/05/29,19:33:09,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/05/29,19:33:10,貼圖已傳送
Account,自動回應訊息,2024/05/29,19:33:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/06/10,14:14:48,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,俐均,2024/06/10,17:33:32,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/06/26,20:55:08,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/06/26,20:55:09,貼圖已傳送
Account,自動回應訊息,2024/06/26,20:55:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/07/10,14:11:40,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,俐均,2024/07/10,14:12:15,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/07/26,19:26:02,"你好～
不好意思想請問星期一7/29有辦法送貨到我們這嗎？
（因為本來星期四要叫但因颱風無法叫貨）"
Account,自動回應訊息,2024/07/26,19:26:03,貼圖已傳送
Account,自動回應訊息,2024/07/26,19:26:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/27,00:26:07,老闆好，星期一請司機安排看看
User,楠梓/每日食事(ABGG00000),2024/07/27,08:57:51,"好的 謝謝🙏 可以的話一樣 
鯖魚 130/160 6KG  2箱"
Account,自動回應訊息,2024/07/27,08:57:52,貼圖已傳送
Account,自動回應訊息,2024/07/27,08:57:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/08/07,18:59:08,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/08/07,18:59:08,貼圖已傳送
Account,自動回應訊息,2024/08/07,18:59:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/08/21,14:12:56,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,林鈺婷,2024/08/21,14:13:03,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/09/04,19:12:45,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,自動回應訊息,2024/09/04,19:12:46,貼圖已傳送
Account,自動回應訊息,2024/09/04,19:12:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2024/09/23,15:35:35,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,林鈺婷,2024/09/23,15:36:45,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/10/14,14:49:49,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,林鈺婷,2024/10/14,14:50:20,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/10/14,14:50:23,你好～所以 130/160 這樣一公斤是多少？
Account,林鈺婷,2024/10/14,14:50:35,之後一公斤是240元
User,楠梓/每日食事(ABGG00000),2024/10/23,14:23:26,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,林鈺婷,2024/10/23,14:25:04,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/10/28,14:54:08,你好～明天幫我送 鯖魚 130/160 6KG  3箱
Account,俐均,2024/10/28,15:36:30,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/11/27,16:54:49,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,林鈺婷,2024/11/27,16:56:30,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2024/12/11,16:30:25,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,俐均,2024/12/11,16:54:44,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2025/01/06,14:11:31,你好～明天幫我送 鯖魚 130/160 6KG  2箱
Account,俐均,2025/01/06,14:44:40,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2025/01/06,21:14:27,請問你們白花菜一箱多少
Account,自動回應訊息,2025/01/06,21:14:28,貼圖已傳送
Account,自動回應訊息,2025/01/06,21:14:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/01/06,23:46:20,"老闆好，白花菜小包裝一箱10包，550元
白花菜散裝，一箱10公斤，500元"
User,楠梓/每日食事(ABGG00000),2025/01/06,23:51:49,那我要 小包裝550元的 1箱
Account,自動回應訊息,2025/01/06,23:51:50,貼圖已傳送
Account,自動回應訊息,2025/01/06,23:51:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2025/02/05,15:55:02,"你好～明天幫我送 鯖魚 130/160 6KG  
1箱
白花菜 小包裝 10包  1箱"
Account,俐均,2025/02/05,15:56:21,貼圖已傳送
User,楠梓/每日食事(ABGG00000),2025/02/11,18:05:34,請問 冷凍青花菜 價錢多少
Account,林鈺婷,2025/02/11,18:13:33,"小包裝 一箱10公斤550元
散裝 一箱10公斤500元"
User,楠梓/每日食事(ABGG00000),2025/02/12,18:55:44,"你好～明天幫我送 

鯖魚130/160 6KG  1箱
白花菜 小包裝 10包  1箱
青花菜 小包裝 10包 1箱"
Account,自動回應訊息,2025/02/12,18:55:44,貼圖已傳送
Account,自動回應訊息,2025/02/12,18:55:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2025/02/17,23:56:37,"你好～明天幫我送 

白花菜 小包裝 10包  1箱
青花菜 小包裝 10包 1箱"
Account,自動回應訊息,2025/02/17,23:56:38,貼圖已傳送
Account,自動回應訊息,2025/02/17,23:56:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2025/02/24,21:36:40,"你好～明天幫我送 

鯖魚130/160 6KG  1箱
白花菜 小包裝 10包  1箱"
Account,自動回應訊息,2025/02/24,21:36:41,貼圖已傳送
Account,自動回應訊息,2025/02/24,21:36:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,楠梓/每日食事(ABGG00000),2025/03/03,15:04:42,"你好～明天幫我送 

鯖魚130/160 6KG  1箱
白花菜 小包裝 10包  1箱"
Account,俐均,2025/03/03,15:08:43,貼圖已傳送
