帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/20,11:28:38,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/06/20,11:28:38,"陳麗美歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,苓雅/稻香村(2VH000000),2024/06/20,11:28:54,稻香村
Account,俐均,2024/06/20,11:29:06,老闆娘您好
Account,俐均,2024/06/20,11:29:18,往後在這裡下訂即可
Account,俐均,2024/06/20,11:29:27,我們會為您出貨
Account,俐均,2024/06/20,11:29:35,貼圖已傳送
Account,俐均,2024/06/20,11:30:06,明天幫您送2件
User,苓雅/稻香村(2VH000000),2024/06/20,13:55:30,貼圖已傳送
Account,俐均,2024/06/20,14:00:35,貼圖已傳送
User,苓雅/稻香村(2VH000000),2024/06/27,19:11:41,明天白口魚1箱
Account,自動回應訊息,2024/06/27,19:11:42,貼圖已傳送
Account,自動回應訊息,2024/06/27,19:11:42,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/稻香村(2VH000000),2024/07/04,12:39:47,鹽魚2箱
Account,俐均,2024/07/04,12:40:35,貼圖已傳送
User,苓雅/稻香村(2VH000000),2024/07/09,09:48:06,"白口魚1箱
（明天送）"
Account,林鈺婷,2024/07/09,10:08:12,貼圖已傳送
User,苓雅/稻香村(2VH000000),2024/07/18,14:07:06,鹽魚兩箱
Account,俐均,2024/07/18,14:07:14,貼圖已傳送
User,苓雅/稻香村(2VH000000),2024/08/01,12:11:54,"明天要白口魚1箱
鹽魚1箱"
Account,林鈺婷,2024/08/01,12:18:52,貼圖已傳送
User,苓雅/稻香村(2VH000000),2024/08/09,15:58:37,星期一白口魚1箱
Account,林鈺婷,2024/08/09,16:10:58,老闆娘不好意思~200/230缺貨中，幫您換大230/250的可以嗎?大小差不多，價格一樣
User,苓雅/稻香村(2VH000000),2024/08/09,21:49:57,不用送
