帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/09,15:32:18,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/05/09,15:32:18,"昱漢歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,小港/日羿便當(BUY5HVE00),2025/05/09,15:33:18,日羿便當
Account,俐均,2025/05/09,15:35:26,老闆您好
Account,林鈺婷,2025/05/09,15:36:31,"988 DM目錄，老闆可以參考看看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
User,小港/日羿便當(BUY5HVE00),2025/05/27,14:21:55,"明天幫我送
兩箱鯖魚謝謝你"
Account,☆羅惠君☆,2025/05/27,14:22:06,貼圖已傳送
User,小港/日羿便當(BUY5HVE00),2025/06/20,14:05:51,"星期一幫我送
兩箱鯖魚謝謝你"
Account,☆羅惠君☆,2025/06/20,14:10:52,"老闆好 
不好意思 100/130的沒了，需要幫您換小一個規格80/100 或是大一個規格130/160嗎? 依樣1公斤230元"
User,小港/日羿便當(BUY5HVE00),2025/06/20,14:12:07,什麼時候才會有空
Account,林鈺婷,2025/06/20,14:14:40,要看每批原料的生產狀況，目前沒辦法確定
User,小港/日羿便當(BUY5HVE00),2025/06/20,14:15:27,那都先送一箱就好了
User,小港/日羿便當(BUY5HVE00),2025/06/20,14:18:37,"還是幫我換小一點的80/100
就幫我送兩箱"
Account,☆羅惠君☆,2025/06/20,14:19:11,收到，謝謝老闆
