帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/27,15:17:45,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/02/27,15:17:45,"食午*阿信歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/02/27,15:17:50,貼圖已傳送
Account,俐均,2025/02/27,15:19:26,老闆您好
Account,俐均,2025/02/27,15:21:26,https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA
Account,俐均,2025/02/27,15:22:04,這是我們的產品DM給您參考
User,林邊/食午串燒居酒(GJTGRRJ00),2025/02/27,15:22:20,價錢的部分是另外報價嗎
Account,林鈺婷,2025/02/27,15:23:43,檔案已傳送
Account,俐均,2025/02/27,15:23:54,檔案已傳送
Account,俐均,2025/02/27,15:25:04,"這是我們的產品價格給您參考,謝謝"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/02/27,15:25:09,好的 謝謝你
User,林邊/食午串燒居酒(GJTGRRJ00),2025/02/27,15:25:32,如果要下單是這邊下訂嗎
Account,俐均,2025/02/27,15:25:40,是的
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,15:40:06,你好
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,15:40:21,請問一下 你們的產品都是要用箱來叫貨嗎
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,15:40:26,沒有散賣得量嗎
Account,林鈺婷,2025/03/13,15:44:39,散賣的話價格會比較高一點喔
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,15:55:38,沒關係
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,15:55:48,那有價位表嗎
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,15:55:55,還是會另外報價
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:38:01,有人嗎？
Account,林鈺婷,2025/03/13,16:38:17,看您需要什麼~我們會另外報價
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:38:36,數量的大部分呢！有限制嗎？
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:39:04,"因為我是第一次叫你們家的貨
所以第一次會少量叫來試用看看"
Account,林鈺婷,2025/03/13,16:43:59,我們送貨基本上一次出貨最少5公斤，如果第一次少量試用，可以先請司機帶過去給您
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:44:26,全部貨量加起來嗎、
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:44:37,還是單一品相
Account,林鈺婷,2025/03/13,16:45:37,全部貨量加起來喔
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:45:49,那還好 是會超過
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:46:15,今天叫明天會到貨嗎
Account,林鈺婷,2025/03/13,16:46:40,我們林邊固定星期二、五送貨
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:46:57,時段呢
Account,林鈺婷,2025/03/13,16:48:00,我們會沿路照著路線送，所以到達的時間都不太一定
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:49:14,有個大概時段嗎
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:49:37,因為我們店是晚上才有營業 白天沒有人在店裡 
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:49:47,所以我要怎麼收貨跟付款呢
Account,林鈺婷,2025/03/13,16:51:19,因為我們送貨時間大約早上10點到下午4點左右
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:53:31,好的 了解
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:53:34,那我今天最晚幾點把需要的貨傳給你呢
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:53:48,確保明天能到貨
Account,林鈺婷,2025/03/13,16:54:03,基本上當天早上8點前傳都可以
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:56:57,好的 謝謝你
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:57:04,那就付款方式呢
Account,林鈺婷,2025/03/13,16:57:24,我們都是貨到付款
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:57:33,我訂購後 需要給你什麼資料嗎！例如：姓名地址⋯
Account,林鈺婷,2025/03/13,16:58:12,給我店名 地址跟連絡電話
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:58:26,好的
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:59:23,"最後想詢問一下
我在你們網路的網址上看到的商品 都有貨嗎！"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,16:59:54,"還是說我跟你們叫完後
你們確認有或沒有會在跟我告知"
Account,林鈺婷,2025/03/13,17:01:00,不一定，因為魚貨有產季的問題，或者是有些特定的規格會缺貨
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,17:04:22,好的 那我清楚了
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,17:04:35,謝謝你耐心的解答跟回覆
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/13,17:04:59,那我稍晚會給你 我需要的商品及數量 在麻煩你們了
Account,林鈺婷,2025/03/13,18:07:24,貼圖已傳送
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,07:44:02,"你好 我需要
香魚 7P 一盒
花枝蝦排 10-11片裝 一入
金目鱸魚一夜干 360-400g  3隻
紐西蘭法式羊小排 60-80g 10片
野生銀魚 （大規格6cm） 300g 一入
鮭魚條肉 250g 一入
柳葉魚一夜干（抱卵） 120g 一入
紐西蘭羔羊排 120-140g 10片
蟹味棒 250g 一入

謝謝你
"
Account,自動回應訊息,2025/03/14,07:44:02,貼圖已傳送
Account,自動回應訊息,2025/03/14,07:44:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,07:44:28,商品如有問題再麻煩洽電過來 謝謝你
Account,自動回應訊息,2025/03/14,07:44:28,貼圖已傳送
Account,自動回應訊息,2025/03/14,07:44:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/03/14,08:28:02,老闆不好意思~要再麻煩您給我店名 地址跟連絡電話
Account,林鈺婷,2025/03/14,10:30:57,"不好意思 早上電話沒人接
目前紐西蘭羊小排60/80缺貨中
其他的今天幫您送去
司機大約下午2點左右到"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,10:43:29,屏東縣林邊鄉仁和村中林路25號
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,10:43:33,陳信億
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,10:43:37,0976591573
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,10:43:45,抱歉 忘記留資料
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,10:44:10,可以麻煩幫我拍收據跟金額給我嗎！謝謝你
Account,☆羅惠君☆,2025/03/14,11:06:00,照片已傳送
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,13:55:01,你好 請問有司機的聯絡方式嗎！因為我怕我2:00不在店裡 我要跟司機大哥再確認一下
Account,林鈺婷,2025/03/14,14:02:33,稍等我一下 王經理 0988001988
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,15:07:05,好的
Account,林鈺婷,2025/03/14,15:08:23,司機大哥目前預估2:40-3:00左右到
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,15:10:50,貼圖已傳送
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,15:13:02,有司機的電話嗎
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/14,15:13:26,"因為我還有別的事情要忙 
我跟司機確認時間 "
Account,林鈺婷,2025/03/14,15:15:23, 王經理 0988001988
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/20,14:32:19,你好 請問 鯖魚片M的一箱多少
Account,林鈺婷,2025/03/20,14:33:55,M的一箱1120元
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/20,14:34:16,幾片
Account,林鈺婷,2025/03/20,14:38:24,一箱4公斤 約22-24片
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/20,14:39:06,好的 那等等我在傳我需要的商品 謝謝你
User,林邊/食午串燒居酒(GJTGRRJ00),2025/03/20,20:25:00,"明天幫我送
鯖魚片M一箱
鮭魚條肉2盒
謝謝你"
Account,自動回應訊息,2025/03/20,20:25:01,貼圖已傳送
Account,自動回應訊息,2025/03/20,20:25:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/04/11,07:17:50,"你好 今天幫我送
鮭魚條肉兩盒
午魚一夜干3條
鱸魚一夜干3條
鱸魚魚下巴兩包
謝謝你"
Account,自動回應訊息,2025/04/11,07:17:51,貼圖已傳送
Account,自動回應訊息,2025/04/11,07:17:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/04/11,07:26:04,再麻煩你今天一點前一定務必要送貨到 謝謝您麻煩了
Account,自動回應訊息,2025/04/11,07:26:05,貼圖已傳送
Account,自動回應訊息,2025/04/11,07:26:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/05/01,22:56:49,"你好 明天幫我送
羔羊排 10隻
午魚一夜干2隻
鮭魚條肉1盒

請問羊小排有了嗎？如果有幫我送10片 謝謝你"
Account,自動回應訊息,2025/05/01,22:56:50,"(love letter)勞動節公休，不送貨，暫無專人服務，造成困擾請見諒
(blue check mark)訂單將會在5/2(五) 陸續安排為您出貨"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/05/01,23:14:22,加鱸魚一夜干 2隻
Account,自動回應訊息,2025/05/01,23:14:23,"(love letter)勞動節公休，不送貨，暫無專人服務，造成困擾請見諒
(blue check mark)訂單將會在5/2(五) 陸續安排為您出貨"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/06/17,03:01:39,"你好 今天禮拜二 幫我送

五魚仔魚一夜干*3條
鱸魚一夜干*3條
鮭魚肉條*2盒
法式羊小排*6片
蟹味棒*1盒
柳葉魚一夜干*1盒

謝謝你，麻煩你在1:00前到貨謝謝
"
Account,自動回應訊息,2025/06/17,03:01:40,貼圖已傳送
Account,自動回應訊息,2025/06/17,03:01:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/17,08:37:15,老闆您好~請問法式羊小排要甚麼規格的呢?
Account,林鈺婷,2025/06/17,09:34:58,"老闆不好意思 早上致電沒人接 
我們午仔魚跟蟹味棒目前缺貨中 不好意思"
User,林邊/食午串燒居酒(GJTGRRJ00),2025/06/17,09:47:38,規格有什麼 能報給我一下嗎
Account,林鈺婷,2025/06/17,09:50:06,因為剛剛司機趕著出門 我先請司機帶120/140的過去給您參考看看
User,林邊/食午串燒居酒(GJTGRRJ00),2025/06/17,09:58:24,好的 謝謝你
User,林邊/食午串燒居酒(GJTGRRJ00),2025/06/19,14:14:59,你好
