帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/大碗公(2JEAG2A00),2024/01/19,15:18:42,星期一鹹魚10箱，裹粉柳葉魚L1箱謝謝啦
Account,林鈺婷,2024/01/19,15:26:48,貼圖已傳送
User,鳳山/大碗公(2JEAG2A00),2024/02/06,21:58:25,星期一鹹魚10箱，裹粉柳葉魚L1箱謝謝啦
Account,自動回應訊息,2024/02/06,21:58:26,貼圖已傳送
Account,自動回應訊息,2024/02/06,21:58:26,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/大碗公(2JEAG2A00),2024/02/06,21:58:50,星期三鹹魚10箱，裹粉柳葉魚L1箱謝謝啦
Account,自動回應訊息,2024/02/06,21:58:50,貼圖已傳送
Account,自動回應訊息,2024/02/06,21:58:50,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/02/07,08:27:57,老闆不好意思~柳葉魚L的缺貨，幫您換小一個規格的可以嗎?
User,鳳山/大碗公(2JEAG2A00),2024/02/29,14:24:50,星期五鹹魚10箱，裹粉柳葉魚L1箱，肉魚1箱謝謝啦
Account,俐均,2024/02/29,14:25:10,貼圖已傳送
User,鳳山/大碗公(2JEAG2A00),2024/03/20,16:50:10,星期四鹹魚10箱，裹粉柳葉魚L1箱謝謝啦
Account,俐均,2024/03/20,16:51:19,貼圖已傳送
User,鳳山/大碗公(2JEAG2A00),2024/04/11,16:16:23,星期五鹹魚20箱，裹粉柳葉魚L1箱謝謝啦
Account,俐均,2024/04/11,16:17:05,貼圖已傳送
User,鳳山/大碗公(2JEAG2A00),2024/05/21,16:17:07,星期三鹹魚10箱謝謝啦
Account,林鈺婷,2024/05/21,16:18:52,貼圖已傳送
User,鳳山/大碗公(2JEAG2A00),2024/06/16,15:43:12,星期一鹹魚10箱謝謝啦
