帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/01/07,13:10:40,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/01/07,13:10:40,"Mr.David歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,台中/新佐渡(VY2000000）,2025/01/07,13:26:31,請問一下
User,台中/新佐渡(VY2000000）,2025/01/07,13:26:45,虱目魚可以索取試用品嗎？
Account,林鈺婷,2025/01/07,14:03:09,可以先單買一兩片，但運費可能要麻煩您們負擔
User,台中/新佐渡(VY2000000）,2025/01/07,14:05:16,"還是說可以拍照給我看一下，主要是想看一下版型的大小！
旁邊放一個可參考大小的物品！"
User,台中/新佐渡(VY2000000）,2025/01/07,14:05:52,"120-140公克
140-170公克
170-200公克
200-230公克
230-260公克"
Account,林鈺婷,2025/01/07,14:12:41,照片已傳送
Account,林鈺婷,2025/01/07,14:12:53,大規格的晚點拍給您方便嗎?
User,台中/新佐渡(VY2000000）,2025/01/07,14:15:48,好唷，麻煩您
User,台中/新佐渡(VY2000000）,2025/01/07,18:35:11,請問一下，你們的虱目魚是無刺的嗎？
Account,自動回應訊息,2025/01/07,18:35:12,貼圖已傳送
Account,自動回應訊息,2025/01/07,18:35:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/01/08,00:49:25,老闆好，是無刺的
User,台中/新佐渡(VY2000000）,2025/01/08,01:02:01,好的
Account,自動回應訊息,2025/01/08,01:02:01,貼圖已傳送
Account,自動回應訊息,2025/01/08,01:02:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,台中/新佐渡(VY2000000）,2025/01/08,01:02:10,再請教一下
Account,自動回應訊息,2025/01/08,01:02:10,貼圖已傳送
Account,自動回應訊息,2025/01/08,01:02:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,台中/新佐渡(VY2000000）,2025/01/08,01:02:51,你們出貨的時候是紙箱裝還是保麗龍箱裝呢？
Account,自動回應訊息,2025/01/08,01:02:52,貼圖已傳送
Account,自動回應訊息,2025/01/08,01:02:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/01/08,08:51:05,我們通常都是用紙箱喔~
User,台中/新佐渡(VY2000000）,2025/01/08,12:22:28,一件最高20公斤嗎？
Account,林鈺婷,2025/01/08,12:29:31,對~一件最多可以幫您塞到20公斤，或者不超過材積大小
User,台中/新佐渡(VY2000000）,2025/01/08,12:40:32,好
User,台中/新佐渡(VY2000000）,2025/01/08,12:40:45,謝謝
Account,林鈺婷,2025/01/08,12:41:10,照片已傳送
User,台中/新佐渡(VY2000000）,2025/01/08,12:50:03,另外請教一下，虱目魚是鹹水還是淡水的呢？
Account,林鈺婷,2025/01/08,12:52:11,我們的是鹹水的~台南七股養殖的
User,台中/新佐渡(VY2000000）,2025/01/08,12:58:09,好的，謝謝唷
User,台中/新佐渡(VY2000000）,2025/01/09,15:42:45,我先買一些來試菜
User,台中/新佐渡(VY2000000）,2025/01/09,15:43:57,"無刺虱目魚肚
120-140公克*10
140-170公克*10
170-200公克*10

鮭魚下巴
140-170公克*10
"
User,台中/新佐渡(VY2000000）,2025/01/09,15:45:25,"王聖文
0978732153
台中市梧棲區台灣大道8段699號B2 美食櫃位：新佐渡"
User,台中/新佐渡(VY2000000）,2025/01/09,15:45:52,"王聖文
0978732153、04-26581919#4056
台中市梧棲區台灣大道8段699號B2 美食櫃位：新佐渡"
Account,林鈺婷,2025/01/09,15:46:44,明天幫您寄出喔~運費可能要自付可以嗎?
User,台中/新佐渡(VY2000000）,2025/01/09,15:47:10,當然是不要最好啊🥹🥹🥹
Account,林鈺婷,2025/01/09,15:47:38,不好意思~因為我們的售價都沒有含運費，運費也是我們要另外給宅配的
Account,林鈺婷,2025/01/09,15:47:52,鮭魚下巴的部份我們有另外一種比較便宜，看要不要參考看看
User,台中/新佐渡(VY2000000）,2025/01/09,15:48:04,👌
Account,林鈺婷,2025/01/09,15:48:08,照片已傳送
Account,林鈺婷,2025/01/09,15:48:08,照片已傳送
Account,林鈺婷,2025/01/09,15:48:08,照片已傳送
User,台中/新佐渡(VY2000000）,2025/01/09,15:48:40,不要
User,台中/新佐渡(VY2000000）,2025/01/09,15:49:13,這種的不OK
User,台中/新佐渡(VY2000000）,2025/01/09,15:49:37,貨到付款嗎？
Account,林鈺婷,2025/01/09,15:51:39,比較小片 一包才85元
Account,林鈺婷,2025/01/09,15:51:45,我們是貨到付款喔
User,台中/新佐渡(VY2000000）,2025/01/09,15:53:45,不
User,台中/新佐渡(VY2000000）,2025/01/09,15:53:50,👌
User,台中/新佐渡(VY2000000）,2025/01/09,16:11:25,有出貨單嗎？
User,台中/新佐渡(VY2000000）,2025/01/09,16:11:33,我看一下多少錢
Account,林鈺婷,2025/01/09,16:29:05,晚點出銷貨單給您
User,台中/新佐渡(VY2000000）,2025/01/09,16:29:22,感謝
Account,林鈺婷,2025/01/09,16:29:48,鮭魚下巴的部分，我們近期供貨比較不穩定，會有貨，但不一定都有140/170這個規格的
User,台中/新佐渡(VY2000000）,2025/01/09,16:49:00,好，沒關係，那是我要吃的而已😆😆😆
Account,林鈺婷,2025/01/09,17:10:52,照片已傳送
User,台中/新佐渡(VY2000000）,2025/01/09,17:13:14,老闆是業務人員😆😆😆
User,台中/新佐渡(VY2000000）,2025/01/09,17:13:27,👌
Account,林鈺婷,2025/01/10,11:34:07,安排今天幫您寄出喔
User,台中/新佐渡(VY2000000）,2025/01/10,11:45:50,好
User,台中/新佐渡(VY2000000）,2025/01/10,11:45:53,謝謝
Account,林鈺婷,2025/01/15,14:14:11,"老闆您好~我們過年前最後出貨日是(sparkle)1/24(五)(sparkle)
年前貨運物流量較大，因此訂單可能會有延遲到貨的情況。如
有需求，建議提前下單~謝謝"
User,台中/新佐渡(VY2000000）,2025/01/15,14:20:27,👌
User,台中/新佐渡(VY2000000）,2025/01/24,12:07:31,請問一下，這些規格的虱目魚是長期都有固定可供貨的嗎？
Account,林鈺婷,2025/01/24,12:09:38,您好~虱目魚肚基本上都會有貨，但有些規格會先提前賣完
User,台中/新佐渡(VY2000000）,2025/01/24,12:38:16,我選用的是120-140的規格
Account,林鈺婷,2025/01/24,12:46:24,我們目前有現貨，但如果賣完，下一批價格可能會隨著當時的價格做調整
User,台中/新佐渡(VY2000000）,2025/01/24,19:00:30,好的，謝謝
Account,自動回應訊息,2025/01/24,19:00:30,貼圖已傳送
Account,自動回應訊息,2025/01/24,19:00:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,台中/新佐渡(VY2000000）,2025/01/24,19:03:04,另外想請教的是，我們營業用可長期配合的話，價格上是否還有空間呢？
Account,自動回應訊息,2025/01/24,19:03:04,貼圖已傳送
Account,自動回應訊息,2025/01/24,19:03:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/01/27,12:08:08,不好意思~我們報給您的價格目前都是最低價了
User,台中/新佐渡(VY2000000）,2025/01/27,12:34:48,好的，謝謝
User,台中/新佐渡(VY2000000）,2025/01/29,12:17:30,"新年快樂🎆
恭喜🎊發財💰"
User,台中/新佐渡(VY2000000）,2025/02/04,12:36:08,S規格，1件滿20公斤，大約有幾片呢？
User,台中/新佐渡(VY2000000）,2025/02/04,12:36:41,120-140這個規格
Account,林鈺婷,2025/02/04,12:37:41,大約100片左右，但實際還是要放看看，看能幫您放多少就盡量放
User,台中/新佐渡(VY2000000）,2025/02/04,16:23:17,只能100片？😱😱😱我以為可以150片左右！！
Account,林鈺婷,2025/02/04,16:28:02,因為還有材積的問題，目前只能大概估算，如果要寄的話，可以幫您盡量塞
User,台中/新佐渡(VY2000000）,2025/02/04,16:43:27,好，我確定後再跟您訂
Account,林鈺婷,2025/02/04,16:45:31,貼圖已傳送
User,台中/新佐渡(VY2000000）,2025/02/21,13:45:29,無刺虱目魚肚，S規格的幫我出一件
User,台中/新佐渡(VY2000000）,2025/02/21,13:47:35,"另外請問一下，出貨的時間？
有配合的下訂時間？還是隨時可以下單出貨？多久能收到貨？"
Account,林鈺婷,2025/02/21,14:02:47,請問是要120/140這個規格的嗎?
User,台中/新佐渡(VY2000000）,2025/02/21,14:03:13,是的
Account,林鈺婷,2025/02/21,14:03:28,我們寄貨通常是當天中午前下訂的話，當天下午幫您出貨，通常隔天就會送到貨
User,台中/新佐渡(VY2000000）,2025/02/21,14:03:44,好的
Account,林鈺婷,2025/02/21,14:04:02,我們星期六日公休
Account,林鈺婷,2025/02/21,14:04:23,我們盡量幫您放，看有多少幫您出多少對嗎?
User,台中/新佐渡(VY2000000）,2025/02/21,14:04:51,正確，優秀人才
Account,林鈺婷,2025/02/21,15:23:43,老闆您好~總共放130片
Account,林鈺婷,2025/02/21,15:24:51,照片已傳送
Account,林鈺婷,2025/02/21,15:24:56,今天幫您寄出
User,台中/新佐渡(VY2000000）,2025/02/21,16:03:39,好，謝謝
User,台中/新佐渡(VY2000000）,2025/02/24,10:42:08,照片已傳送
User,台中/新佐渡(VY2000000）,2025/02/24,10:42:16,沒塞滿😅😅😅
User,台中/新佐渡(VY2000000）,2025/02/24,10:42:42,應該還沒超過20公斤吧？
Account,林鈺婷,2025/02/24,10:49:17,老闆您好～我塞完的時候 比圖片上的位置還要高還要滿，當下要再放一層是有困難的，我們就是維持這個數量出 不好意思
User,台中/新佐渡(VY2000000）,2025/02/24,11:44:22,"沒有滿一層無所謂，盡量塞到最滿！
因為對我們來說，運費也是成本💰"
Account,林鈺婷,2025/02/24,16:15:57,好的~沒問題，會盡量幫您塞
User,台中/新佐渡(VY2000000）,2025/02/24,16:40:08,貼圖已傳送
User,台中/新佐渡(VY2000000）,2025/04/21,15:25:58,照片已傳送
User,台中/新佐渡(VY2000000）,2025/04/21,15:26:02,請問一下
User,台中/新佐渡(VY2000000）,2025/04/21,15:26:30,這個第二件5折，結帳金額怎麼還是2件的價錢？
Account,林鈺婷,2025/04/21,15:29:24,您好~一件是1850元，第二件5折925元，加起來是2775元
User,台中/新佐渡(VY2000000）,2025/04/21,15:31:07,對吼🥹🥹🥹
User,台中/新佐渡(VY2000000）,2025/04/21,15:31:13,搞錯了
User,台中/新佐渡(VY2000000）,2025/04/21,15:34:31,這個4公斤*2盒，運費通常是多少費用呢？
Account,林鈺婷,2025/04/21,15:35:54,在官網訂兩盒鯖魚2L 目前是免運費喔
User,台中/新佐渡(VY2000000）,2025/04/21,15:47:05,我們不要官網訂，跟客服訂的話有比較優惠嗎？
User,台中/新佐渡(VY2000000）,2025/04/21,15:48:08,店裡要用的
Account,林鈺婷,2025/04/21,15:50:22,剛剛幫您算了一下，現在是在官網訂比較便宜喔~
User,台中/新佐渡(VY2000000）,2025/04/21,15:51:08,好，謝謝唷🙏
Account,林鈺婷,2025/04/21,15:51:08,在我們這邊訂的話是1280元*2件+運費280元=2840元
User,台中/新佐渡(VY2000000）,2025/04/21,15:51:32,了解
User,台中/新佐渡(VY2000000）,2025/04/29,11:22:03,無刺虱目魚肚，規格120-140，價格還是60元嗎？
Account,林鈺婷,2025/04/29,11:23:13,目前還是60元/片
User,台中/新佐渡(VY2000000）,2025/04/29,11:23:43,再幫我出一件
User,台中/新佐渡(VY2000000）,2025/04/29,11:24:01,麻煩塞到最滿🙏
User,台中/新佐渡(VY2000000）,2025/04/29,11:24:28,照片已傳送
User,台中/新佐渡(VY2000000）,2025/04/29,11:24:38,上一次還有空間
User,台中/新佐渡(VY2000000）,2025/04/29,11:25:15,今天能出嗎？
Account,林鈺婷,2025/04/29,11:25:20,我們盡量幫您塞，請問幾片都可以嗎?
User,台中/新佐渡(VY2000000）,2025/04/29,11:25:51,1件塞到最滿，幾片都可以
Account,俐均,2025/04/29,15:52:15,照片已傳送
Account,☆羅惠君☆,2025/04/29,15:54:08,"老闆您好
這是封箱前的情況
塞滿140片出貨
感謝"
User,台中/新佐渡(VY2000000）,2025/04/29,15:55:07,好唷，謝謝🙏
User,台中/新佐渡(VY2000000）,2025/04/29,15:56:37,這次的好像沒那麼漂亮
User,台中/新佐渡(VY2000000）,2025/04/29,15:56:47,肚都破破的
User,台中/新佐渡(VY2000000）,2025/04/29,15:58:07,照片已傳送
User,台中/新佐渡(VY2000000）,2025/04/29,15:59:54,等一下
User,台中/新佐渡(VY2000000）,2025/04/29,16:00:08,這是不是不同家的魚？
User,台中/新佐渡(VY2000000）,2025/04/29,16:00:31,照片已傳送
User,台中/新佐渡(VY2000000）,2025/04/29,16:00:42,照片已傳送
User,台中/新佐渡(VY2000000）,2025/04/29,16:01:05,我本來是拿這個樣式的
User,台中/新佐渡(VY2000000）,2025/04/29,16:01:46,都很漂亮，不會破肚
Account,林鈺婷,2025/04/29,16:08:42,原本這個目前缺貨中，目前是其他廠商的
User,台中/新佐渡(VY2000000）,2025/04/29,16:10:32,是不是可以請示一下，破肚的價錢可否下修？
User,台中/新佐渡(VY2000000）,2025/04/29,16:12:26,我們在醫院的美食街，這些沒有標示的，如果稽核來看到，就完蛋了！
User,台中/新佐渡(VY2000000）,2025/04/29,16:12:47,什麼時候能有原本的貨？
Account,林鈺婷,2025/04/29,16:13:46,那這箱我們就先不幫您寄出了
Account,林鈺婷,2025/04/29,16:14:12,不好意思～我們目前這已經是最低價了
User,台中/新佐渡(VY2000000）,2025/04/29,16:14:47,什麼時候能有原本的貨？
Account,林鈺婷,2025/04/29,16:15:15,目前這陣子都沒有，不好意思
User,台中/新佐渡(VY2000000）,2025/04/29,16:17:02,"盡量幫我挑一下，不要破太誇張的就好，不然出餐太難看！
還是幫我出一件，不然我要斷貨了！"
User,台中/新佐渡(VY2000000）,2025/04/29,16:17:22,麻煩了
Account,林鈺婷,2025/04/29,16:27:22,"老闆您好，不好意思～
因為我們這邊提供的是批發價格，無法額外幫忙挑選，還請您多多包涵
如果這部分不符合您的需求，也沒關係，我們這邊就先不安排出貨"
User,台中/新佐渡(VY2000000）,2025/04/29,16:28:25,那就出吧
User,台中/新佐渡(VY2000000）,2025/04/29,16:28:35,不然要斷貨了
Account,林鈺婷,2025/04/29,16:29:29,貼圖已傳送
User,台中/新佐渡(VY2000000）,2025/04/29,18:29:20,有幫我出貨了嗎？
Account,☆羅惠君☆,2025/04/29,19:46:06,有的，明天請注意收貨，感謝您
User,台中/新佐渡(VY2000000）,2025/04/29,19:47:10,好的，謝謝
User,台中/新佐渡(VY2000000）,2025/05/26,19:30:33,魚肚回來這個樣式了嗎？
Account,自動回應訊息,2025/05/26,19:30:34,貼圖已傳送
Account,自動回應訊息,2025/05/26,19:30:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/05/27,08:53:06,不好意思~目前還是上次送的那種
User,台中/新佐渡(VY2000000）,2025/05/27,10:58:41,再幫我出一件
User,台中/新佐渡(VY2000000）,2025/05/27,10:58:44,謝謝
Account,☆羅惠君☆,2025/05/27,11:19:10,貼圖已傳送
User,台中/新佐渡(VY2000000）,2025/05/27,11:27:45,盡量塞滿
Account,☆羅惠君☆,2025/05/27,11:29:36,貼圖已傳送
Account,林鈺婷,2025/05/27,16:07:27,今天一樣幫您放140片，今天寄出喔!
User,台中/新佐渡(VY2000000）,2025/05/27,16:17:30,好，謝謝🙏
User,台中/新佐渡(VY2000000）,2025/05/28,12:37:09,收到了
User,台中/新佐渡(VY2000000）,2025/05/28,12:38:21,"麻煩下次開始幫我分成2袋裝，1袋70片比較沒那麼重！
1袋140片很重，我怕員工受傷！"
Account,林鈺婷,2025/05/28,12:45:07,好的~沒問題!下次幫您分兩袋
User,台中/新佐渡(VY2000000）,2025/05/28,12:55:31,感謝🙏
User,台中/新佐渡(VY2000000）,2025/06/19,11:09:16,今天再幫我出一件虱目魚
Account,☆羅惠君☆,2025/06/19,11:16:38,貼圖已傳送
User,台中/新佐渡(VY2000000）,2025/06/19,11:17:23,謝謝🙏
