帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,高雄三民劉家土魠魚07-3229395,2024/01/07,21:42:12,劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/01/07,21:42:13,貼圖已傳送
Account,自動回應訊息,2024/01/07,21:42:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,高雄三民劉家土魠魚07-3229395,2024/01/30,23:09:52,劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/01/30,23:09:53,貼圖已傳送
Account,自動回應訊息,2024/01/30,23:09:53,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,高雄三民劉家土魠魚07-3229395,2024/03/05,22:51:19,劉家明天要
Account,自動回應訊息,2024/03/05,22:51:19,貼圖已傳送
Account,自動回應訊息,2024/03/05,22:51:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,高雄三民劉家土魠魚07-3229395,2024/04/08,23:00:37,劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/04/08,23:00:37,貼圖已傳送
Account,自動回應訊息,2024/04/08,23:00:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2024/05/16,22:46:25, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/05/16,22:46:25,貼圖已傳送
Account,自動回應訊息,2024/05/16,22:46:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2024/06/18,23:12:52, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/06/18,23:12:53,貼圖已傳送
Account,自動回應訊息,2024/06/18,23:12:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2024/07/22,21:55:39, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/07/22,21:55:40,貼圖已傳送
Account,自動回應訊息,2024/07/22,21:55:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2024/08/29,20:44:57, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/08/29,20:44:58,貼圖已傳送
Account,自動回應訊息,2024/08/29,20:44:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2024/09/25,22:27:09, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/09/25,22:27:10,貼圖已傳送
Account,自動回應訊息,2024/09/25,22:27:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2024/10/29,22:54:58, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/10/29,22:54:59,貼圖已傳送
Account,自動回應訊息,2024/10/29,22:54:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2024/12/05,21:54:03, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2024/12/05,21:54:03,貼圖已傳送
Account,自動回應訊息,2024/12/05,21:54:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2025/01/01,20:36:20, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2025/01/01,20:36:21,"(love letter)今天元旦公休，不送貨，暫無專人服務，造成困擾請見諒
(blue check mark)訂單將會在1/2(四)陸續為您安排出貨"
User,高雄三民劉家土魠魚07-3229395,2025/02/03,18:46:12, 劉家土魠魚羹明天要一箱魚
Account,俐均,2025/02/04,08:33:35,"老闆娘好
請問有急用嗎?
明天幫您送過去"
User,高雄三民劉家土魠魚07-3229395,2025/03/04,20:02:59, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2025/03/04,20:03:00,貼圖已傳送
Account,自動回應訊息,2025/03/04,20:03:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2025/03/27,20:12:04, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2025/03/27,20:12:05,貼圖已傳送
Account,自動回應訊息,2025/03/27,20:12:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2025/04/29,21:04:58, 劉家土魠魚羹明天要一箱魚
Account,自動回應訊息,2025/04/29,21:04:58,貼圖已傳送
Account,自動回應訊息,2025/04/29,21:04:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2025/04/29,21:06:17, 劉家土魠魚羹明天要一箱魚，貨可以提前時間送達嗎
Account,自動回應訊息,2025/04/29,21:06:18,貼圖已傳送
Account,自動回應訊息,2025/04/29,21:06:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,高雄三民劉家土魠魚07-3229395,2025/04/29,21:06:33,希望可以早上9至11點送達
Account,自動回應訊息,2025/04/29,21:06:33,貼圖已傳送
Account,自動回應訊息,2025/04/29,21:06:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/04/29,23:34:07,會請司機盡量安排
User,高雄三民劉家土魠魚07-3229395,2025/05/20,22:09:49, 劉家土魠魚羹明天要一箱魚，貨可以提前時間送達嗎
Account,自動回應訊息,2025/05/20,22:09:49,貼圖已傳送
