帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/02,01:23:19,炙燒腿排二箱
Account,自動回應訊息,2024/01/02,01:23:19,貼圖已傳送
Account,自動回應訊息,2024/01/02,01:23:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/04,14:11:24,鯖魚一箱，塔香腿排一箱
Account,林鈺婷,2024/01/04,14:16:31,貼圖已傳送
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/08,21:03:50,鯖魚一箱，香茅腿排一箱，鯖魚一夜干 5尾
Account,自動回應訊息,2024/01/08,21:03:51,貼圖已傳送
Account,自動回應訊息,2024/01/08,21:03:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/11,01:46:07,紐澳良腿排一箱，午仔魚10尾
Account,自動回應訊息,2024/01/11,01:46:07,貼圖已傳送
Account,自動回應訊息,2024/01/11,01:46:07,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/19,02:11:20,鯖魚一箱，炙燒腿排一箱
Account,自動回應訊息,2024/01/19,02:11:21,貼圖已傳送
Account,自動回應訊息,2024/01/19,02:11:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/22,01:07:11,鯖魚一箱，午仔魚10尾，魚下巴5包，紐澳良腿排一箱，
Account,自動回應訊息,2024/01/22,01:07:12,貼圖已傳送
Account,自動回應訊息,2024/01/22,01:07:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/01/22,08:38:02,"老闆 您好
目前魚下巴缺貨中~"
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/23,01:43:25,檸檬香茅腿排一箱，塔香腿排一箱
Account,自動回應訊息,2024/01/23,01:43:26,貼圖已傳送
Account,自動回應訊息,2024/01/23,01:43:26,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/29,01:44:26,秋刀魚一箱，檸檬腿排一箱
Account,自動回應訊息,2024/01/29,01:44:26,貼圖已傳送
Account,自動回應訊息,2024/01/29,01:44:26,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/29,08:33:36,老闆早~我們秋刀現在只有4號，先請司機帶過去給您看，方便嗎?
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/29,10:09:40,好
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/01/30,02:12:13,鯖魚一箱，午仔魚10尾，鯖魚一夜干5，炙燒腿排一箱
Account,自動回應訊息,2024/01/30,02:12:14,貼圖已傳送
Account,自動回應訊息,2024/01/30,02:12:14,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/30,10:29:27,老闆不好意思～我們炙燒的腿排缺貨中，因為早上致電沒有人接，先請司機送塔香腿排歸去給您參考
User,鳳山/鳳鳴日式串燒(ZABGTG000),2024/02/06,01:05:57,午仔魚10尾，鯖魚一箱
Account,自動回應訊息,2024/02/06,01:05:58,貼圖已傳送
Account,自動回應訊息,2024/02/06,01:05:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
