帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/上尹好食(GUCG00000),2024/01/03,19:40:57,M號薄鹽鯖魚一箱，謝謝。
Account,自動回應訊息,2024/01/03,19:40:57,貼圖已傳送
Account,自動回應訊息,2024/01/03,19:40:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/上尹好食(GUCG00000),2024/01/31,14:08:26,M號薄鹽鯖魚一箱，謝謝。
Account,俐均,2024/01/31,14:08:36,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/02/28,14:51:29,M號薄鹽鯖魚一箱，謝謝。
Account,林鈺婷,2024/02/28,14:54:10,貼圖已傳送
Account,林鈺婷,2024/04/11,14:26:11,"老闆娘您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚M 每公斤調漲30元 一箱價格為960元(sparkle)
造成不便，尚請海涵見諒"
User,內埔/上尹好食(GUCG00000),2024/04/12,18:40:25,M號薄鹽鯖魚一箱，謝謝。星期一送喔
Account,自動回應訊息,2024/04/12,18:40:26,貼圖已傳送
Account,自動回應訊息,2024/04/12,18:40:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/上尹好食(GUCG00000),2024/04/14,22:05:54,明天是我們的公休日，10:30以後要出門，希望貴公司能幫我們早一點送貨，謝謝。
Account,自動回應訊息,2024/04/14,22:05:55,貼圖已傳送
Account,自動回應訊息,2024/04/14,22:05:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/上尹好食(GUCG00000),2024/05/08,14:22:27,M號薄鹽鯖魚一箱，謝謝。
Account,俐均,2024/05/08,14:22:54,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/05/22,14:10:20,M號薄鹽鯖魚一箱，謝謝。
Account,林鈺婷,2024/05/22,14:10:33,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/06/26,12:14:26,M號薄鹽鯖魚一箱，謝謝。
Account,俐均,2024/06/26,12:14:58,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/07/10,14:02:58,M號薄鹽鯖魚一箱，謝謝。
Account,俐均,2024/07/10,14:04:08,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/07/31,14:45:55,M號薄鹽鯖魚一箱
Account,俐均,2024/07/31,14:46:25,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/09/04,15:49:08,M號薄鹽鯖魚一箱
Account,林鈺婷,2024/09/04,15:53:35,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/09/04,15:55:57,對了，不好意思，我明天早上要帶孩子到潮州看醫生，可以不可以麻煩司機中午在幫我送來呢？
User,內埔/上尹好食(GUCG00000),2024/09/04,15:58:58,貼圖已傳送
Account,俐均,2024/09/04,16:00:12,"老闆娘好
好的
我們會告知司機
謝謝"
User,內埔/上尹好食(GUCG00000),2024/09/04,16:01:00,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2024/10/06,10:18:14,M號薄鹽鯖魚一箱
Account,自動回應訊息,2024/10/06,10:18:14,貼圖已傳送
Account,自動回應訊息,2024/10/06,10:18:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/上尹好食(GUCG00000),2024/10/07,13:04:52,請問今天有幫我送貨嗎？
User,內埔/上尹好食(GUCG00000),2024/10/07,13:15:31,收到貨了，感謝。
Account,林鈺婷,2024/10/07,13:19:30,貼圖已傳送
Account,林鈺婷,2024/10/14,16:07:00,照片已傳送
User,內埔/上尹好食(GUCG00000),2024/12/04,21:42:43,M號薄鹽鯖魚一箱
Account,自動回應訊息,2024/12/04,21:42:44,貼圖已傳送
Account,自動回應訊息,2024/12/04,21:42:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/上尹好食(GUCG00000),2025/02/05,14:30:43,M號薄鹽鯖魚一箱
Account,俐均,2025/02/05,15:19:08,貼圖已傳送
User,內埔/上尹好食(GUCG00000),2025/02/26,19:09:49,M號薄鹽鯖魚一箱
Account,自動回應訊息,2025/02/26,19:09:49,貼圖已傳送
