帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/17,14:41:46,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/17,14:41:46,"涵歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,左營/孟婆客棧(AQD500000),2025/06/17,14:44:25,"店名：孟婆客棧
電話：0968840641
地址：高雄市左營區左營大路58號 "
User,左營/孟婆客棧(AQD500000),2025/06/17,14:45:07,"想詢問 
花椰菜/玉米粒/三色豆 價格"
Account,俐均,2025/06/17,14:54:18,"老闆娘您好
青花菜 1K*10包   550元/箱
青花菜 10k/箱   500元/箱(散裝)

白花菜 1K*10包   550元/箱
白花菜 10k/箱   500元/箱(散裝)

玉米粒1K*10包 600元/箱
三色混合蔬菜1K*15包  690元/箱
以上稅價"
User,左營/孟婆客棧(AQD500000),2025/06/17,14:55:27,我要叫貨的話送禮拜幾
User,左營/孟婆客棧(AQD500000),2025/06/17,14:55:34,需滿多少才有送
User,左營/孟婆客棧(AQD500000),2025/06/17,14:55:51,玉米粒跟三色有散包嗎
Account,俐均,2025/06/17,14:56:04,送貨路線是一.三.五
Account,俐均,2025/06/17,14:56:29,滿5公斤送貨
User,左營/孟婆客棧(AQD500000),2025/06/17,14:56:41,收到
User,左營/孟婆客棧(AQD500000),2025/06/17,14:57:01,需叫貨再跟您聯絡 謝謝(感謝)
Account,俐均,2025/06/17,14:57:08,"若拿散包一包加10元,會建議拿整箱會比較便宜"
User,左營/孟婆客棧(AQD500000),2025/06/17,14:57:23,你們有目錄本嗎
Account,俐均,2025/06/17,14:57:32,有的
User,左營/孟婆客棧(AQD500000),2025/06/17,14:57:34,到時候送貨可以給我一本嗎
Account,俐均,2025/06/17,14:57:35,請稍等
Account,俐均,2025/06/17,14:57:59,我們有電子檔可以給您參考
User,左營/孟婆客棧(AQD500000),2025/06/17,14:58:05,好的
Account,俐均,2025/06/17,14:58:26,https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing
Account,俐均,2025/06/17,14:58:48,這是我們的目錄給您參考
User,左營/孟婆客棧(AQD500000),2025/06/17,15:02:24,"蒲燒鯛魚
黃金厚切豬排
牛肉片
豬肉片"
User,左營/孟婆客棧(AQD500000),2025/06/17,15:02:27,價格多少
Account,俐均,2025/06/17,15:07:45,"蒲燒鯛魚75P與90P一箱5K/1250元
黃金厚切豬排50P與60P/6K/箱1400元
牛肉片一包240元
豬肉片一包180元"
User,左營/孟婆客棧(AQD500000),2025/06/17,15:54:21,貼圖已傳送
User,左營/孟婆客棧(AQD500000),2025/06/17,18:12:17,魚排三種價格分別是多少？
Account,自動回應訊息,2025/06/17,18:12:17,貼圖已傳送
Account,自動回應訊息,2025/06/17,18:12:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/18,08:52:09,您好~冷凍魚排和虱目魚排 都是固定6公斤/箱  60片 750元
Account,林鈺婷,2025/06/18,08:52:26,988香酥魚排大約80片左右 一箱也是6公斤/750元
User,左營/孟婆客棧(AQD500000),2025/06/18,14:12:46,我想請問 你們魚排 厚切豬排有試用品嗎？
User,左營/孟婆客棧(AQD500000),2025/06/18,14:13:33,我們是便當店 想要試看看你們的產品
Account,林鈺婷,2025/06/18,14:13:53,可以喔~請問要試用哪些呢?
User,左營/孟婆客棧(AQD500000),2025/06/18,14:15:59,鐵路排骨價格多少
User,左營/孟婆客棧(AQD500000),2025/06/18,14:17:07,三種魚排、黃金厚切豬排、鐵路排骨
Account,林鈺婷,2025/06/18,14:31:22,等等請業務跟您聯絡喔~
User,左營/孟婆客棧(AQD500000),2025/06/18,14:31:41,收到 謝謝您
Account,林鈺婷,2025/06/18,16:25:26,老闆娘您好~星期五帶過去給您看喔
User,左營/孟婆客棧(AQD500000),2025/06/18,17:36:08,收到
Account,自動回應訊息,2025/06/18,17:36:09,貼圖已傳送
Account,自動回應訊息,2025/06/18,17:36:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
