帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,左營/慶豐燒烤(FZGD00000),2024/01/22,15:58:24,禮拜二鯖魚2箱
Account,林鈺婷,2024/01/22,15:58:46,老闆娘您好~請問有急用嗎?星期三幫您送過去方便嗎?
User,左營/慶豐燒烤(FZGD00000),2024/01/22,15:59:13,好
User,左營/慶豐燒烤(FZGD00000),2024/04/01,15:57:58,語音訊息已傳送
User,左營/慶豐燒烤(FZGD00000),2024/04/01,15:59:03,靖魚2箱
Account,俐均,2024/04/01,16:19:15,"老闆娘您好
請問有急用嗎?
星期三幫您送好嗎?"
User,左營/慶豐燒烤(FZGD00000),2024/04/01,16:21:06,好
Account,俐均,2024/04/01,16:23:34,貼圖已傳送
Account,俐均,2024/04/01,16:23:36,貼圖已傳送
User,左營/慶豐燒烤(FZGD00000),2024/06/25,16:03:25,禮拜三靖魚2箱
Account,林鈺婷,2024/06/25,16:13:35,老闆娘您好~我們鯖魚價格4月有調整喔，現在一箱是1110元
User,左營/慶豐燒烤(FZGD00000),2024/06/25,16:24:52,貼圖已傳送
User,左營/慶豐燒烤(FZGD00000),2024/09/19,14:26:26,禮拜五靖魚2箱
Account,林鈺婷,2024/09/19,14:26:39,貼圖已傳送
User,左營/慶豐燒烤(FZGD00000),2024/11/26,17:29:33,請問現在有秋刀2號嗎？
Account,林鈺婷,2024/11/26,17:29:55,您好~有的喔，秋刀2號一箱1400元
User,左營/慶豐燒烤(FZGD00000),2024/11/26,17:35:47,大概幾支？
Account,林鈺婷,2024/11/26,17:37:01,2號一箱約80～90尾
User,左營/慶豐燒烤(FZGD00000),2024/11/26,17:40:21,禮拜三秋刀和靖魚各一箱
Account,俐均,2024/11/27,08:21:46,貼圖已傳送
User,左營/慶豐燒烤(FZGD00000),2025/01/16,15:15:18,禮拜五靖魚2箱
Account,俐均,2025/01/16,15:20:54,貼圖已傳送
User,左營/慶豐燒烤(FZGD00000),2025/03/27,14:04:03,禮拜五靖魚2箱
Account,俐均,2025/03/27,14:06:11,貼圖已傳送
User,左營/慶豐燒烤(FZGD00000),2025/05/19,16:14:20,禮拜二靖魚2箱
Account,俐均,2025/05/19,16:15:26,"老闆娘您好
送貨路線是一,三,五
星期三幫您送去好嗎?"
User,左營/慶豐燒烤(FZGD00000),2025/05/19,16:23:40,好
Account,☆羅惠君☆,2025/05/19,16:25:29,貼圖已傳送
User,左營/慶豐燒烤(FZGD00000),2025/06/18,16:03:23,靖魚兩箱
Account,☆羅惠君☆,2025/06/18,16:05:26,老闆好，安排星期五幫您送過去，感謝
