帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/02,12:46:05,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/05/02,12:46:05,"泓歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,萬丹/阿泓便當(8C1200000),2025/05/02,12:46:34,萬丹阿泓便當
Account,林鈺婷,2025/05/02,12:47:59,老闆您好~
Account,林鈺婷,2025/05/02,12:48:16,請問之後是換這隻帳號叫貨嗎?
User,萬丹/阿泓便當(8C1200000),2025/05/02,12:48:35,都可
Account,林鈺婷,2025/05/02,14:08:04,貼圖已傳送
Account,林鈺婷,2025/05/02,15:11:25,"我們的DM目錄，可以參考看看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
User,萬丹/阿泓便當(8C1200000),2025/05/02,15:13:09,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/05/07,10:33:06,不用，感恩
User,萬丹/阿泓便當(8C1200000),2025/05/08,15:20:53,沒有感恩
User,萬丹/阿泓便當(8C1200000),2025/05/14,12:35:15,沒有耶，感恩
Account,林鈺婷,2025/05/14,12:37:00,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/05/15,15:13:19,沒有耶謝謝
Account,☆羅惠君☆,2025/05/15,15:14:22,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/05/15,15:16:05,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/05/19,16:06:18,沒有耶，感恩
Account,☆羅惠君☆,2025/05/19,16:09:38,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/05/19,16:25:32,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/05/22,15:20:31,二箱鹹魚
Account,☆羅惠君☆,2025/05/22,15:22:29,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/05/26,14:01:19,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/06/02,15:20:31,沒有
User,萬丹/阿泓便當(8C1200000),2025/06/04,15:29:30,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2025/06/09,16:58:16,沒有耶謝謝
User,萬丹/阿泓便當(8C1200000),2025/06/18,13:56:08,鹹魚2件
Account,☆羅惠君☆,2025/06/18,14:02:40,老闆好，安排星期五幫您送過去，感謝
User,萬丹/阿泓便當(8C1200000),2025/06/18,14:03:11,貼圖已傳送
