帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,麟洛/阿梅快餐(8ADH00000),2024/01/06,15:07:27,星期一麻煩幫我送10盒柳葉魚，青花一箱，謝謝
Account,自動回應訊息,2024/01/06,15:07:28,貼圖已傳送
Account,自動回應訊息,2024/01/06,15:07:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,麟洛/阿梅快餐(8ADH00000),2024/01/19,16:28:52,"阿梅快餐
星期一請送虱目魚（140-170）*20片，謝謝"
Account,林鈺婷,2024/01/19,16:31:08,貼圖已傳送
User,麟洛/阿梅快餐(8ADH00000),2024/01/24,14:44:56,明天麻煩幫我送10盒柳葉魚，青花一箱，謝謝
Account,俐均,2024/01/24,17:14:13,貼圖已傳送
User,麟洛/阿梅快餐(8ADH00000),2024/01/31,17:12:43,"阿梅快餐～
明天請送一箱青花 、謝謝"
Account,俐均,2024/01/31,17:13:31,貼圖已傳送
User,麟洛/阿梅快餐(8ADH00000),2024/02/06,13:47:07,2/15（四）麻煩幫我送10盒柳葉魚，青花一箱，謝謝
Account,林鈺婷,2024/02/06,14:00:56,貼圖已傳送
User,麟洛/阿梅快餐(8ADH00000),2024/02/24,14:47:55,2/26（一）麻煩幫我送10盒柳葉魚，謝謝
Account,自動回應訊息,2024/02/24,14:47:55,貼圖已傳送
Account,自動回應訊息,2024/02/24,14:47:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,麟洛/阿梅快餐(8ADH00000),2024/03/15,14:36:30,3/18（一）麻煩幫我送10盒柳葉魚，謝謝
Account,俐均,2024/03/15,14:36:38,貼圖已傳送
User,麟洛/阿梅快餐(8ADH00000),2024/04/06,15:58:06,4/8（一）麻煩幫我送10盒柳葉魚，謝謝
