帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/05/10,22:50:46,不好意思！請問你們有””喜相逢”嗎？
Account,自動回應訊息,2024/05/10,22:50:47,貼圖已傳送
Account,自動回應訊息,2024/05/10,22:50:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/11,22:21:17,有裹粉的和沒裹粉的都有
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/05/11,22:27:57,"請問一箱大約幾隻？
各別多少錢呢？"
Account,自動回應訊息,2024/05/11,22:27:58,貼圖已傳送
Account,自動回應訊息,2024/05/11,22:27:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/05/11,22:29:06,一隻大約多重呢？
Account,自動回應訊息,2024/05/11,22:29:06,貼圖已傳送
Account,自動回應訊息,2024/05/11,22:29:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/12,20:16:51,照片已傳送
Account,王振華,2024/05/12,20:17:02,照片已傳送
Account,王振華,2024/05/12,20:20:02,"一包1公斤40～42尾180元
整箱購特價825元（5包）
"
Account,王振華,2024/05/12,20:21:49,照片已傳送
Account,王振華,2024/05/12,20:22:06,一盒50元
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/05/12,20:43:33,好的 感謝
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/06/24,17:18:26,抱歉！請問你們有牛五花嗎？
Account,林鈺婷,2024/06/24,17:22:16,不好意思~目前沒有
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/06/24,17:22:44,貼圖已傳送
Account,俐均,2024/06/24,17:23:27,貼圖已傳送
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/07/16,10:21:15,"早安！親愛的廠商~
預計八月中旬 岡山門市開幕
想請問貴公司能持續配合呢？
（高雄市岡山區前峰路114-3號）"
Account,俐均,2024/07/16,10:33:33,"老闆娘好
我們岡山區固定二、四送
但送到到店裡會是下午三點多
請問ok嗎？"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/07/16,10:34:31,可以
Account,俐均,2024/07/16,10:36:10,貼圖已傳送
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/08/14,09:15:35,您好！我們預計8/20試營運
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/08/14,09:15:52,但冰箱8／17才會通電
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/08/14,09:18:05,請問可否8/19早上到貨
Account,林鈺婷,2024/08/14,09:31:10,可以8/19幫您送~但因為星期一貨量比較多，時間會比較不一定
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/08/14,09:33:50,好的 感謝
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/18,16:53:14,請問柳葉魚特價？效期？
Account,林鈺婷,2024/09/18,16:55:01,柳葉魚特價買4送1，平均一包144元
Account,林鈺婷,2024/09/18,16:55:22,效期到明年年中，實際的日期，明天幫您確認方便嗎
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/18,17:01:07,有果粉的海苔？
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/18,17:01:11,一包幾隻
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/18,17:01:16,好
Account,俐均,2024/09/18,17:03:13,約42隻
Account,林鈺婷,2024/09/19,16:37:17,老闆娘您好~到明年5月喔
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/22,14:37:34,照片已傳送
Account,自動回應訊息,2024/09/22,14:37:35,貼圖已傳送
Account,自動回應訊息,2024/09/22,14:37:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/22,14:37:41,照片已傳送
Account,自動回應訊息,2024/09/22,14:37:42,貼圖已傳送
Account,自動回應訊息,2024/09/22,14:37:42,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/22,14:37:49,照片已傳送
Account,自動回應訊息,2024/09/22,14:37:50,貼圖已傳送
Account,自動回應訊息,2024/09/22,14:37:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/09/23,10:56:44,"老闆娘您好~日本帶子
一盒一公斤
S一盒1350元
M一盒1600元
白蝦仁
一包150克
(小)75元/包
(大)85元/包
鮪魚珍珠丸
一包600克 148元"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/09/24,21:57:23,"請問日本帶子S.M 
一顆幾公分大？一盒有幾顆？"
Account,自動回應訊息,2024/09/24,21:57:24,貼圖已傳送
Account,自動回應訊息,2024/09/24,21:57:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/09/25,09:15:31,"日本帶子S 一盒約31-35個 3-4公分
M 一盒約26-30個 4-5公分"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/10/01,21:04:50,照片已傳送
Account,自動回應訊息,2024/10/01,21:04:51,貼圖已傳送
Account,自動回應訊息,2024/10/01,21:04:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/10/01,21:05:06,這個跟我們的鰻魚一樣？
Account,自動回應訊息,2024/10/01,21:05:07,貼圖已傳送
Account,自動回應訊息,2024/10/01,21:05:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/10/03,14:02:46,照片已傳送
Account,王振華,2024/10/03,17:00:50,老闆娘好，請問怎麼了
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/10/03,17:01:05,？
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/10/03,17:01:16,照片已傳送
User,岡山/紅蕃茄便當(CZF125ZZZ),2024/10/03,17:01:27,這個跟我們的鰻魚一樣嗎？
Account,王振華,2024/10/03,17:02:28,是一樣的
