帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,啊心(弘禾越南小吃),2024/01/14,13:15:11,照片已傳送
User,啊心(弘禾越南小吃),2024/01/14,13:15:11,照片已傳送
Account,自動回應訊息,2024/01/14,13:15:11,貼圖已傳送
Account,自動回應訊息,2024/01/14,13:15:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,啊心(弘禾越南小吃),2024/01/14,13:15:19,語音訊息已傳送
Account,自動回應訊息,2024/01/14,13:15:20,貼圖已傳送
Account,自動回應訊息,2024/01/14,13:15:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/14,17:19:41,貼圖已傳送
User,啊心(弘禾越南小吃),2024/03/07,23:34:41,照片已傳送
User,啊心(弘禾越南小吃),2024/03/07,23:34:41,照片已傳送
Account,自動回應訊息,2024/03/07,23:34:42,貼圖已傳送
Account,自動回應訊息,2024/03/07,23:34:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,啊心(弘禾越南小吃),2024/03/07,23:34:55,語音訊息已傳送
Account,自動回應訊息,2024/03/07,23:34:55,貼圖已傳送
Account,自動回應訊息,2024/03/07,23:34:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/03/08,00:47:39,鯖魚一箱，虱目魚
Account,王振華,2024/03/08,00:47:54,10片
User,啊心(弘禾越南小吃),2024/03/08,00:48:18,對吖
Account,王振華,2024/03/08,00:48:45,好的謝謝您
Account,林鈺婷,2024/04/11,16:03:24,"老闆娘您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚M 每公斤調漲10元 一箱價格為960元(sparkle)
造成不便，尚請海涵見諒"
User,啊心(弘禾越南小吃),2024/04/11,16:05:17,好，我知道了，謝謝你
Account,林鈺婷,2024/04/11,16:05:36,貼圖已傳送
User,啊心(弘禾越南小吃),2024/05/01,14:33:26,照片已傳送
User,啊心(弘禾越南小吃),2024/05/01,14:33:27,照片已傳送
User,啊心(弘禾越南小吃),2024/05/01,14:33:31,語音訊息已傳送
User,啊心(弘禾越南小吃),2024/05/01,16:16:10,我們9點還開
Account,林鈺婷,2024/05/01,17:07:03,老闆娘不好意思，我們今天公休 明天幫您送過去方便嗎
User,啊心(弘禾越南小吃),2024/05/01,17:07:21,語音訊息已傳送
Account,林鈺婷,2024/05/01,17:07:51,好的 
Account,林鈺婷,2024/05/01,17:07:56,貼圖已傳送
User,啊心(弘禾越南小吃),2024/06/25,10:19:53,照片已傳送
User,啊心(弘禾越南小吃),2024/06/25,10:20:00,語音訊息已傳送
Account,俐均,2024/06/25,10:32:03,鯖魚m*1箱
