帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,林鈺婷,2024/01/23,14:03:56,老闆娘您好，我們柳葉魚  L有貨了喔~請問有需要嗎?
User,鹽埔/可口樂自助餐(DDXY5H000),2024/01/23,14:10:39,"不要海苔的！
有裏粉柳葉魚乚來一箱
牛肉片1公斤
裏漿紐澳良腿排1箱"
User,鹽埔/可口樂自助餐(DDXY5H000),2024/01/23,14:10:52,星期四
Account,俐均,2024/01/23,14:15:22,貼圖已傳送
User,鹽埔/可口樂自助餐(DDXY5H000),2024/01/29,07:15:14,"星期一麻煩送
裹漿紐澳良腿排1箱
柳葉魚  L一箱
干貝酥1盒"
Account,自動回應訊息,2024/01/29,07:15:15,貼圖已傳送
Account,自動回應訊息,2024/01/29,07:15:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/03,21:04:53,"星期一麻煩送
裹漿紐澳良腿排1箱
柳葉魚  L一箱
豬肉片1公斤
牛肉片1公斤"
Account,自動回應訊息,2024/02/03,21:04:54,貼圖已傳送
Account,自動回應訊息,2024/02/03,21:04:54,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/05,14:28:18,照片已傳送
Account,俐均,2024/02/05,14:29:20,"老闆娘您好
請問怎麼了?"
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/05,14:30:09,"柳葉魚只有一箱、
算去3箱的錢"
Account,林鈺婷,2024/02/05,14:30:47,老闆娘不好意思~我再請司機退1100元給您
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/05,14:31:24,下次來再說
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/05,14:32:10,過年後再說了！不急！
Account,林鈺婷,2024/02/05,14:32:15,不好意思~下次送貨請司機直接扣掉1100元方便嗎?
Account,林鈺婷,2024/02/05,14:32:24,實在很抱歉
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/05,14:32:26,可以！
Account,林鈺婷,2024/02/05,14:32:36,貼圖已傳送
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/05,14:32:41,貼圖已傳送
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/14,14:25:11,"星期四麻煩送
有裏粉柳葉魚乚1箱
裏漿紐澳良腿排1箱"
Account,林鈺婷,2024/02/14,16:01:47,老闆娘不好意思～目前只有M的可以嗎？
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/14,16:15:19,貼圖已傳送
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/21,16:55:35,"可以打電話給我嗎？
0911887645"
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/21,16:56:18,想問魚的規格
Account,俐均,2024/02/21,16:57:25,貼圖已傳送
Account,林鈺婷,2024/02/21,17:50:16,老闆娘您好~剛剛打沒人接
Account,林鈺婷,2024/02/21,17:55:30,"肉魚我們目前只有100/120這個規格
一箱10公斤 1050元 一尾大約14.5元"
Account,林鈺婷,2024/02/21,17:55:37,照片已傳送
User,鹽埔/可口樂自助餐(DDXY5H000),2024/02/21,19:51:52,"明天麻煩送
肉魚一箱
挪威鲭魚B5公斤100、130一箱
裹漿紐澳良腿排一箱"
Account,自動回應訊息,2024/02/21,19:51:53,貼圖已傳送
Account,自動回應訊息,2024/02/21,19:51:53,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
