帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,苓雅/好心在美味健(CVYAJRDHC),2024/01/05,11:56:15,"你好，我是好心在老闆

剛剛業務吳武聖先生，有麻煩你們再跟我重新報價蒲燒鯛

因為我們店長，只做到一月底，所以之後的報價麻煩你直接對我，謝謝您喔"
Account,林鈺婷,2024/01/05,11:56:30,貼圖已傳送
User,苓雅/好心在美味健(CVYAJRDHC),2024/01/05,11:56:40,貼圖已傳送
Account,林鈺婷,2024/01/05,11:56:52,晚點確認完，在回覆您，謝謝
Account,林鈺婷,2024/01/05,12:53:16,老闆娘您好~之前用的蒲燒鯛魚，最近有安排進貨了，價格不變喔，謝謝
User,苓雅/好心在美味健(CVYAJRDHC),2024/01/22,17:55:31,"有的，之前已經有跟業務叫貨了

下一次我再從這裡叫貨

謝謝你"
User,苓雅/好心在美味健(CVYAJRDHC),2024/01/22,19:50:43,"麻煩星期四幫我送一箱蒲燒鯛

我星期五要用，所以星期四一定要送來喔，謝謝你☺️🙏🙏🙏"
Account,自動回應訊息,2024/01/22,19:50:44,貼圖已傳送
Account,自動回應訊息,2024/01/22,19:50:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/23,08:39:37,老闆娘您好，星期三幫您送過去方便嗎?
User,苓雅/好心在美味健(CVYAJRDHC),2024/01/23,09:39:34,可以，謝謝你
User,苓雅/好心在美味健(CVYAJRDHC),2024/01/24,15:03:19,麻煩幫我送一箱鯖魚來，謝謝您
User,苓雅/好心在美味健(CVYAJRDHC),2024/01/24,15:23:59,"麻煩幫我送
1箱鯖魚
1包玉米粒
1包無殼毛豆仁
謝謝您"
Account,林鈺婷,2024/01/24,17:18:15,貼圖已傳送
User,苓雅/好心在美味健(CVYAJRDHC),2024/02/20,20:43:12,"麻煩幫我送
1箱鯖魚
1包玉米粒
謝謝您"
Account,自動回應訊息,2024/02/20,20:43:12,貼圖已傳送
Account,自動回應訊息,2024/02/20,20:43:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,苓雅/好心在美味健(CVYAJRDHC),2024/03/27,20:37:40,麻煩星期五幫我送一箱鯖魚，謝謝你
Account,自動回應訊息,2024/03/27,20:37:41,貼圖已傳送
Account,自動回應訊息,2024/03/27,20:37:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/好心在美味健(CVYAJRDHC),2024/03/28,10:47:17,麻煩再幫我多送三條蒲燒鰻魚，謝謝
User,苓雅/好心在美味健(CVYAJRDHC),2024/03/28,10:51:11,你們老闆新研發的那個產品
Account,俐均,2024/03/28,10:57:28,貼圖已傳送
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/16,21:48:25,還有存貨，謝謝您
Account,自動回應訊息,2024/04/16,21:48:25,貼圖已傳送
Account,自動回應訊息,2024/04/16,21:48:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/18,14:02:51,我問一下夥伴，有需要再跟你講
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/21,16:54:23,請問一下你們公司有皇帝豆嗎？
Account,自動回應訊息,2024/04/21,16:54:23,貼圖已傳送
Account,自動回應訊息,2024/04/21,16:54:23,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/21,17:11:39,"老闆娘您好
有的"
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/21,17:12:50,"太好了，那我下次一起叫貨，謝謝

或者是如果有路過我們附近，能先幫我帶兩包過來嗎？"
Account,自動回應訊息,2024/04/21,17:12:51,貼圖已傳送
Account,自動回應訊息,2024/04/21,17:12:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/23,19:45:49,請幫我報價一下
Account,自動回應訊息,2024/04/23,19:45:50,貼圖已傳送
Account,自動回應訊息,2024/04/23,19:45:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/23,19:46:12,"生食級干貝
熟白蝦"
Account,自動回應訊息,2024/04/23,19:46:13,貼圖已傳送
Account,自動回應訊息,2024/04/23,19:46:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/23,19:46:50,照片已傳送
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/23,19:46:50,照片已傳送
Account,自動回應訊息,2024/04/23,19:46:51,貼圖已傳送
Account,自動回應訊息,2024/04/23,19:46:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/24,09:00:33,"老闆娘您好
干貝-S 1352元/盒
干貝-M 1607元/盒
熟白蝦600g 315元/盒(約24~26隻)"
Account,俐均,2024/04/24,09:00:56,扇貝註缺貨中
User,苓雅/好心在美味健(CVYAJRDHC),2024/04/24,10:45:27,好的，謝謝你幫我報價喔
Account,俐均,2024/04/24,10:55:20,貼圖已傳送
User,苓雅/好心在美味健(CVYAJRDHC),2024/05/12,19:21:12,明天請幫我送一箱蒲燒鯛，謝謝
Account,自動回應訊息,2024/05/12,19:21:13,貼圖已傳送
Account,自動回應訊息,2024/05/12,19:21:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/05/13,09:54:44,老闆娘您好～我們蒲燒鯛魚90p的缺貨 先幫您送75p的方便嗎？
User,苓雅/好心在美味健(CVYAJRDHC),2024/05/13,10:05:06,請問90的什麼時候會來？
User,苓雅/好心在美味健(CVYAJRDHC),2024/05/13,10:05:12,因為我們還有一些庫存
User,苓雅/好心在美味健(CVYAJRDHC),2024/05/13,10:14:55,"請問你們有3S的干貝嗎？
多少錢呢？"
Account,林鈺婷,2024/05/13,10:15:27,晚點跟廠商確認一下 跟您回覆喔
User,苓雅/好心在美味健(CVYAJRDHC),2024/05/13,10:16:47,"我看你們也有學甲魚丸
請問給廠商的價格是多少？"
Account,俐均,2024/05/13,11:01:00,"老闆娘您好
學甲虱目魚丸600G/96元包"
Account,俐均,2024/05/13,11:03:15,沒有
