帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/01/26,14:12:15,"您好 我要訂貨
一樣兩箱鯖魚"
Account,俐均,2024/01/26,14:13:32,"老闆您好
下星期一幫您寄出好嗎?"
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/01/26,14:13:40,好的 謝謝
Account,俐均,2024/01/26,14:13:45,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/04/01,04:27:49,"您好 我要訂貨
一樣兩箱鯖魚"
Account,自動回應訊息,2024/04/01,04:27:49,貼圖已傳送
Account,自動回應訊息,2024/04/01,04:27:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/11,11:40:16,"老闆您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚L 每公斤調漲10元 一箱價格為1040元(sparkle)
造成不便，尚請海涵見諒"
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/04/29,05:17:58,"您好 我要訂貨
一樣兩箱鯖魚"
Account,自動回應訊息,2024/04/29,05:17:59,貼圖已傳送
Account,自動回應訊息,2024/04/29,05:17:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/05/27,21:30:51,"您好 我要訂貨
一樣兩箱鯖魚"
Account,自動回應訊息,2024/05/27,21:30:51,貼圖已傳送
Account,自動回應訊息,2024/05/27,21:30:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/05/31,11:53:10,照片已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/06/14,02:05:37,"您好 我要訂貨
一樣兩箱鯖魚"
Account,自動回應訊息,2024/06/14,02:05:38,貼圖已傳送
Account,自動回應訊息,2024/06/14,02:05:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/07/05,09:58:12,"您好 我要訂貨
一樣兩箱鯖魚"
Account,俐均,2024/07/05,10:00:00,"老闆好
請問明天店裡有人可以收貨嗎?"
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/07/05,10:00:15,有
Account,俐均,2024/07/05,10:02:39,今天幫您寄出
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/07/05,10:09:19,貼圖已傳送
Account,俐均,2024/07/05,11:28:11,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/07/22,14:26:13,"您好 我要訂貨
一樣兩箱鯖魚"
Account,林鈺婷,2024/07/22,14:28:17,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/08/13,12:32:28,"您好 我要訂貨
一樣兩箱鯖魚"
Account,林鈺婷,2024/08/13,12:46:22,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/08/29,03:40:19,"您好 我要訂貨
一樣兩箱鯖魚"
Account,自動回應訊息,2024/08/29,03:40:20,貼圖已傳送
Account,自動回應訊息,2024/08/29,03:40:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/09/13,13:03:58,"您好 我要訂貨
一樣兩箱鯖魚"
Account,林鈺婷,2024/09/13,14:02:05,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/10/03,05:09:19,"您好 我要訂貨
一樣兩箱鯖魚"
Account,自動回應訊息,2024/10/03,05:09:20,貼圖已傳送
Account,自動回應訊息,2024/10/03,05:09:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/10/04,11:49:09,老闆不好意思~今天物流沒有收貨，安排星期一幫您寄出喔
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/10/04,11:49:42,Ok
Account,林鈺婷,2024/10/14,15:58:40,照片已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/10/22,14:34:36,"您好 我要訂貨
一樣兩箱鯖魚"
Account,林鈺婷,2024/10/22,14:38:18,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/11/04,14:18:45,"您好 我要訂貨
一樣兩箱鯖魚"
Account,俐均,2024/11/04,14:21:09,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/11/20,10:48:09,"您好 我要訂貨
一樣兩箱鯖魚"
Account,林鈺婷,2024/11/20,11:05:28,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/12/16,12:29:23,"您好 我要訂貨
一樣兩箱鯖魚"
Account,林鈺婷,2024/12/16,12:42:55,貼圖已傳送
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/12/30,15:11:06,"您好 我要訂貨
一樣兩箱鯖魚"
Account,林鈺婷,2024/12/30,15:14:40,請問星期三有營業可以收貨嗎?
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/12/30,15:27:03,可唷
Account,林鈺婷,2024/12/30,15:29:56,那目前安排明天幫您寄出~謝謝
User,新竹/克蔓莉咖啡館(DAXDZEV50),2024/12/30,15:30:09,好的
