帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/10,19:46:20,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/10,19:46:20,"1234️⃣567890️⃣歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三民/雅米建工店(123)(UATZRE,2025/06/10,19:47:03,貼圖已傳送
Account,自動回應訊息,2025/06/10,19:47:03,貼圖已傳送
Account,自動回應訊息,2025/06/10,19:47:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/雅米建工店(123)(UATZRE,2025/06/10,19:49:51,"雅米建工
建工路452
明天要

鯖魚一箱
四季豆一箱
杏鮑菇B

詢價"
Account,自動回應訊息,2025/06/10,19:49:52,貼圖已傳送
Account,自動回應訊息,2025/06/10,19:49:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/雅米建工店(123)(UATZRE,2025/06/10,19:55:06,先詢價
Account,自動回應訊息,2025/06/10,19:55:07,貼圖已傳送
Account,自動回應訊息,2025/06/10,19:55:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/06/11,08:20:45,"早安
業務通知您的杏鮑菇是要好一點的是A級的
今天先幫您出A級的嗎??"
Account,俐均,2025/06/11,08:33:27,照片已傳送
User,三民/雅米建工店(123)(UATZRE,2025/06/11,09:21:10,貼圖已傳送
Account,俐均,2025/06/11,11:13:48,"老闆娘您好
品項報價
青花小包裝$578元
白花大包裝$525元
四季豆大包裝$693元
毛豆仁小包裝$1733元
玉米筍切段小包裝$819元
杏鮑菇A/3K$147元
杏鮑菇B/3K$126元
鯖魚160/200A 6K $1512元
"
User,三民/雅米建工店(123)(UATZRE,2025/06/11,11:14:41,貼圖已傳送
Account,俐均,2025/06/11,11:15:18,貼圖已傳送
User,三民/雅米建工店(123)(UATZRE,2025/06/12,14:01:16,目前不用喔
Account,俐均,2025/06/12,14:02:47,貼圖已傳送
