帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/08/12,15:28:49,請問苦瓜(1)散裝價格? (2)5/3vu; ru84ek6
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/08/12,15:36:02,"請問以下商品 (1)散裝價格?  (2)整箱價格

苦瓜、玉米塊、青花菜、白花菜、玉米筍、玉米粒、芋頭塊、三色豆、紅蘿蔔丁、咕咾肉、鹹豬肉、豬頭皮"
Account,林鈺婷,2024/08/12,15:36:47,照片已傳送
Account,林鈺婷,2024/08/12,15:38:39,"咕咾肉 一箱5.4公斤930元
鹹豬肉 一箱6公斤1200元
豬頭皮一包3公斤470元"
Account,林鈺婷,2024/08/12,15:38:49,以上報價都未稅
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/08/12,15:38:56,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/09/09,18:04:52,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/09/09,18:04:52,照片已傳送
Account,俐均,2024/09/10,08:36:39,"老闆娘您好
請問今天吳郭魚是送一箱嗎?"
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/09/10,12:20:51,是
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/24,16:07:19,照片已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/24,16:07:19,訂單一張，已傳真，請查收，謝謝。
Account,林鈺婷,2024/10/24,16:09:23,您好～我們吳郭魚一箱是800元（未稅）喔
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/24,16:10:42,OK，已修訂，再請安排出貨
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/24,16:12:25,照片已傳送
Account,林鈺婷,2024/10/24,16:14:54,貼圖已傳送
Account,林鈺婷,2024/10/25,11:07:49,老闆您好~今天幫您送完，我們苦瓜已全數售罄，有到貨會再另外通知，不好意思
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/28,17:52:18,照片已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/28,17:52:18,訂單1張(2部門彙整)
Account,俐均,2024/10/28,17:55:02,"老闆娘好不好意思
吳郭魚100/120缺貨中"
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/28,17:56:22,那有小隻規格嗎
Account,俐均,2024/10/28,18:00:05,"有的
"
Account,俐均,2024/10/28,18:00:21,有80/100的規格
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/28,18:00:48,出這規格的
Account,俐均,2024/10/28,18:03:27,收到
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/28,18:03:36,貼圖已傳送
Account,俐均,2024/10/28,18:03:43,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/31,18:53:57,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/10/31,18:53:57,照片已傳送
Account,自動回應訊息,2024/10/31,18:53:58,貼圖已傳送
Account,自動回應訊息,2024/10/31,18:53:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,自動回應訊息,2024/10/31,18:53:58,貼圖已傳送
Account,自動回應訊息,2024/10/31,18:53:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/04,17:47:42,訂單1張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/04,17:47:42,照片已傳送
Account,林鈺婷,2024/11/04,17:47:54,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/11,16:30:31,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/11,16:30:31,照片已傳送
Account,俐均,2024/11/11,16:53:33,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/14,17:33:32,訂單一張.
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/14,17:47:48,照片已傳送
Account,林鈺婷,2024/11/14,17:49:55,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/25,17:33:07,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/25,17:33:07,照片已傳送
Account,林鈺婷,2024/11/25,17:33:47,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/25,18:35:42,"【通知】隔壁工地11/26（二）施工灌漿，要佔用到道路，會有留一車道做通行。
如車輛無法進入驗收區，請電洽0923855711或LINE告知，另擇期地點驗收。"
Account,自動回應訊息,2024/11/25,18:35:43,貼圖已傳送
Account,自動回應訊息,2024/11/25,18:35:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/28,18:09:00,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/11/28,18:09:00,照片已傳送
Account,俐均,2024/11/29,08:25:19,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/05,17:50:29,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/05,17:50:30,照片已傳送
Account,俐均,2024/12/05,17:52:22,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/09,18:35:50,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/09,18:35:50,照片已傳送
Account,自動回應訊息,2024/12/09,18:35:50,貼圖已傳送
Account,自動回應訊息,2024/12/09,18:35:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,自動回應訊息,2024/12/09,18:35:51,貼圖已傳送
Account,自動回應訊息,2024/12/09,18:35:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/12,17:40:23,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/12,17:40:24,照片已傳送
Account,俐均,2024/12/12,17:41:14,貼圖已傳送
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/19,18:56:16,訂單一張
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/19,18:56:16,照片已傳送
Account,自動回應訊息,2024/12/19,18:56:16,貼圖已傳送
Account,自動回應訊息,2024/12/19,18:56:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,自動回應訊息,2024/12/19,18:56:16,貼圖已傳送
Account,自動回應訊息,2024/12/19,18:56:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/12/19,23:57:40,小姐好，暑魚尾（小）已出完，目前只有（大的）約36～40個，請問可以嗎？
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/19,23:58:19,好
Account,自動回應訊息,2024/12/19,23:58:19,貼圖已傳送
Account,自動回應訊息,2024/12/19,23:58:19,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/12/20,00:21:10,一樣2箱嗎？
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/20,00:21:32,好，出2箱
Account,王振華,2024/12/20,00:22:03,好的，謝謝小姐
Account,林鈺婷,2024/12/20,08:44:50,老闆不好意思~我們暑魚尾目前都已經售完，要下星期才會有貨，不好意思
User,屏市/鮪魚家族飯店(JMRYZ2Q2E),2024/12/20,09:03:05,那這2箱先取消
