帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/南方客家美食(SZDRAGE00),2024/01/04,10:40:53,今天鹹魚先取消，可以嗎？
Account,林鈺婷,2024/01/04,10:47:34,可以喔~我們在跟司機聯絡
Account,林鈺婷,2024/01/15,12:38:50,老闆您好~今天司機送過去鐵門關下來，打電話也沒有人接，所以鯖魚先帶回來囉，不好意思
User,內埔/南方客家美食(SZDRAGE00),2024/01/15,16:50:22,不好意思喔
User,內埔/南方客家美食(SZDRAGE00),2024/03/06,16:12:29,明天鹹魚先停止
Account,俐均,2024/03/06,16:13:28,貼圖已傳送
User,內埔/南方客家美食(SZDRAGE00),2024/03/14,07:40:26,今天鹹魚先暫停一次
Account,自動回應訊息,2024/03/14,07:40:27,貼圖已傳送
Account,自動回應訊息,2024/03/14,07:40:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/南方客家美食(SZDRAGE00),2024/03/16,08:41:23,星期一也暫停一次
Account,自動回應訊息,2024/03/16,08:41:24,貼圖已傳送
Account,自動回應訊息,2024/03/16,08:41:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,內埔/南方客家美食(SZDRAGE00),2024/05/05,16:04:25,明天不用送貨
Account,自動回應訊息,2024/05/05,16:04:26,貼圖已傳送
Account,自動回應訊息,2024/05/05,16:04:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/南方客家美食(SZDRAGE00),2024/05/08,15:39:11,星期四也暫停一次
Account,俐均,2024/05/08,15:41:30,貼圖已傳送
Account,俐均,2024/05/10,12:46:03,"老闆娘您好
請問下星期一要幫您送貨嗎?"
User,內埔/南方客家美食(SZDRAGE00),2024/05/10,12:47:43,星期一暫停一次
Account,俐均,2024/05/10,12:55:26,貼圖已傳送
Account,俐均,2024/05/15,12:01:02,"老闆娘您好
請問明天要幫您送貨嗎?"
User,內埔/南方客家美食(SZDRAGE00),2024/05/15,12:02:29,要
Account,俐均,2024/05/15,12:03:59,貼圖已傳送
User,內埔/南方客家美食(SZDRAGE00),2024/05/19,23:19:19,鹹魚一箱
Account,自動回應訊息,2024/05/19,23:19:20,貼圖已傳送
Account,自動回應訊息,2024/05/19,23:19:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/南方客家美食(SZDRAGE00),2024/05/22,14:01:23,明天暫停一次
Account,俐均,2024/05/22,14:03:17,貼圖已傳送
Account,俐均,2024/06/19,11:24:01,"老闆娘好
請問明天要幫您送一箱鯖魚嗎?"
Account,林鈺婷,2024/07/08,13:04:31,照片已傳送
User,內埔/南方客家美食(SZDRAGE00),2024/07/11,05:09:10,七月11暫停一次
Account,自動回應訊息,2024/07/11,05:09:11,貼圖已傳送
Account,自動回應訊息,2024/07/11,05:09:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/07/11,08:38:14,貼圖已傳送
User,內埔/南方客家美食(SZDRAGE00),2024/08/14,15:10:13,明天暫停一次
Account,俐均,2024/08/15,09:18:59,貼圖已傳送
User,內埔/南方客家美食(SZDRAGE00),2024/09/11,14:02:16,明天鹹魚暫停一次
Account,林鈺婷,2024/09/11,14:09:46,貼圖已傳送
User,內埔/南方客家美食(SZDRAGE00),2024/09/22,21:06:33,明天暫停一次
Account,自動回應訊息,2024/09/22,21:06:33,貼圖已傳送
Account,自動回應訊息,2024/09/22,21:06:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/南方客家美食(SZDRAGE00),2024/10/10,09:35:33,禮拜五可以幫我送鹹魚嗎
Account,林鈺婷,2024/10/10,13:15:44,先請司機安排看看喔 不好意思
Account,王振華,2024/10/10,23:18:48,老闆娘好，請問下午3點至4點有人收貨嗎？
User,內埔/南方客家美食(SZDRAGE00),2024/10/11,00:20:21,可以直接放店門口，我在請人去收喔
Account,自動回應訊息,2024/10/11,00:20:22,貼圖已傳送
Account,自動回應訊息,2024/10/11,00:20:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/10/11,00:22:52,好，要到打給您，謝謝
Account,林鈺婷,2024/10/30,11:18:01,老闆娘您好~因擔心明天颱風影響無法送貨的話，改下星期一幫您送去方便嗎?
Account,林鈺婷,2024/10/30,17:02:21,剛剛有電話聯絡，如果颱風沒辦法送貨，改下星期一送
User,內埔/南方客家美食(SZDRAGE00),2024/11/06,14:55:39,明天暫停一次
User,內埔/南方客家美食(SZDRAGE00),2024/12/01,15:47:32,下禮拜一四暫停送貨
Account,自動回應訊息,2024/12/01,15:47:33,貼圖已傳送
Account,自動回應訊息,2024/12/01,15:47:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/12/01,22:35:24,貼圖已傳送
User,內埔/南方客家美食(SZDRAGE00),2024/12/04,16:30:13,星期四也不用送喔
