帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/花橘枳(CR5AGHW00),2024/04/07,18:57:24,明天幫我送 白蝦二箱
Account,自動回應訊息,2024/04/07,18:57:24,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
User,內埔/花橘枳(CR5AGHW00),2024/04/11,12:52:46,蝦子什麼時候報價
User,內埔/花橘枳(CR5AGHW00),2024/04/11,12:52:49,謝謝
Account,林鈺婷,2024/04/11,12:53:27,不好意思~廠商還沒報價
Account,林鈺婷,2024/04/11,14:09:14,老闆不好意思~一盒850克/230元
Account,林鈺婷,2024/04/11,14:09:19,請問需要幾箱呢?
User,內埔/花橘枳(CR5AGHW00),2024/04/11,17:45:59,2箱
Account,林鈺婷,2024/04/11,17:47:55,請問後續還有需要嗎?
User,內埔/花橘枳(CR5AGHW00),2024/04/11,23:35:52,先兩相用完再叫
Account,自動回應訊息,2024/04/11,23:35:52,貼圖已傳送
Account,自動回應訊息,2024/04/11,23:35:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/16,09:28:44,老闆早~星期四幫您送過去喔
User,內埔/花橘枳(CR5AGHW00),2024/04/16,17:50:01,好
Account,俐均,2024/04/16,17:50:51,貼圖已傳送
User,內埔/花橘枳(CR5AGHW00),2024/04/17,13:16:16,一箱12盒嗎？
Account,俐均,2024/04/17,14:01:21,"老闆娘您好
一箱14盒"
User,內埔/花橘枳(CR5AGHW00),2024/04/17,15:35:27,好
User,內埔/花橘枳(CR5AGHW00),2024/06/23,16:38:20,白蝦一箱
Account,自動回應訊息,2024/06/23,16:38:20,貼圖已傳送
Account,自動回應訊息,2024/06/23,16:38:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2024/08/03,23:16:49,禮拜一會出貨嗎？
Account,自動回應訊息,2024/08/03,23:16:50,貼圖已傳送
Account,自動回應訊息,2024/08/03,23:16:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2024/08/03,23:16:54,幫我送白蝦一箱
Account,自動回應訊息,2024/08/03,23:16:54,貼圖已傳送
Account,自動回應訊息,2024/08/03,23:16:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/08/04,22:05:42,"老闆好
有喔！星期一、四有送"
Account,俐均,2024/08/04,22:05:55,好的
User,內埔/花橘枳(CR5AGHW00),2024/09/01,15:43:01,禮拜一送 白蝦一箱 謝謝
Account,自動回應訊息,2024/09/01,15:43:02,貼圖已傳送
Account,自動回應訊息,2024/09/01,15:43:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/09/02,10:47:00,老闆不好意思 白蝦剩5盒 先幫您送過去
User,內埔/花橘枳(CR5AGHW00),2024/09/13,00:29:07,你們白蝦補貨的時候記得幫我補送過來
Account,自動回應訊息,2024/09/13,00:29:07,貼圖已傳送
Account,自動回應訊息,2024/09/13,00:29:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2024/09/13,00:29:14,上次只有送五盒
Account,自動回應訊息,2024/09/13,00:29:15,貼圖已傳送
Account,自動回應訊息,2024/09/13,00:29:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/09/13,12:58:45,下星期一幫您補送過去喔~不好意思
User,內埔/花橘枳(CR5AGHW00),2024/09/13,14:51:46,好
Account,林鈺婷,2024/09/13,15:09:39,請問直接送一箱過去方便嗎?
User,內埔/花橘枳(CR5AGHW00),2024/09/13,21:15:39,嗯
Account,自動回應訊息,2024/09/13,21:15:40,貼圖已傳送
Account,自動回應訊息,2024/09/13,21:15:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2024/10/26,19:47:07,禮拜一幫我送蝦子一箱
Account,自動回應訊息,2024/10/26,19:47:07,貼圖已傳送
Account,自動回應訊息,2024/10/26,19:47:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2024/11/27,11:33:31,白蝦 一箱
User,內埔/花橘枳(CR5AGHW00),2024/11/27,11:33:33,謝謝
Account,林鈺婷,2024/11/27,11:46:51,貼圖已傳送
User,內埔/花橘枳(CR5AGHW00),2024/12/18,22:12:30,白蝦一箱
Account,自動回應訊息,2024/12/18,22:12:31,貼圖已傳送
Account,自動回應訊息,2024/12/18,22:12:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2025/01/09,15:03:14,白蝦兩箱
Account,林鈺婷,2025/01/09,15:12:28,不好意思~我們目前只剩一箱，先幫送過去，剩下的下次幫您補送方便嗎?
Account,林鈺婷,2025/01/09,17:11:31,不好意思~我們星期一一起幫您送過去方便嗎? 
User,內埔/花橘枳(CR5AGHW00),2025/01/11,01:23:00,行
Account,自動回應訊息,2025/01/11,01:23:01,貼圖已傳送
Account,自動回應訊息,2025/01/11,01:23:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2025/01/11,10:51:24,照片已傳送
User,內埔/花橘枳(CR5AGHW00),2025/01/11,10:51:24,照片已傳送
Account,自動回應訊息,2025/01/11,10:51:25,貼圖已傳送
Account,自動回應訊息,2025/01/11,10:51:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2025/01/11,10:55:36,有沒有鯉魚片
Account,自動回應訊息,2025/01/11,10:55:37,貼圖已傳送
Account,自動回應訊息,2025/01/11,10:55:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/01/12,20:20:59,目前沒有
User,內埔/花橘枳(CR5AGHW00),2025/01/13,10:10:11,鱸魚片
User,內埔/花橘枳(CR5AGHW00),2025/01/13,10:10:14,有嗎
User,內埔/花橘枳(CR5AGHW00),2025/01/13,10:10:27,拿一包來試試看 謝謝
Account,林鈺婷,2025/01/13,10:35:15,鱸魚片目前缺貨 不好意思
User,內埔/花橘枳(CR5AGHW00),2025/03/02,17:59:16,火鍋蝦一箱
User,內埔/花橘枳(CR5AGHW00),2025/03/02,17:59:27,白蝦一箱
Account,俐均,2025/03/03,08:58:32,貼圖已傳送
Account,林鈺婷,2025/03/05,12:32:40,老闆您好~星期一有電話聯絡說星期四會幫您送過去
User,內埔/花橘枳(CR5AGHW00),2025/03/05,14:37:10,🤓好的 🫡
Account,俐均,2025/03/05,14:40:01,貼圖已傳送
User,內埔/花橘枳(CR5AGHW00),2025/03/17,01:37:35,你們秋刀魚怎麼賣
Account,自動回應訊息,2025/03/17,01:37:35,貼圖已傳送
Account,自動回應訊息,2025/03/17,01:37:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/花橘枳(CR5AGHW00),2025/03/17,01:39:05,一箱大概幾隻
Account,自動回應訊息,2025/03/17,01:39:05,貼圖已傳送
Account,自動回應訊息,2025/03/17,01:39:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
