帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/06,10:50:45,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/06,10:50:45,"Eden Wu歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Eden Wu,2025/06/06,10:50:52,Hi 
Account,☆羅惠君☆,2025/06/06,10:51:17,老闆您好
Account,王振華,2025/06/08,19:42:32,老闆好，請問您的店名店址
User,Eden Wu,2025/06/08,19:42:47,台南
Account,自動回應訊息,2025/06/08,19:42:47,貼圖已傳送
Account,自動回應訊息,2025/06/08,19:42:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,Eden Wu,2025/06/08,19:42:58,等等
Account,自動回應訊息,2025/06/08,19:42:59,貼圖已傳送
Account,自動回應訊息,2025/06/08,19:42:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
