帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,yenyiting(台南顏記雞絲飯),2024/01/04,16:01:55,"老闆,這個星期五配送台南
薄鹽鯖魚6公斤裝的6箱 
謝謝"
Account,俐均,2024/01/04,16:03:38,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/01/08,14:11:51,"老闆,請問這蒲燒腹排是那一種肉？
是冷凍熟食嗎？
謝謝"
Account,林鈺婷,2024/01/08,14:17:28,"老闆您好~是鯛魚片喔
是冷凍熟食沒錯，但要加熱後才能食用喔"
User,yenyiting(台南顏記雞絲飯),2024/01/17,14:10:09,老闆請問你這個電子日曆是怎麼做的呢
Account,林鈺婷,2024/01/17,14:12:10,老闆您好~是用設計畫的喔
Account,林鈺婷,2024/01/25,14:06:23,"老闆您好，請問明天1/26(五)有需要送貨嗎?
(small yellow diamond)過年前2/2為最後一天送貨日喔"
User,yenyiting(台南顏記雞絲飯),2024/01/30,18:35:59,"老闆,這個星期五配送台南
薄鹽鯖魚6公斤裝的10箱 
請先幫我預留
謝謝"
Account,自動回應訊息,2024/01/30,18:36:00,貼圖已傳送
Account,自動回應訊息,2024/01/30,18:36:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,yenyiting(台南顏記雞絲飯),2024/01/31,14:40:57,"老闆,星期五要記得幫我配送鯖魚10箱
謝謝"
Account,俐均,2024/01/31,14:43:15,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/02/22,16:07:07,"老闆,這個星期五配送台南
薄鹽鯖魚6公斤裝的6箱 
謝謝"
Account,林鈺婷,2024/02/22,16:07:55,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/03/14,14:25:37,"老闆,這個星期五配送台南
薄鹽鯖魚6公斤裝的6箱 
謝謝"
Account,俐均,2024/03/14,14:25:56,貼圖已傳送
Account,林鈺婷,2024/03/28,15:41:57,老闆您好~明天有需要幫您配送嗎?
User,yenyiting(台南顏記雞絲飯),2024/03/28,15:51:18,"老闆,下星期我公休7天
需求量不多,
明天星期五配送台南順路的話,薄鹽鯖魚6公斤裝的3箱 
不方便就下次在送
謝謝"
Account,俐均,2024/03/28,15:54:51,"老闆您好
明天幫您送喔"
User,yenyiting(台南顏記雞絲飯),2024/03/28,15:55:44,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:41:00,照片已傳送
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:41:26,"老闆,請問你們鮭魚怎麼賣?"
Account,俐均,2024/04/09,17:44:06,老闆您好
Account,俐均,2024/04/09,17:44:20,請問要哪一種呢?
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:44:56,照片已傳送
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:45:27,有沒有單賣這一種半月切的?
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:45:39,一片大概多重?
Account,俐均,2024/04/09,17:46:19,一片約250克
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:46:48,這一種切多厚?
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:47:24,一件幾公斤?多少錢?
Account,俐均,2024/04/09,17:47:36,"鮭魚條肉204元/盒
庫存不多"
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:49:50,這一種有沒有單片220g左右的
User,yenyiting(台南顏記雞絲飯),2024/04/09,17:49:50,照片已傳送
Account,俐均,2024/04/09,17:50:02,"不好意思
報錯"
Account,俐均,2024/04/09,17:50:15,查詢中
Account,俐均,2024/04/09,18:00:27,照片已傳送
Account,俐均,2024/04/09,18:03:03,"老闆您好
目前鮭魚清肉
170/200    140元/片
200/240     165元/片"
Account,俐均,2024/04/09,18:04:48,這個規格目前缺貨中
User,yenyiting(台南顏記雞絲飯),2024/04/18,08:17:14,"老闆,這個星期五配送台南
薄鹽鯖魚6公斤裝的3箱 
因為台南只有星期五配送差一天,這能按照舊價格嗎？
謝謝"
Account,自動回應訊息,2024/04/18,08:17:15,貼圖已傳送
Account,自動回應訊息,2024/04/18,08:17:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/18,08:31:26,可以喔~這趟算您舊價
User,yenyiting(台南顏記雞絲飯),2024/04/18,09:04:12,(感謝)
User,yenyiting(台南顏記雞絲飯),2024/04/18,16:10:29,"老闆,明天星期五配送台南
薄鹽鯖魚6公斤裝的3箱在多加一箱
全部共4箱 
謝謝"
Account,俐均,2024/04/18,16:11:23,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/05/13,10:12:33,"老闆,請問現在薄鹽鯖魚6公斤1箱多少？
冷凍宅配一箱運費多少？
謝謝"
Account,林鈺婷,2024/05/13,10:16:43,"鯖魚6公斤/一箱1170元 
宅配20公斤以內一箱都是280元"
User,yenyiting(台南顏記雞絲飯),2024/05/13,10:20:43,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/05/13,14:50:55,"老闆,請幫我寄薄鹽鯖魚6公斤裝共3箱
冷凍宅配至
高雄茄定區頂漁路50號
0929130083
顏彥輝收
請上午前到貨
下午收貨處會沒人在
謝謝"
Account,俐均,2024/05/13,14:55:49,明天幫您寄出
User,yenyiting(台南顏記雞絲飯),2024/05/14,18:47:07,請問今日寄出了嗎？
Account,自動回應訊息,2024/05/14,18:47:08,貼圖已傳送
Account,自動回應訊息,2024/05/14,18:47:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/05/15,08:40:57,昨天寄囉
Account,俐均,2024/05/15,08:41:00,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/05/15,10:07:26,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/05/27,09:04:28,"老闆,請幫我寄薄鹽鯖魚6公斤裝共3箱
冷凍宅配至
高雄茄定區頂漁路50號
0929130083
顏彥輝收
請上午前到貨
下午收貨處會沒人在
謝謝"
User,yenyiting(台南顏記雞絲飯),2024/05/27,09:04:53,"寄出前在告知一下
謝謝"
Account,俐均,2024/05/27,09:11:01,貼圖已傳送
Account,林鈺婷,2024/05/27,11:28:54,今天下午幫您寄出喔
Account,林鈺婷,2024/07/03,10:56:42,老闆您好~請問最近有需要鯖魚嗎?
User,yenyiting(台南顏記雞絲飯),2024/07/03,15:50:43,"你好,
目前店面調整中,休息到9月份會在開店
請問薄鹽鯖魚6公斤裝還有在大一號的鯖魚嗎？魚的單片重量多少g?價格為何
謝謝"
Account,俐均,2024/07/03,15:53:58,"有130/160-6K
單片重量130~160克
價格一箱1170元"
User,yenyiting(台南顏記雞絲飯),2024/09/05,17:29:01,"老闆,請幫我送薄鹽鯖魚6公斤裝共10箱我之前叫貨這一種
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,林鈺婷,2024/09/05,17:30:17,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/09/05,17:30:53,"這住址在我店附近
跟司機說在灣裡燦坤前面這條巷子比較好找"
Account,林鈺婷,2024/09/05,17:36:01,貼圖已傳送
Account,林鈺婷,2024/09/06,11:31:04,老闆您好~司機到了
Account,林鈺婷,2024/09/06,11:31:14,請問有人可以收貨嗎?打電話沒有人接
User,yenyiting(台南顏記雞絲飯),2024/09/06,11:44:15,"不好意思
剛剛外出"
Account,林鈺婷,2024/09/06,11:44:36,請問有收到貨了嗎?
User,yenyiting(台南顏記雞絲飯),2024/09/06,11:44:41,已經送達了
Account,林鈺婷,2024/09/06,11:45:05,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/10/09,11:40:29,"老闆,星期5請幫我送薄鹽鯖魚6公斤裝共10箱我之前叫貨這一種
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,林鈺婷,2024/10/09,12:25:03,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/10/24,09:30:28,"老闆,星期5請幫我送薄鹽鯖魚6公斤裝共12箱我之前叫貨這一種
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,林鈺婷,2024/10/24,10:43:18,老闆不好意思 我們目前鯖魚100/130都缺貨
User,yenyiting(台南顏記雞絲飯),2024/10/24,11:00:19,目前有多少箱？
Account,林鈺婷,2024/10/24,11:01:28,目前庫存都沒有貨 不好意思
Account,林鈺婷,2024/10/24,16:14:41,老闆您好～今天剛好生產線有產出，但只有5箱，明天先幫您送過去方便嗎？
User,yenyiting(台南顏記雞絲飯),2024/10/24,16:18:58,可以
User,yenyiting(台南顏記雞絲飯),2024/10/24,16:19:11,能到8箱嗎？
Account,林鈺婷,2024/10/24,16:22:18,不好意思~目前貨量真的不足
User,yenyiting(台南顏記雞絲飯),2024/10/24,16:23:15,"好的,麻煩司機
明天送5箱"
Account,林鈺婷,2024/10/24,16:24:07,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2024/12/12,16:53:29,"老闆,星期5請幫我送薄鹽鯖魚6公斤裝共8箱我之前叫貨這一種
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,俐均,2024/12/12,16:57:48,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2025/01/02,09:25:25,"老闆,星期5請幫我送薄鹽鯖魚6公斤裝共8箱我之前叫貨這一種
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,林鈺婷,2025/01/02,09:25:33,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2025/01/16,17:26:50,"老闆,星期5請幫我送薄鹽鯖魚6公斤裝共6箱我之前叫貨這一種
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,林鈺婷,2025/01/16,17:36:20,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2025/01/23,14:46:55,"老闆，請問明天送五箱方便嗎
目前冰箱太滿了"
Account,俐均,2025/01/23,14:49:39,好的
User,yenyiting(台南顏記雞絲飯),2025/01/23,15:00:24,麻煩妳了
Account,俐均,2025/01/23,15:01:16,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2025/02/13,16:14:40,照片已傳送
Account,俐均,2025/02/13,16:15:26,"老闆好
目前蒲燒腹排75P缺貨中,有90P的"
User,yenyiting(台南顏記雞絲飯),2025/02/13,16:15:34,請問這是熟食冷凍？
User,yenyiting(台南顏記雞絲飯),2025/02/13,16:16:05,90p 差在那
User,yenyiting(台南顏記雞絲飯),2025/02/13,16:17:12,90p 一箱多少？
Account,俐均,2025/02/13,16:17:57,建議加熱後使用
Account,俐均,2025/02/13,16:18:50,"比較小塊,一箱是1250元"
User,yenyiting(台南顏記雞絲飯),2025/02/13,16:22:05,請問蒲燒腹排是什麼魚做的
Account,俐均,2025/02/13,16:23:25,鯛魚
User,yenyiting(台南顏記雞絲飯),2025/02/13,16:24:56,"老闆,幫我送一箱試賣看看
鯖魚我還有庫存先不補
送台南市灣裡路287號
謝謝"
Account,俐均,2025/02/13,16:27:59,"老闆不好意思
可麻煩待您鯖魚用完再一起送過去好嗎?可以送同一個地址嗎?感恩"
User,yenyiting(台南顏記雞絲飯),2025/03/06,14:17:28,還有庫存，下星期補貨
Account,俐均,2025/03/06,14:17:53,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2025/03/27,14:10:59,"老闆,星期5請幫我送薄鹽鯖魚6公斤裝共6箱我之前叫貨這一種
蒲燒腹排一箱
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,林鈺婷,2025/03/27,14:56:18,貼圖已傳送
Account,俐均,2025/04/11,09:10:18,"老闆您好
請問下星期一早上店裡有人在嗎?收退貨"
Account,俐均,2025/04/11,12:24:49,"老闆好
蒲燒鰻魚80/100(單片真空)一片110元"
Account,俐均,2025/04/11,12:25:19,"https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing
"
Account,俐均,2025/04/11,12:25:32,這是我們的DM給您參考
User,yenyiting(台南顏記雞絲飯),2025/04/11,12:54:11,貼圖已傳送
Account,王振華,2025/04/11,19:50:26,老闆好，很抱歉要退的蒲燒腹排待您有叫貨送貨去時，再請司機載回
User,yenyiting(台南顏記雞絲飯),2025/04/11,21:27:58,好的
Account,自動回應訊息,2025/04/11,21:27:58,貼圖已傳送
Account,自動回應訊息,2025/04/11,21:27:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,yenyiting(台南顏記雞絲飯),2025/04/30,17:45:02,"老闆,星期5請幫我送薄鹽鯖魚6公斤裝共6箱我之前叫貨這一種
上星期退貨蒲燒腹排一箱
台南市南區明興路1312巷11號
0953247373
顏先生
謝謝"
Account,☆羅惠君☆,2025/04/30,17:50:15,貼圖已傳送
Account,林鈺婷,2025/04/30,17:54:41,老闆您好~明天的貨款8640元-退貨1238元，明天總共7402元
User,yenyiting(台南顏記雞絲飯),2025/05/01,14:09:27,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2025/05/22,15:20:34,"還有庫存，先不用
我們要搬家"
Account,☆羅惠君☆,2025/05/22,15:22:38,貼圖已傳送
User,yenyiting(台南顏記雞絲飯),2025/06/05,14:38:29,還有，謝謝
