帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,九如/來來自助餐(XXY5H0000),2024/01/04,06:16:38,今天麻煩送鹹魚片、毛豆仁各1箱
Account,自動回應訊息,2024/01/04,06:16:39,貼圖已傳送
Account,自動回應訊息,2024/01/04,06:16:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/08,06:14:02,今天麻煩送鹹魚片1箱
Account,自動回應訊息,2024/01/08,06:14:02,貼圖已傳送
Account,自動回應訊息,2024/01/08,06:14:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/08,07:26:00,追加毛豆1箱
Account,自動回應訊息,2024/01/08,07:26:00,貼圖已傳送
Account,自動回應訊息,2024/01/08,07:26:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/11,07:12:58,今天麻煩送鹹魚片、烏魚片各1箱
Account,自動回應訊息,2024/01/11,07:12:59,貼圖已傳送
Account,自動回應訊息,2024/01/11,07:12:59,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/15,06:11:29,今天麻煩送我
Account,自動回應訊息,2024/01/15,06:11:30,貼圖已傳送
Account,自動回應訊息,2024/01/15,06:11:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/15,06:12:33,今天麻煩送烏魚片、毛豆仁各1箱
Account,自動回應訊息,2024/01/15,06:12:34,貼圖已傳送
Account,自動回應訊息,2024/01/15,06:12:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/17,22:44:33,明天麻煩送鹹魚片、烏魚片各1箱
Account,自動回應訊息,2024/01/17,22:44:34,貼圖已傳送
Account,自動回應訊息,2024/01/17,22:44:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/21,22:58:56,明天麻煩送鹹魚片、烏魚片、毛豆仁各1箱
Account,自動回應訊息,2024/01/21,22:58:57,貼圖已傳送
Account,自動回應訊息,2024/01/21,22:58:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/24,22:34:40,明天麻煩送鹹魚片、烏魚片各1箱
Account,自動回應訊息,2024/01/24,22:34:40,貼圖已傳送
Account,自動回應訊息,2024/01/24,22:34:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/01/29,06:11:46,今天麻煩送鹹魚片、毛豆仁各1箱
Account,自動回應訊息,2024/01/29,06:11:47,貼圖已傳送
Account,自動回應訊息,2024/01/29,06:11:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/02/01,06:16:50,今天麻煩送鹹魚片、烏魚片、毛豆仁各1箱
Account,自動回應訊息,2024/02/01,06:16:50,貼圖已傳送
Account,自動回應訊息,2024/02/01,06:16:50,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/02/05,07:06:19,今天麻煩送鹹魚片、烏魚片各1箱
Account,自動回應訊息,2024/02/05,07:06:20,貼圖已傳送
Account,自動回應訊息,2024/02/05,07:06:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/02/15,06:19:45,今天麻煩送鹹魚片、烏魚片、毛豆仁各1箱
Account,自動回應訊息,2024/02/15,06:19:46,貼圖已傳送
Account,自動回應訊息,2024/02/15,06:19:46,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/02/19,06:12:15,今天麻煩送鹹魚片、烏魚片各1箱
Account,自動回應訊息,2024/02/19,06:12:16,貼圖已傳送
Account,自動回應訊息,2024/02/19,06:12:16,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/02/21,10:54:33,老闆娘您好~我們紅糟赤肉有到貨，一箱6公斤1150元，給您參考看看
User,九如/來來自助餐(XXY5H0000),2024/02/21,22:42:20,明天麻煩送鹹魚片、烏魚片、紅斑魚、毛豆仁各1箱
Account,自動回應訊息,2024/02/21,22:42:21,貼圖已傳送
Account,自動回應訊息,2024/02/21,22:42:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/02/25,21:39:41,明天麻煩送鹹魚片、紅斑魚、毛豆仁各1箱
Account,自動回應訊息,2024/02/25,21:39:42,貼圖已傳送
Account,自動回應訊息,2024/02/25,21:39:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/02/29,07:54:46,今天麻煩送鹹魚片、毛豆仁各1箱
Account,自動回應訊息,2024/02/29,07:54:47,貼圖已傳送
Account,自動回應訊息,2024/02/29,07:54:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/03/04,06:20:47,今天麻煩送鹹魚片、烏魚片各1箱
Account,自動回應訊息,2024/03/04,06:20:47,貼圖已傳送
Account,自動回應訊息,2024/03/04,06:20:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/03/07,07:23:41,今天麻煩送毛豆仁、紅斑魚各1箱
Account,自動回應訊息,2024/03/07,07:23:41,貼圖已傳送
Account,自動回應訊息,2024/03/07,07:23:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/03/11,06:14:33,今天麻煩送鹹魚片、烏魚片各1箱
Account,自動回應訊息,2024/03/11,06:14:33,貼圖已傳送
Account,自動回應訊息,2024/03/11,06:14:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/03/14,06:49:21,今天麻煩送鹹魚片、烏魚片、毛豆仁各1箱
Account,自動回應訊息,2024/03/14,06:49:21,貼圖已傳送
Account,自動回應訊息,2024/03/14,06:49:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/來來自助餐(XXY5H0000),2024/03/18,06:49:45,今天麻煩送鹹魚片、紅斑、毛豆仁各1箱
Account,自動回應訊息,2024/03/18,06:49:46,貼圖已傳送
Account,自動回應訊息,2024/03/18,06:49:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/03/20,22:50:41,明天麻煩送鹹魚片、烏魚片、虱目魚排各1箱
Account,自動回應訊息,2024/03/20,22:50:41,貼圖已傳送
Account,自動回應訊息,2024/03/20,22:50:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/03/25,06:13:58,今天麻煩送鹹魚片、肉魚、紅斑魚、毛豆仁各1箱
Account,自動回應訊息,2024/03/25,06:13:59,貼圖已傳送
Account,自動回應訊息,2024/03/25,06:13:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,俐均,2024/03/25,07:07:18,"老闆娘您好
不好意思
毛豆缺貨"
User,九如/來來自助餐(XXY5H0000),2024/03/28,06:17:26,今天麻煩送肉魚、烏魚片、毛豆仁各1箱
Account,自動回應訊息,2024/03/28,06:17:26,貼圖已傳送
Account,自動回應訊息,2024/03/28,06:17:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/01,06:21:43,今天麻煩送鹹魚片2箱、烏魚片、紅班魚毛豆仁各1箱
Account,自動回應訊息,2024/04/01,06:21:44,貼圖已傳送
Account,自動回應訊息,2024/04/01,06:21:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/01,08:39:07,追加肉魚1箱
User,九如/來來自助餐(XXY5H0000),2024/04/08,06:09:13,今天麻煩送鹹魚片、肉魚、毛豆仁各1箱
Account,自動回應訊息,2024/04/08,06:09:14,貼圖已傳送
Account,自動回應訊息,2024/04/08,06:09:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/11,06:10:31,今天麻煩送鹹魚片、烏魚片、紅斑魚、肉魚各1箱
Account,自動回應訊息,2024/04/11,06:10:32,貼圖已傳送
Account,自動回應訊息,2024/04/11,06:10:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/15,07:03:38,今天麻煩送鹹魚片烏魚片肉魚虱目魚排毛豆仁各1箱
Account,自動回應訊息,2024/04/15,07:03:39,貼圖已傳送
Account,自動回應訊息,2024/04/15,07:03:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/18,06:08:59,今天麻煩送鹹魚片、烏魚片、肉魚各1箱
Account,自動回應訊息,2024/04/18,06:09:00,貼圖已傳送
Account,自動回應訊息,2024/04/18,06:09:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/22,06:12:47,今天麻煩送鹹魚片、肉魚、紅斑魚、毛豆仁各1箱
Account,自動回應訊息,2024/04/22,06:12:48,貼圖已傳送
Account,自動回應訊息,2024/04/22,06:12:48,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/25,06:14:39,今天麻煩送鹹魚片、烏魚片、毛豆仁各1箱
Account,自動回應訊息,2024/04/25,06:14:40,貼圖已傳送
Account,自動回應訊息,2024/04/25,06:14:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/04/29,06:12:09,今天麻煩送鹹魚片、烏魚片、肉魚各1箱
Account,自動回應訊息,2024/04/29,06:12:09,貼圖已傳送
Account,自動回應訊息,2024/04/29,06:12:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/02,06:06:17,今天麻煩送鹹魚片、烏魚片、肉魚、毛豆仁各1箱
Account,自動回應訊息,2024/05/02,06:06:18,貼圖已傳送
Account,自動回應訊息,2024/05/02,06:06:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/06,06:10:05,今天麻煩送烏魚片、肉魚、毛豆仁各1箱
Account,自動回應訊息,2024/05/06,06:10:06,貼圖已傳送
Account,自動回應訊息,2024/05/06,06:10:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/09,06:12:11,今天麻煩送鹹魚片、烏魚片、肉魚、白花菜小包裝各1箱
Account,自動回應訊息,2024/05/09,06:12:12,貼圖已傳送
Account,自動回應訊息,2024/05/09,06:12:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/12,21:49:53,明天麻煩送鹹魚片、烏魚片、肉魚、毛豆仁、白花菜各1箱
Account,自動回應訊息,2024/05/12,21:49:54,貼圖已傳送
Account,自動回應訊息,2024/05/12,21:49:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/15,21:21:25,明天麻煩送鹹魚片、烏魚片、紅斑魚、肉魚、虱目魚排、毛豆仁、白花菜各1箱
Account,自動回應訊息,2024/05/15,21:21:25,貼圖已傳送
Account,自動回應訊息,2024/05/15,21:21:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/19,22:33:17,明天麻煩送鹹魚片、烏魚片、肉魚、白花菜各1箱
Account,自動回應訊息,2024/05/19,22:33:17,貼圖已傳送
Account,自動回應訊息,2024/05/19,22:33:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/23,06:05:49,今天麻煩送鹹魚片、烏魚片、肉魚、毛豆仁、白花菜各1箱
Account,自動回應訊息,2024/05/23,06:05:50,貼圖已傳送
Account,自動回應訊息,2024/05/23,06:05:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/27,06:05:44,今天麻煩送鹹魚片、肉魚、白花菜、毛豆仁各1箱
Account,自動回應訊息,2024/05/27,06:05:45,貼圖已傳送
Account,自動回應訊息,2024/05/27,06:05:45,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/05/29,23:17:00,明天麻煩送鹹魚片、烏魚片、紅斑魚、肉魚、白花菜各1箱
Account,自動回應訊息,2024/05/29,23:17:01,貼圖已傳送
Account,自動回應訊息,2024/05/29,23:17:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/來來自助餐(XXY5H0000),2024/06/02,21:12:50,明天麻煩送肉魚、吳郭魚、毛豆各1箱
Account,自動回應訊息,2024/06/02,21:12:50,貼圖已傳送
Account,自動回應訊息,2024/06/02,21:12:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
