帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/02,18:22:33,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/02,18:22:33,"竣棠爸爸🌊㉿㍿歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,竣棠爸爸🌊㉿㍿(孕丞月子餐),2025/06/02,18:22:47,你好
Account,自動回應訊息,2025/06/02,18:22:47,貼圖已傳送
Account,自動回應訊息,2025/06/02,18:22:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,竣棠爸爸🌊㉿㍿(孕丞月子餐),2025/06/02,18:23:05,請問有虱目魚皮嗎…再麻煩報價..公司用
Account,自動回應訊息,2025/06/02,18:23:05,貼圖已傳送
Account,自動回應訊息,2025/06/02,18:23:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/03,08:31:36,老闆早~請問是哪間店家呢?
User,竣棠爸爸🌊㉿㍿(孕丞月子餐),2025/06/03,08:33:44,"高雄孕丞月子餐
…我是裡面廚師"
Account,林鈺婷,2025/06/03,08:46:00,您好~我們虱目魚皮 300克一包 55元喔
User,竣棠爸爸🌊㉿㍿(孕丞月子餐),2025/06/03,09:44:27,請問一箱約幾包呢
Account,林鈺婷,2025/06/03,09:47:05,看您需要幾包 搭配其他品項滿5公斤 就可以出貨 謝謝
User,竣棠爸爸🌊㉿㍿(孕丞月子餐),2025/06/03,10:05:56,知道了..謝謝
Account,林鈺婷,2025/06/03,10:06:05,貼圖已傳送
