帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,林鈺婷,2024/02/01,17:23:50,貼圖已傳送
Account,林鈺婷,2024/02/01,17:24:02,老闆您好~請問有需要訂貨嗎?
User,潮州/嘉鴻護理之家(RCCX5R000),2024/02/01,17:26:07,有，等我一下
User,潮州/嘉鴻護理之家(RCCX5R000),2024/02/01,17:27:18,"煩送：
1.秋刀魚一箱。
2.哈克魚5k兩箱。
3.花枝丸五包。
4.白蝦30/40五盒。
以上，謝謝。"
Account,林鈺婷,2024/02/01,17:28:16,老闆不好意思~我們秋刀魚目前只有比較小尾的秋刀4號，一箱850元可以嗎?
User,潮州/嘉鴻護理之家(RCCX5R000),2024/02/01,17:29:04,可以，謝謝。
User,潮州/嘉鴻護理之家(RCCX5R000),2024/02/22,09:18:38,"煩送：
1.秋刀魚一箱。
2.哈克魚一箱。
3.挪威薄鹽鯖魚（真空）L一箱。
以上，謝謝。"
Account,林鈺婷,2024/02/22,09:25:58,老闆不好意思~我們秋刀魚目前只有比較小尾的秋刀4號，一箱850元可以嗎?
User,潮州/嘉鴻護理之家(RCCX5R000),2024/02/22,09:27:43,可以，謝謝。
Account,林鈺婷,2024/02/22,09:34:02,貼圖已傳送
User,潮州/嘉鴻護理之家(RCCX5R000),2024/03/14,16:07:55,"煩送：
1.哈克魚1箱。
2.挪威薄鹽鯖魚（真空）1箱L。
3.白蝦40/50(1,15k三盒。
4.花枝丸三包。
5.丁香花生一箱。
以上，謝謝。"
Account,俐均,2024/03/14,16:09:52,貼圖已傳送
Account,俐均,2024/03/14,16:18:37,"您好
白蝦40/50(1,15k三盒)目前缺貨
幫您送31/35(600g)310元/盒"
User,潮州/嘉鴻護理之家(RCCX5R000),2024/03/14,16:21:34,好的
Account,俐均,2024/03/14,16:21:41,貼圖已傳送
User,潮州/嘉鴻護理之家(RCCX5R000),2024/04/07,10:50:08,"煩送：
1.哈克魚一箱。
2.秋刀魚一箱。
3.柳葉魚一箱。
4.挪威薄鹽鯖魚整尾15P一箱。
5.干貝兩盒。
以上，謝謝。"
Account,自動回應訊息,2024/04/07,10:50:09,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
User,潮州/嘉鴻護理之家(RCCX5R000),2024/04/08,10:19:54,請問今天會送貨嗎？
Account,林鈺婷,2024/04/08,10:22:00,今天幫您送過去喔
User,潮州/嘉鴻護理之家(RCCX5R000),2024/04/08,10:22:33,好，謝謝。
Account,林鈺婷,2024/04/08,10:54:02,貼圖已傳送
Account,俐均,2024/04/08,11:40:23,"您好
干貝（生鮮)Ｓ／1KG      1352元/盒
干貝（生鮮)Ｍ／1KG      1607元/盒
干貝（生鮮)L／ 1KG       1862元/盒"
User,潮州/嘉鴻護理之家(RCCX5R000),2024/04/08,11:57:44,"煩訂：
干貝M兩盒，謝謝。"
Account,俐均,2024/04/08,11:59:00,"好的
明天幫您送過去"
User,潮州/嘉鴻護理之家(RCCX5R000),2024/04/08,11:59:26,好，謝謝。
Account,俐均,2024/04/08,12:06:32,貼圖已傳送
Account,林鈺婷,2024/04/11,14:47:07,"老闆您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚L 每公斤調漲10元 一箱價格為1040元(sparkle)
造成不便，尚請海涵見諒"
User,潮州/嘉鴻護理之家(RCCX5R000),2024/05/02,08:24:24,"煩送：
1.肉鯽魚（整尾）70／90_5kg一箱。
2.柳葉魚L一箱。
3.哈克魚一箱。
4.秋刀魚一箱。
5.花枝丸三包。
6.白蝦40/50(1.15k)三盒。
以上，謝謝。"
Account,林鈺婷,2024/05/02,08:55:55,老闆不好意思~我們肉魚目前最小是120/150的可以嗎?
User,潮州/嘉鴻護理之家(RCCX5R000),2024/05/02,08:56:53,好
User,潮州/嘉鴻護理之家(RCCX5R000),2024/05/02,08:58:24,可以
Account,林鈺婷,2024/05/02,08:59:41,貼圖已傳送
