帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/夯丼飯(CRZ000000),2024/01/07,19:07:26,"明天一箱鯖魚，請問可以早點來嗎都沒了3：00前
想問一下1080跟850的鯖魚那個成本較便宜,幫我送比較便宜的"
Account,自動回應訊息,2024/01/07,19:07:27,貼圖已傳送
Account,自動回應訊息,2024/01/07,19:07:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/08,08:46:53,850元的比較便宜喔~幫您送850元的過去，謝謝
User,鳳山/夯丼飯(CRZ000000),2024/01/08,11:28:57,好的
Account,俐均,2024/01/08,11:30:16,貼圖已傳送
User,鳳山/夯丼飯(CRZ000000),2024/01/08,15:10:54,還沒有來喔
User,鳳山/夯丼飯(CRZ000000),2024/01/08,15:11:04,都沒了拜托了
Account,林鈺婷,2024/01/08,15:11:12,我問一下司機到哪裡了
Account,林鈺婷,2024/01/08,15:12:30,司機快到了喔~不好意思
User,鳳山/夯丼飯(CRZ000000),2024/01/08,23:54:35,貼圖已傳送
Account,自動回應訊息,2024/01/08,23:54:36,貼圖已傳送
Account,自動回應訊息,2024/01/08,23:54:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/夯丼飯(CRZ000000),2024/01/09,00:03:42,明天一箱鯖魚
Account,自動回應訊息,2024/01/09,00:03:42,貼圖已傳送
Account,自動回應訊息,2024/01/09,00:03:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/夯丼飯(CRZ000000),2024/01/11,00:26:26,請問下巴有進新貨了嗎？
Account,自動回應訊息,2024/01/11,00:26:26,貼圖已傳送
Account,自動回應訊息,2024/01/11,00:26:26,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/夯丼飯(CRZ000000),2024/01/11,00:27:30,明天一箱鯖魚
Account,自動回應訊息,2024/01/11,00:27:30,貼圖已傳送
Account,自動回應訊息,2024/01/11,00:27:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/夯丼飯(CRZ000000),2024/01/11,23:09:16,明天一箱鯖魚1080的
Account,自動回應訊息,2024/01/11,23:09:16,貼圖已傳送
Account,自動回應訊息,2024/01/11,23:09:16,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/夯丼飯(CRZ000000),2024/01/11,23:10:46,請問鱸魚片一片成本大概多少
Account,自動回應訊息,2024/01/11,23:10:46,貼圖已傳送
Account,自動回應訊息,2024/01/11,23:10:46,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/11,23:32:43,老闆娘好，鱸魚片200～240克一片65元
User,鳳山/夯丼飯(CRZ000000),2024/01/13,00:03:14,一箱多少
Account,自動回應訊息,2024/01/13,00:03:15,貼圖已傳送
Account,自動回應訊息,2024/01/13,00:03:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/15,08:55:26,老闆娘不好意思~我們鱸魚片都賣完了，要等新一批的鱸魚進來
User,鳳山/夯丼飯(CRZ000000),2024/01/15,11:00:37,了解
User,鳳山/夯丼飯(CRZ000000),2024/01/15,23:47:57,明天一箱鯖魚
Account,自動回應訊息,2024/01/15,23:47:58,貼圖已傳送
