帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,馨梅(屏東躍愛自助餐),2024/01/25,13:26:18,明天玉米2箱
User,馨梅(屏東躍愛自助餐),2024/01/25,13:26:22,躍愛
Account,俐均,2024/01/25,14:01:10,貼圖已傳送
User,馨梅(屏東躍愛自助餐),2024/12/06,15:28:06,一片的意思是一隻2個半片嗎？
Account,林鈺婷,2024/12/06,15:29:30,一隻虱目魚肚只做一片喔
User,馨梅(屏東躍愛自助餐),2024/12/06,16:04:02,了解
Account,王振華,2024/12/07,14:18:13,照片已傳送
Account,王振華,2024/12/07,14:22:11,老闆娘好，虱目魚肚是這樣子，左右各一為一片
User,馨梅(屏東躍愛自助餐),2025/05/08,21:22:12,你好，我是躍愛廚房的老闆娘，因有盤一家店在建華一街348號，明天要送金線魚、白帶魚、鯖魚、鱸魚片各1箱，因目前店內都沒有人，若送達時請打電話給我去開門0930380773
Account,自動回應訊息,2025/05/08,21:22:13,貼圖已傳送
Account,自動回應訊息,2025/05/08,21:22:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,馨梅(屏東躍愛自助餐),2025/05/08,21:31:35,還有烏魚
Account,自動回應訊息,2025/05/08,21:31:36,貼圖已傳送
Account,自動回應訊息,2025/05/08,21:31:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/05/09,00:00:49,好的，謝謝
Account,王振華,2025/05/09,00:03:50,老闆娘好，請問是好食在那間嗎？
User,馨梅(屏東躍愛自助餐),2025/05/09,00:04:56,是的
Account,自動回應訊息,2025/05/09,00:04:57,貼圖已傳送
Account,自動回應訊息,2025/05/09,00:04:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/05/09,00:05:29,瞭解
User,馨梅(屏東躍愛自助餐),2025/05/09,00:05:40,貼圖已傳送
Account,自動回應訊息,2025/05/09,00:05:41,貼圖已傳送
Account,自動回應訊息,2025/05/09,00:05:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,馨梅(屏東躍愛自助餐),2025/05/12,21:14:09,"金線魚1箱
鯖魚1箱
秋刀魚1箱"
Account,自動回應訊息,2025/05/12,21:14:09,貼圖已傳送
Account,自動回應訊息,2025/05/12,21:14:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,馨梅(屏東躍愛自助餐),2025/05/12,21:24:29,建華一街飽可夢
Account,自動回應訊息,2025/05/12,21:24:30,貼圖已傳送
