帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/08,12:09:44,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/08,12:09:44,"5784歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,潮州/飽足食堂(1YGW00000),2024/01/08,12:22:38,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 S 1件
麻煩你明天幫我送"
Account,林鈺婷,2024/01/08,12:24:27,貼圖已傳送
User,潮州/飽足食堂(1YGW00000),2024/01/08,12:24:30,"請問一般便當店用的
無骨香雞排都是拿哪種的"
User,潮州/飽足食堂(1YGW00000),2024/01/08,12:25:02,雞排飯價位80元
Account,林鈺婷,2024/01/08,12:25:03,老闆您好~無骨香雞排通常都是拿60P、或70P這兩個規格
Account,林鈺婷,2024/01/08,12:27:54,"60P的比較大，一片成本約15.8元
70P的一片成本約13.5元"
User,潮州/飽足食堂(1YGW00000),2024/01/08,12:29:06,追加無骨雞排60P1件
User,潮州/飽足食堂(1YGW00000),2024/01/08,12:29:07,感恩
Account,林鈺婷,2024/01/08,12:31:56,貼圖已傳送
User,潮州/飽足食堂(1YGW00000),2024/03/06,01:29:04,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 S 1件
麻煩你幫我送"
Account,自動回應訊息,2024/03/06,01:29:05,貼圖已傳送
Account,自動回應訊息,2024/03/06,01:29:05,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/飽足食堂(1YGW00000),2024/04/01,18:21:36,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 S 1件
麻煩你幫我送"
Account,自動回應訊息,2024/04/01,18:21:37,貼圖已傳送
Account,自動回應訊息,2024/04/01,18:21:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/11,15:55:10,"老闆您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚S 每公斤調漲20元 一箱價格為920元(sparkle)
造成不便，尚請海涵見諒"
User,潮州/飽足食堂(1YGW00000),2024/04/17,11:03:29,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 S 1件
麻煩你幫我送"
User,潮州/飽足食堂(1YGW00000),2024/04/17,11:03:49,請問柳葉魚有賣散包的嗎？
Account,俐均,2024/04/17,11:03:53,"老闆您好
下午幫您送"
User,潮州/飽足食堂(1YGW00000),2024/04/17,11:04:11,請問有切塊鮭魚嗎？
Account,俐均,2024/04/17,11:04:22,海苔口味的嗎?
User,潮州/飽足食堂(1YGW00000),2024/04/17,11:05:17,或是原味的
User,潮州/飽足食堂(1YGW00000),2024/04/17,11:11:00,"原味沒有散賣的話！
就2包海苔柳葉魚
謝謝老闆"
Account,俐均,2024/04/17,11:15:22,"老闆您好
有粉鮭切片"
User,潮州/飽足食堂(1YGW00000),2024/04/17,11:44:03,請問怎麼賣！
Account,俐均,2024/04/17,11:45:37,"粉鮭切片4/5有肚的
一箱850元"
Account,俐均,2024/04/17,11:49:36,下午請司機帶給您看好嗎?
User,潮州/飽足食堂(1YGW00000),2024/04/17,12:12:16,有照片嗎？
User,潮州/飽足食堂(1YGW00000),2024/04/17,12:13:04,謝謝！不用拿太多
Account,俐均,2024/04/17,12:14:31,照片已傳送
User,潮州/飽足食堂(1YGW00000),2024/06/20,10:56:12,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 (s) 1件
謝謝
麻煩你幫我送"
Account,林鈺婷,2024/06/20,11:00:13,貼圖已傳送
User,潮州/飽足食堂(1YGW00000),2024/07/18,18:53:30,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 (s) 1件

麻煩你明天早上幫我送到
謝謝"
Account,自動回應訊息,2024/07/18,18:53:30,貼圖已傳送
Account,自動回應訊息,2024/07/18,18:53:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/飽足食堂(1YGW00000),2024/08/06,10:18:00,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 (s) 1件

麻煩你幫我送
謝謝"
Account,林鈺婷,2024/08/06,10:28:31,老闆您好～下午幫您送過去方便嗎？
User,潮州/飽足食堂(1YGW00000),2024/08/06,10:33:14,請問您下午幾點到
Account,林鈺婷,2024/08/06,10:34:47,請問你們下午幾點有營業
User,潮州/飽足食堂(1YGW00000),2024/08/06,10:35:07,下午(4)點半開門
User,潮州/飽足食堂(1YGW00000),2024/08/06,10:35:22,中午營業到2點多休息
Account,林鈺婷,2024/08/06,10:39:33,貼圖已傳送
User,潮州/飽足食堂(1YGW00000),2024/08/20,00:14:09,"老闆你好
店名：飽足食堂
地址：潮州鎮信義路86號
電話：0903555578
需要薄鹽鯖魚 (s) 1件

麻煩你幫我送
謝謝"
Account,自動回應訊息,2024/08/20,00:14:09,貼圖已傳送
Account,自動回應訊息,2024/08/20,00:14:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
