帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/拼鍋呿(QEF000000),2024/01/09,21:12:14,鱸魚一箱
Account,自動回應訊息,2024/01/09,21:12:15,貼圖已傳送
Account,自動回應訊息,2024/01/09,21:12:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/10,08:34:40,老闆娘不好意思~我們鱸魚片目前只有200/240這個規格的可以嗎?
User,鳳山/拼鍋呿(QEF000000),2024/01/10,13:05:49,那下週會有嗎
Account,林鈺婷,2024/01/10,14:02:32,近期都只會有200/240這個規格的喔
User,鳳山/拼鍋呿(QEF000000),2024/01/10,14:02:59,我們之前有叫過這規格的嗎
Account,林鈺婷,2024/01/10,14:03:47,之前你們是拿比較大一點的280/320
User,鳳山/拼鍋呿(QEF000000),2024/01/10,14:04:51,這個多少錢？一箱約幾片？
Account,林鈺婷,2024/01/10,14:52:39,一箱12公斤/3360元(1公斤280元)，一箱約54片左右
User,鳳山/拼鍋呿(QEF000000),2024/04/08,22:55:08,鱸魚一箱
Account,自動回應訊息,2024/04/08,22:55:08,貼圖已傳送
Account,自動回應訊息,2024/04/08,22:55:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/09,08:32:20,老闆不好意思~我們目前鱸魚片都缺貨中
User,鳳山/拼鍋呿(QEF000000),2024/04/18,14:01:11,請問鱸魚什麼時候有貨
Account,林鈺婷,2024/04/18,14:05:19,老闆不好意思~原本的鱸魚片目前都缺貨，有另外一種一樣也是鱸魚片只是有含下巴，明天請司機帶過去給您參考看看方便嗎?
Account,林鈺婷,2024/05/09,09:38:23,老闆您好～上次的鱸魚片還有，請問今天幫您送過去方便嗎？
User,鳳山/拼鍋呿(QEF000000),2024/11/05,14:02:13,現在鱸魚片有貨嗎？尺寸價格？
Account,林鈺婷,2024/11/05,14:04:32,目前現貨不多，有280/320的，裸裝 一公斤260元
User,鳳山/拼鍋呿(QEF000000),2024/11/05,14:05:01,一公斤大約幾片
Account,林鈺婷,2024/11/05,14:06:25,大約2-3片左右
User,鳳山/拼鍋呿(QEF000000),2024/11/27,17:37:17,鱸魚片一箱
Account,林鈺婷,2024/11/27,17:56:49,貼圖已傳送
User,鳳山/拼鍋呿(QEF000000),2024/12/29,15:34:26,鱸魚片一箱
Account,自動回應訊息,2024/12/29,15:34:27,貼圖已傳送
Account,自動回應訊息,2024/12/29,15:34:27,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/12/29,18:30:45,老闆娘好，鱸魚片明早再和您確認
Account,林鈺婷,2024/12/30,10:01:18,老闆您好～有跟上次一樣的鱸魚片請問可以嗎？
User,鳳山/拼鍋呿(QEF000000),2025/01/19,22:29:49,鱸魚片一箱
Account,自動回應訊息,2025/01/19,22:29:49,貼圖已傳送
Account,自動回應訊息,2025/01/19,22:29:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2025/01/20,10:55:59,"老闆娘你好，不好意思
鱸魚片280/320的目前缺貨中
先幫您送其他的規格
謝謝謝"
User,鳳山/拼鍋呿(QEF000000),2025/03/03,00:26:37,鱸魚片一件
Account,自動回應訊息,2025/03/03,00:26:38,貼圖已傳送
Account,自動回應訊息,2025/03/03,00:26:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鳳山/拼鍋呿(QEF000000),2025/04/22,14:43:19,鱸魚一件
Account,林鈺婷,2025/04/22,14:44:03,貼圖已傳送
Account,☆羅惠君☆,2025/04/22,14:56:06,"老闆娘不好意思
上一次到貨的規格已經缺貨
這次給您送規格小一點，12公斤/箱，280元/公斤  好嗎?"
User,鳳山/拼鍋呿(QEF000000),2025/04/22,15:08:10,好
Account,☆羅惠君☆,2025/04/22,15:15:32,貼圖已傳送
Account,林鈺婷,2025/04/23,11:17:51,老闆您好~請問有人可以收貨嗎?
User,鳳山/拼鍋呿(QEF000000),2025/05/21,18:40:08,鱸魚片1箱
Account,自動回應訊息,2025/05/21,18:40:09,貼圖已傳送
Account,自動回應訊息,2025/05/21,18:40:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
