帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/02,21:42:24,"四維
鯖魚兩箱、青花一箱"
Account,自動回應訊息,2024/01/02,21:42:24,貼圖已傳送
Account,自動回應訊息,2024/01/02,21:42:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/03,21:10:20,"四維
鯖魚一箱、豆子一箱"
Account,自動回應訊息,2024/01/03,21:10:21,貼圖已傳送
Account,自動回應訊息,2024/01/03,21:10:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/03,21:11:08,"建工
鯖魚一箱"
Account,自動回應訊息,2024/01/03,21:11:09,貼圖已傳送
Account,自動回應訊息,2024/01/03,21:11:09,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/03,21:11:24,"建工
鯖魚兩箱"
Account,自動回應訊息,2024/01/03,21:11:24,貼圖已傳送
Account,自動回應訊息,2024/01/03,21:11:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/04,14:32:49,今天貨都還沒到
Account,林鈺婷,2024/01/04,14:34:27,照片已傳送
Account,林鈺婷,2024/01/04,14:34:43,老闆娘您好~建功店的有送到了喔
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/04,14:35:51,好
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/04,14:35:53,謝謝
Account,林鈺婷,2024/01/04,14:37:52,苓雅店的貨，司機會晚一點到，不好意思
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/04,14:38:07,好
Account,林鈺婷,2024/01/04,14:38:23,貼圖已傳送
Account,林鈺婷,2024/01/04,15:00:51,照片已傳送
Account,林鈺婷,2024/01/04,15:01:03,老闆娘您好~有送到了喔
Account,林鈺婷,2024/01/04,15:02:43,司機有冰進冰箱了
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/04,15:21:17,好
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/04,15:21:21,謝謝
Account,俐均,2024/01/04,15:26:54,貼圖已傳送
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/04,23:09:55,"四維
青花一箱、豆子一箱
建工
鰻魚15片"
Account,自動回應訊息,2024/01/04,23:09:56,貼圖已傳送
Account,自動回應訊息,2024/01/04,23:09:56,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/08,00:38:12,"四維
鯖魚2、豆子一箱"
Account,自動回應訊息,2024/01/08,00:38:13,貼圖已傳送
Account,自動回應訊息,2024/01/08,00:38:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/09,20:56:04,"建工
鯖魚兩箱"
Account,自動回應訊息,2024/01/09,20:56:04,貼圖已傳送
Account,自動回應訊息,2024/01/09,20:56:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/10,20:40:39,"四維
鯖魚兩箱"
Account,自動回應訊息,2024/01/10,20:40:39,貼圖已傳送
Account,自動回應訊息,2024/01/10,20:40:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/11,16:08:58,照片已傳送
Account,林鈺婷,2024/01/11,16:09:08,老闆娘您好~貨有幫您送到冰冰箱囉
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/11,21:08:10,"四維
青花一箱、豆子一箱"
Account,自動回應訊息,2024/01/11,21:08:10,貼圖已傳送
Account,自動回應訊息,2024/01/11,21:08:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/14,22:40:45,"四維
鯖魚兩箱、鰻魚十片"
Account,自動回應訊息,2024/01/14,22:40:46,貼圖已傳送
Account,自動回應訊息,2024/01/14,22:40:46,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/21,23:36:37," 四維
豆子兩箱
建工
豆子兩箱"
Account,自動回應訊息,2024/01/21,23:36:38,貼圖已傳送
Account,自動回應訊息,2024/01/21,23:36:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/24,22:47:33,"四維
青花一箱、鯖魚一箱、豆子一箱"
Account,自動回應訊息,2024/01/24,22:47:33,貼圖已傳送
Account,自動回應訊息,2024/01/24,22:47:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/25,19:55:53,"建工
鯖魚兩箱"
Account,自動回應訊息,2024/01/25,19:55:54,貼圖已傳送
Account,自動回應訊息,2024/01/25,19:55:54,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/25,20:02:51,"四維
青花一箱、鯖魚一箱"
Account,自動回應訊息,2024/01/25,20:02:51,貼圖已傳送
Account,自動回應訊息,2024/01/25,20:02:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/29,22:29:01,"四維
鯖魚一箱、白花一箱"
Account,自動回應訊息,2024/01/29,22:29:02,貼圖已傳送
Account,自動回應訊息,2024/01/29,22:29:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/01/30,22:57:57,"建工
青花兩箱"
Account,自動回應訊息,2024/01/30,22:57:57,貼圖已傳送
Account,自動回應訊息,2024/01/30,22:57:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/01,21:22:07,"四維
鯖魚一箱、豆子一箱、鰻魚五片"
Account,自動回應訊息,2024/02/01,21:22:07,貼圖已傳送
Account,自動回應訊息,2024/02/01,21:22:07,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/04,23:16:03,"四維
鯖魚兩箱
建工
鯖魚兩箱"
Account,自動回應訊息,2024/02/04,23:16:03,貼圖已傳送
Account,自動回應訊息,2024/02/04,23:16:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/05,21:04:41,"四維
豆子一箱、鯖魚一箱
建工
鯖魚兩箱、豆子兩箱"
Account,自動回應訊息,2024/02/05,21:04:41,貼圖已傳送
Account,自動回應訊息,2024/02/05,21:04:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/14,20:34:16,"四維
鯖魚兩箱、青花一箱"
Account,自動回應訊息,2024/02/14,20:34:17,貼圖已傳送
Account,自動回應訊息,2024/02/14,20:34:17,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/19,22:33:00,"四維
鰻魚十片、豆子一箱"
Account,自動回應訊息,2024/02/19,22:33:00,貼圖已傳送
Account,自動回應訊息,2024/02/19,22:33:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/20,13:52:33,請問現在虱目魚肚多少錢
Account,林鈺婷,2024/02/20,14:02:22,"老闆娘您好~
140/170的一片75元
170/200的一片85元
200/240的一片95元"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/20,14:02:57,好
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/25,23:25:40,"四維
鯖魚兩箱、青花一箱
建工
鯖魚兩箱"
Account,自動回應訊息,2024/02/25,23:25:41,貼圖已傳送
Account,自動回應訊息,2024/02/25,23:25:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/26,22:25:44,"四維
青花一箱、白花一箱"
Account,自動回應訊息,2024/02/26,22:25:45,貼圖已傳送
Account,自動回應訊息,2024/02/26,22:25:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/28,22:13:51,"四維
鯖魚一箱、虱目魚140/170（四包）、鰻魚5包"
Account,自動回應訊息,2024/02/28,22:13:52,貼圖已傳送
Account,自動回應訊息,2024/02/28,22:13:52,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/02/28,22:15:25,鰻魚改15片
Account,自動回應訊息,2024/02/28,22:15:26,貼圖已傳送
Account,自動回應訊息,2024/02/28,22:15:26,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/03/04,20:30:42,"四維
豆子一箱、青花一箱"
Account,自動回應訊息,2024/03/04,20:30:42,貼圖已傳送
Account,自動回應訊息,2024/03/04,20:30:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1.四維/雅米(苓雅) 2.建工/雅米,2024/03/06,23:20:13,"建工
鯖魚兩箱"
Account,自動回應訊息,2024/03/06,23:20:13,貼圖已傳送
Account,自動回應訊息,2024/03/06,23:20:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
