帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/06,12:07:19,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/11/06,12:07:19,"Jesto.歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:07:23,哈囉
Account,林鈺婷,2024/11/06,12:07:31,您好~
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:08:03,你好我是小食代介紹。
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:08:06,我在他隔壁
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:08:16,開封路130號。 逮丸味蓋飯便當
Account,林鈺婷,2024/11/06,12:08:21,老闆您好~
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:08:35,我想請問。虱目魚肚無刺的多少。最小規格的
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:08:43,還有鱸魚清肉。謝謝
Account,林鈺婷,2024/11/06,12:08:46,"這是我們的DM目錄，可以參考看看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
Account,林鈺婷,2024/11/06,12:09:07,我們目前最小規格是一片120-145克  一片60元
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:09:15,虱目魚嗎
Account,林鈺婷,2024/11/06,12:09:21,對~
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:09:31,好的。 那我下次直接找你們叫貨。 謝謝
User,新興/逮丸味蓋飯(2JJEZ1200),2024/11/06,12:09:33,鱸魚呢
Account,林鈺婷,2024/11/06,12:10:40,"我們新興區固定星期一、三、五送貨
最少要5公斤或者一箱才有出貨喔"
