帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,來義/好地方簡餐(C2ZRH0000),2024/01/11,16:01:03,"鹹魚1箱
蝦仁3包
我們搬家了
地址：古樓村中正路40之3號-好地方
天主教堂、樂芙診所斜對面"
Account,林鈺婷,2024/01/11,16:03:17,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/01/12,10:30:14,可以追加鹹魚1箱嗎
Account,林鈺婷,2024/01/12,10:33:51,不好意思，我們司機已經出門了 抱歉
User,來義/好地方簡餐(C2ZRH0000),2024/02/26,14:07:09,"一箱鹹魚
蝦仁3"
Account,俐均,2024/02/26,14:07:17,貼圖已傳送
Account,林鈺婷,2024/02/27,09:50:40,老闆娘不好意思～蝦仁不夠 有一包幫您換大一點的方便嗎？
User,來義/好地方簡餐(C2ZRH0000),2024/02/27,09:53:27,好
User,來義/好地方簡餐(C2ZRH0000),2024/04/01,14:05:13,"鹹魚一箱
蝦仁2"
Account,俐均,2024/04/01,14:12:12,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/04/18,14:32:45,"鹹魚1箱
柳葉魚單包2包"
Account,俐均,2024/04/18,14:32:56,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/05/23,14:52:19,"鹹魚ㄧ箱
蝦仁3包"
Account,俐均,2024/05/23,14:53:28,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/06/20,14:35:26,"鹹魚1箱
蝦仁3包"
Account,俐均,2024/06/20,14:36:11,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/07/15,14:02:14,"鹹魚1箱
蝦仁2包"
Account,俐均,2024/07/15,14:02:24,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/08/08,14:02:05,"鹹魚1箱
蝦仁3"
Account,林鈺婷,2024/08/08,14:05:20,老闆娘不好意思~原本的白蝦仁還沒產出<
Account,林鈺婷,2024/08/08,14:06:03,"我們目前有另外一種白蝦仁
比較小的 150克75元
比較大的 150克85元"
User,來義/好地方簡餐(C2ZRH0000),2024/08/08,14:33:09,大的
Account,俐均,2024/08/08,14:53:49,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/08/22,15:00:59,"1箱鹹魚
3包蝦仁"
Account,俐均,2024/08/22,15:05:50,貼圖已傳送
User,來義/好地方簡餐(C2ZRH0000),2024/09/23,15:31:06,"鹹魚1箱
白蝦仁3包90/120"
