帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,Fuki,2024/01/11,13:19:34,您好
User,Fuki,2024/01/11,13:19:49,方便我寄一件鯖魚
User,Fuki,2024/01/11,13:19:53,照片已傳送
User,Fuki,2024/01/11,13:19:59,這種的
Account,林鈺婷,2024/01/11,14:00:46,貼圖已傳送
User,Fuki,2024/01/11,18:44:10,感恩 
Account,自動回應訊息,2024/01/11,18:44:11,貼圖已傳送
Account,自動回應訊息,2024/01/11,18:44:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,Fuki,2024/02/25,19:44:28,您好 麻煩幫我寄一件鯖魚 謝謝
Account,自動回應訊息,2024/02/25,19:44:28,貼圖已傳送
Account,自動回應訊息,2024/02/25,19:44:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,Fuki,2024/02/26,22:04:30,您好 請問有寄出了嗎 若還沒需要跟您改下周再寄出 周三要出國擔心貨運來不及送
Account,自動回應訊息,2024/02/26,22:04:31,貼圖已傳送
Account,自動回應訊息,2024/02/26,22:04:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/27,00:09:54,老闆好，今天已寄出了
User,Fuki,2024/02/27,03:52:51,(saluting man)(saluting man)
Account,自動回應訊息,2024/02/27,03:52:51,貼圖已傳送
Account,自動回應訊息,2024/02/27,03:52:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,Fuki,2024/04/17,12:11:29,您好 麻煩幫我寄一件鯖魚 謝謝
User,Fuki,2024/04/17,12:11:34,(saluting man)
Account,俐均,2024/04/17,12:35:50,貼圖已傳送
Account,林鈺婷,2024/05/31,11:53:46,照片已傳送
User,Fuki,2024/05/31,19:19:30,您好 麻煩幫我寄一件鯖魚 謝謝
Account,自動回應訊息,2024/05/31,19:19:31,貼圖已傳送
Account,自動回應訊息,2024/05/31,19:19:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/31,23:39:35,貼圖已傳送
Account,林鈺婷,2024/06/03,14:09:02,老闆不好意思~我們鯖魚有調整價格，一公斤調漲20元
Account,林鈺婷,2024/06/03,14:09:38,一箱12公斤 3420元
User,Fuki,2024/07/04,21:11:26,您好 麻煩幫我寄一件鯖魚 謝謝
Account,自動回應訊息,2024/07/04,21:11:26,貼圖已傳送
Account,自動回應訊息,2024/07/04,21:11:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/04,22:11:35,"老闆您好
請問星期六店裡有人可以收貨嗎？"
User,Fuki,2024/07/04,22:12:14,有的
Account,俐均,2024/07/04,22:14:07,好的，明天幫您寄出，謝謝您
