帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,屏市/吉利自助餐(RXY5HQ200),2024/01/01,14:11:33,鯖魚 一箱
Account,林鈺婷,2024/01/02,08:40:55,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/01/04,14:10:07,鯖魚 一箱
Account,林鈺婷,2024/01/04,14:16:34,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/01/09,08:23:56,鯖魚 一箱
Account,林鈺婷,2024/01/09,08:31:53,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/01/11,10:42:02,明天鯖魚 一箱
Account,林鈺婷,2024/01/11,10:42:09,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/01/16,08:26:21,鯖魚 一箱
Account,林鈺婷,2024/01/16,08:29:08,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/01/18,21:57:01,鯖魚 一箱
Account,自動回應訊息,2024/01/18,21:57:02,貼圖已傳送
Account,自動回應訊息,2024/01/18,21:57:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/吉利自助餐(RXY5HQ200),2024/01/22,15:44:01,鯖魚 一箱
Account,林鈺婷,2024/01/22,15:44:20,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/01/25,16:24:42,鯖魚 一箱
Account,林鈺婷,2024/01/25,16:24:48,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/01/29,14:30:03,鯖魚 一箱
Account,林鈺婷,2024/01/29,14:30:51,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/02/01,15:01:38,鯖魚 一箱
Account,俐均,2024/02/01,15:02:21,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/02/04,11:43:29,禮拜二鯖魚2箱
Account,自動回應訊息,2024/02/04,11:43:30,貼圖已傳送
Account,自動回應訊息,2024/02/04,11:43:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/吉利自助餐(RXY5HQ200),2024/02/14,08:45:23,今天可以送貨嗎
Account,林鈺婷,2024/02/14,08:45:40,可以喔~請問需要什麼?
User,屏市/吉利自助餐(RXY5HQ200),2024/02/14,08:45:49,鯖魚一箱
User,屏市/吉利自助餐(RXY5HQ200),2024/02/14,08:45:55,有綠花椰白花椰嗎
User,屏市/吉利自助餐(RXY5HQ200),2024/02/14,08:46:59,有的話也幫我各送一箱 謝謝
Account,林鈺婷,2024/02/14,08:50:11,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/02/15,15:34:51,鯖魚一箱
Account,林鈺婷,2024/02/15,15:35:02,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/02/19,21:45:36,鯖魚一箱
Account,自動回應訊息,2024/02/19,21:45:37,貼圖已傳送
Account,自動回應訊息,2024/02/19,21:45:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/吉利自助餐(RXY5HQ200),2024/02/23,08:01:44,鯖魚一箱
Account,自動回應訊息,2024/02/23,08:01:45,貼圖已傳送
Account,自動回應訊息,2024/02/23,08:01:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/吉利自助餐(RXY5HQ200),2024/02/26,14:34:31,鯖魚一箱
Account,俐均,2024/02/26,14:36:39,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/02/29,15:15:59,鯖魚一箱
Account,林鈺婷,2024/02/29,15:16:08,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/03/05,08:30:13,鯖魚一箱
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/03/05,08:31:18,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/03/07,16:49:07,鯖魚一箱
Account,俐均,2024/03/07,16:58:27,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/03/11,18:42:31,鯖魚一箱
Account,自動回應訊息,2024/03/11,18:42:32,貼圖已傳送
Account,自動回應訊息,2024/03/11,18:42:32,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/吉利自助餐(RXY5HQ200),2024/03/14,14:15:52,鯖魚一箱
Account,俐均,2024/03/14,14:16:57,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/03/15,09:25:03,追加一箱白花椰，是一箱10包裝的嗎
Account,林鈺婷,2024/03/15,09:25:31,散裝跟小包裝都有喔
User,屏市/吉利自助餐(RXY5HQ200),2024/03/15,09:42:57,那再追加一箱小包裝
Account,林鈺婷,2024/03/15,09:52:28,貼圖已傳送
User,屏市/吉利自助餐(RXY5HQ200),2024/03/18,14:36:37,鯖魚一箱
Account,俐均,2024/03/18,14:42:47,貼圖已傳送
