帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,萬丹/阿泓便當(8C1200000),2024/01/03,22:19:39,鯖魚三件
Account,自動回應訊息,2024/01/03,22:19:40,貼圖已傳送
Account,自動回應訊息,2024/01/03,22:19:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬丹/阿泓便當(8C1200000),2024/01/03,22:19:41,貼圖已傳送
Account,自動回應訊息,2024/01/03,22:19:42,貼圖已傳送
Account,自動回應訊息,2024/01/03,22:19:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/01/04,08:42:17,"老闆娘您好
星期五幫您送過去
謝謝"
User,萬丹/阿泓便當(8C1200000),2024/01/04,09:20:55,好的～要麻煩上午唷～下午休息～
User,萬丹/阿泓便當(8C1200000),2024/01/04,09:20:57,貼圖已傳送
Account,林鈺婷,2024/01/04,09:21:36,請司機盡量趕喔~謝謝
User,萬丹/阿泓便當(8C1200000),2024/01/04,09:44:37,好的 謝謝(please!)
User,萬丹/阿泓便當(8C1200000),2024/01/04,09:44:41,一點以前都可以
Account,俐均,2024/01/04,09:45:47,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2024/01/16,19:34:29,鯖魚3件
Account,自動回應訊息,2024/01/16,19:34:29,貼圖已傳送
Account,自動回應訊息,2024/01/16,19:34:29,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/01/17,08:32:26,"老闆您好
星期五幫您送喔~
謝謝"
User,萬丹/阿泓便當(8C1200000),2024/01/18,17:26:37,好 麻煩一樣要上午送唷～
Account,林鈺婷,2024/01/18,17:29:05,請司機盡量趕喔
User,萬丹/阿泓便當(8C1200000),2024/01/18,17:29:17,好的 麻煩了 謝謝(感謝)
Account,林鈺婷,2024/01/18,17:29:34,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2024/02/05,08:00:03,鯖魚3件
Account,自動回應訊息,2024/02/05,08:00:03,貼圖已傳送
Account,自動回應訊息,2024/02/05,08:00:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬丹/阿泓便當(8C1200000),2024/02/05,08:00:12,貼圖已傳送
Account,自動回應訊息,2024/02/05,08:00:12,貼圖已傳送
Account,自動回應訊息,2024/02/05,08:00:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/02/05,08:32:05,"老闆 您好
明天請司機幫您送過去~"
Account,林鈺婷,2024/02/05,09:24:13,老闆娘不好意思~我們鯖魚原規格缺貨中，先幫您送大一個規格的方便嗎?
User,萬丹/阿泓便當(8C1200000),2024/02/05,11:09:29,好  那先兩件
Account,林鈺婷,2024/02/05,11:12:18,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2024/02/18,18:53:00,鯖魚*3 請問之前的有貨了嗎？
Account,自動回應訊息,2024/02/18,18:53:00,貼圖已傳送
Account,自動回應訊息,2024/02/18,18:53:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/18,19:15:29,老闆娘好，目前還是沒產出
User,萬丹/阿泓便當(8C1200000),2024/02/18,19:23:07,那先兩箱 等有的時候麻煩跟我說一下
User,萬丹/阿泓便當(8C1200000),2024/02/18,19:23:15,貼圖已傳送
Account,王振華,2024/02/18,19:24:17,好的，謝謝您
Account,林鈺婷,2024/02/19,08:47:18,明天幫您送過去喔~
User,萬丹/阿泓便當(8C1200000),2024/02/19,10:49:15,好
User,萬丹/阿泓便當(8C1200000),2024/02/28,13:26:33,鯖魚*4件
Account,林鈺婷,2024/02/28,14:59:19,貼圖已傳送
Account,俐均,2024/02/29,08:45:28,"老闆娘您好
明天幫您送過去喔"
User,萬丹/阿泓便當(8C1200000),2024/02/29,09:14:44,好的 感恩😇
Account,俐均,2024/02/29,11:17:18,貼圖已傳送
User,萬丹/阿泓便當(8C1200000),2024/03/11,14:47:13,請問之前的鯖魚有貨了嗎
