帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,苓雅/快客利美食(DDXAG0000),2024/01/09,14:56:06,鯖魚
Account,林鈺婷,2024/01/09,14:58:17,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/01/18,11:14:59,鯖魚
Account,俐均,2024/01/18,11:22:19,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/01/28,16:56:27,鯖魚
Account,自動回應訊息,2024/01/28,16:56:27,貼圖已傳送
Account,自動回應訊息,2024/01/28,16:56:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,苓雅/快客利美食(DDXAG0000),2024/02/05,14:46:16,鯖魚
Account,俐均,2024/02/05,14:46:21,貼圖已傳送
Account,俐均,2024/02/05,14:46:21,貼圖已傳送
Account,俐均,2024/02/05,14:47:54,"老闆娘您好
請問有急用嗎?
星期三幫您送好嗎?"
User,苓雅/快客利美食(DDXAG0000),2024/02/05,14:48:14,可以
Account,俐均,2024/02/05,14:48:20,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/02/20,14:16:49,鯖魚
Account,林鈺婷,2024/02/20,14:17:17,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/03/05,17:31:21,鯖魚
Account,俐均,2024/03/05,17:31:35,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/03/14,16:36:31,鯖魚
Account,俐均,2024/03/14,16:37:32,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/03/25,18:08:56,鯖魚
Account,俐均,2024/03/26,08:26:58,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/04/02,23:19:23,鯖魚
Account,自動回應訊息,2024/04/02,23:19:23,貼圖已傳送
Account,自動回應訊息,2024/04/02,23:19:23,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/快客利美食(DDXAG0000),2024/04/12,12:39:34,鯖魚
Account,俐均,2024/04/12,12:39:48,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/04/20,11:13:18,鯖魚
Account,自動回應訊息,2024/04/20,11:13:18,貼圖已傳送
Account,自動回應訊息,2024/04/20,11:13:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/快客利美食(DDXAG0000),2024/04/26,23:19:17,鯖魚
Account,自動回應訊息,2024/04/26,23:19:18,貼圖已傳送
Account,自動回應訊息,2024/04/26,23:19:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/快客利美食(DDXAG0000),2024/05/04,17:48:22,鯖魚
Account,自動回應訊息,2024/05/04,17:48:23,貼圖已傳送
Account,自動回應訊息,2024/05/04,17:48:23,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/快客利美食(DDXAG0000),2024/05/14,19:27:22,鯖魚
Account,自動回應訊息,2024/05/14,19:27:23,貼圖已傳送
Account,自動回應訊息,2024/05/14,19:27:23,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/快客利美食(DDXAG0000),2024/05/21,09:29:09,鯖魚
Account,林鈺婷,2024/05/21,09:37:38,老闆娘早～明天幫您送過去喔
User,苓雅/快客利美食(DDXAG0000),2024/05/21,10:02:43,嗯
User,苓雅/快客利美食(DDXAG0000),2024/05/28,14:07:30,鯖魚
Account,俐均,2024/05/28,14:08:58,貼圖已傳送
Account,自動回應訊息,2024/07/02,11:11:35,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/07/02,11:11:35,"徐玉燕歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,苓雅/快客利美食(DDXAG0000),2024/07/02,11:11:48,鯖魚
Account,俐均,2024/07/02,11:20:01,貼圖已傳送
User,苓雅/快客利美食(DDXAG0000),2024/07/08,12:14:21,請問一下那天送來的型號是什麼型號
Account,俐均,2024/07/08,12:16:25,"老闆娘您好
您用的是130/160-5K
請問箱子還在嗎?可以拍給我們看嗎?"
User,苓雅/快客利美食(DDXAG0000),2024/07/08,14:16:25,照片已傳送
User,苓雅/快客利美食(DDXAG0000),2024/07/08,14:16:45,我之前有叫這麼大隻嗎
Account,俐均,2024/07/08,14:20:31,您都一直訂這個規格( 我們的電腦記錄)
Account,俐均,2024/07/08,14:33:15,"老闆娘
可以麻煩您拿幾片去秤秤看嗎?"
Account,俐均,2024/07/08,14:33:27,再麻煩您拍照
User,苓雅/快客利美食(DDXAG0000),2024/07/11,14:16:03,鯖魚
Account,俐均,2024/07/11,14:16:36,貼圖已傳送
