帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/08,13:07:50,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/08,13:07:50,"小張歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,屏東市/東皇快餐(2CDH00000),2024/04/08,13:19:34,東皇快餐，鹹魚兩箱，請問現在還有鱸魚切塊，其他還有什麼魚嗎？
Account,俐均,2024/04/08,14:00:54,貼圖已傳送
Account,俐均,2024/04/08,14:10:51,"老闆好
烏魚.金線魚.白口魚.白帶魚.哈克魚.肉魚.赤宗"
Account,俐均,2024/04/08,14:11:04,黃魚
Account,俐均,2024/04/08,14:11:16,紅斑魚片
Account,俐均,2024/04/08,14:11:50,銀鯰魚
Account,俐均,2024/04/08,14:12:07,暑魚切塊
Account,俐均,2024/04/08,14:12:40,水針魚.吳郭魚
Account,俐均,2024/04/08,14:12:54,蝶魚切塊
Account,俐均,2024/04/08,14:13:22,柳葉魚
User,屏東市/東皇快餐(2CDH00000),2024/04/08,14:20:35,吳郭魚一箱，鰈魚一箱
User,屏東市/東皇快餐(2CDH00000),2024/04/08,14:20:54,紅斑魚一箱
Account,俐均,2024/04/08,14:36:11,貼圖已傳送
User,屏東市/東皇快餐(2CDH00000),2024/04/15,10:36:23,請問上次送來的鹹魚一箱多少，這次特價的大小有跟上次的一樣，還是比較小呢？
Account,俐均,2024/04/15,15:03:56,"老闆您好
上次送的130/160-6K是1080元/箱
請問是什麼特價呢?"
User,屏東市/東皇快餐(2CDH00000),2024/04/15,15:13:54,照片已傳送
User,屏東市/東皇快餐(2CDH00000),2024/04/15,15:14:09,這個不是特價
Account,俐均,2024/04/15,15:17:07,"您用的是130/160規格
100/130的是小一號喔"
User,屏東市/東皇快餐(2CDH00000),2024/05/06,14:06:04,虱目魚有刺的怎麼賣
Account,林鈺婷,2024/05/06,14:24:41,您好~我們目前有刺是200/250克的一片
User,屏東市/東皇快餐(2CDH00000),2024/05/06,14:25:06,多少價錢
User,屏東市/東皇快餐(2CDH00000),2024/05/06,14:25:21,一包幾片
Account,林鈺婷,2024/05/06,14:25:26,5片一包 275元(平均一片55元_
User,屏東市/東皇快餐(2CDH00000),2024/05/06,18:17:30,三包虱目魚肚，吳郭魚兩箱，鹹魚一箱
Account,自動回應訊息,2024/05/06,18:17:31,貼圖已傳送
Account,自動回應訊息,2024/05/06,18:17:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/05/06,23:33:32,請問吳郭魚是要上次送那大尾的嗎？
User,屏東市/東皇快餐(2CDH00000),2024/05/09,17:16:27,鹹魚兩箱，豬排一箱
Account,俐均,2024/05/09,17:19:48,貼圖已傳送
Account,俐均,2024/05/09,17:22:05,"老闆您好
請問您要哪一種豬排呢?（帶骨還是無骨呢?）"
Account,俐均,2024/05/09,17:22:47,照片已傳送
User,屏東市/東皇快餐(2CDH00000),2024/05/09,17:24:42,無骨的好了
User,屏東市/東皇快餐(2CDH00000),2024/05/09,17:25:47,七十片的
Account,俐均,2024/05/09,17:29:42,貼圖已傳送
User,屏東市/東皇快餐(2CDH00000),2024/05/20,19:25:24,鱸魚一箱，豬排一箱
Account,自動回應訊息,2024/05/20,19:25:25,貼圖已傳送
Account,自動回應訊息,2024/05/20,19:25:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏東市/東皇快餐(2CDH00000),2024/05/27,11:30:45,家味香醬燒排骨兩箱，鹹魚兩箱，吳郭魚兩箱
Account,俐均,2024/05/27,11:34:15,貼圖已傳送
Account,俐均,2024/05/27,14:32:31,"老闆您好
醬燒排骨有50P及60P,請問要出哪一個規格?"
User,屏東市/東皇快餐(2CDH00000),2024/05/27,14:33:10,五十
Account,俐均,2024/05/27,14:34:28,貼圖已傳送
User,屏東市/東皇快餐(2CDH00000),2024/06/03,11:22:39,排骨兩箱，鹹魚兩箱，吳郭魚兩箱，鱸魚一箱
Account,俐均,2024/06/03,11:22:49,貼圖已傳送
Account,俐均,2024/06/03,11:56:30,"老闆您好
請問排骨是醬燒排骨50P嗎?"
Account,俐均,2024/06/03,11:59:24,"鱸魚切塊130/160的規格缺貨
幫您送大一點的規格好嗎?"
User,屏東市/東皇快餐(2CDH00000),2024/06/03,12:47:29,👌
User,屏東市/東皇快餐(2CDH00000),2024/06/07,09:02:10,排骨一箱，鹹魚一箱，鱸魚一箱
Account,俐均,2024/06/07,09:02:14,貼圖已傳送
User,屏東市/東皇快餐(2CDH00000),2024/06/13,14:21:59,吳郭魚兩箱，排骨兩箱
