帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,潮州/果子咖啡(EYDZRHCE0),2024/02/06,09:38:44,今天幫我送鯖魚一箱
Account,林鈺婷,2024/02/06,09:43:10,貼圖已傳送
Account,林鈺婷,2024/02/06,11:03:37,老闆娘您好~司機到了，請問有人可以收貨嗎?
User,潮州/果子咖啡(EYDZRHCE0),2024/02/06,11:34:37,要晚一些
Account,林鈺婷,2024/02/06,12:02:04,那我請司機改下午送過去喔~不好意思
User,潮州/果子咖啡(EYDZRHCE0),2024/03/02,10:11:33,今天可以幫我送鯖魚一箱
Account,自動回應訊息,2024/03/02,10:11:34,貼圖已傳送
Account,自動回應訊息,2024/03/02,10:11:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/果子咖啡(EYDZRHCE0),2024/03/02,10:12:37,若不行請星期二再送
Account,自動回應訊息,2024/03/02,10:12:37,貼圖已傳送
Account,自動回應訊息,2024/03/02,10:12:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/03/02,13:05:04,老闆娘抱歉，我們六日休息，星期二會送去，感謝！
User,潮州/果子咖啡(EYDZRHCE0),2024/04/09,10:57:46,我這裡是潮州果子簡餐，請問你們今天還可以幫我送鯖魚一箱嗎？
Account,林鈺婷,2024/04/09,11:00:49,下午幫您送方便嗎?
User,潮州/果子咖啡(EYDZRHCE0),2024/04/09,11:05:35,貼圖已傳送
User,潮州/果子咖啡(EYDZRHCE0),2024/04/09,11:05:49,謝謝你(洩洩泥)
Account,林鈺婷,2024/04/11,14:23:17,"老闆娘您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚M 每公斤調漲10元 一箱價格為960元(sparkle)
造成不便，尚請海涵見諒"
User,潮州/果子咖啡(EYDZRHCE0),2024/05/03,08:07:55,我這裡是潮州果子簡餐，請你們今天幫我送鯖魚一箱嗎？
Account,自動回應訊息,2024/05/03,08:07:55,貼圖已傳送
Account,自動回應訊息,2024/05/03,08:07:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/05/03,08:29:43,貼圖已傳送
User,潮州/果子咖啡(EYDZRHCE0),2024/06/07,09:50:41,我這裡是潮州果子簡餐，請你們今天幫我送鯖魚一箱嗎？
Account,林鈺婷,2024/06/07,09:55:32,貼圖已傳送
User,潮州/果子咖啡(EYDZRHCE0),2024/07/12,08:55:56,我這裡是潮州果子簡餐，請你們今天幫我送鯖魚一箱嗎？
Account,林鈺婷,2024/07/12,09:01:02,貼圖已傳送
User,潮州/果子咖啡(EYDZRHCE0),2024/08/24,11:43:02,請問你們公司有展示產品區，或門市
Account,自動回應訊息,2024/08/24,11:43:03,貼圖已傳送
Account,自動回應訊息,2024/08/24,11:43:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/08/25,12:54:05,"老闆好
我們目前沒有"
Account,俐均,2024/08/25,12:54:35,https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing
Account,俐均,2024/08/25,12:55:02,這是我們的產品目錄，可以給您參考
Account,林鈺婷,2024/10/14,16:28:50,照片已傳送
User,潮州/果子咖啡(EYDZRHCE0),2024/10/23,08:10:03,我這裡是潮州果子簡餐，請你們今天幫我送鯖魚一箱嗎？
Account,自動回應訊息,2024/10/23,08:10:04,貼圖已傳送
Account,自動回應訊息,2024/10/23,08:10:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/10/23,08:32:19,金天幫您送過去喔
User,潮州/果子咖啡(EYDZRHCE0),2025/01/03,08:47:56,我這裡是潮州果子簡餐，請你們今天幫我送鯖魚一箱嗎？我要L 的
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/01/03,08:48:38,貼圖已傳送
User,潮州/果子咖啡(EYDZRHCE0),2025/03/05,09:34:04,我這裡是潮州果子簡餐，請你們今天幫我送鯖魚一箱嗎？我要M的就好L太大
Account,林鈺婷,2025/03/05,09:37:52,貼圖已傳送
User,潮州/果子咖啡(EYDZRHCE0),2025/04/23,08:49:56,我這裡是潮州果子簡餐，請你們今天幫我送鯖魚一箱嗎？我要M的
Account,林鈺婷,2025/04/23,08:58:38,貼圖已傳送
