帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/05/31,14:58:44,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/05/31,14:58:44,"東區釣具枋寮店（公務用）歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,枋寮東區釣具（公務用）,2024/05/31,14:58:54,貼圖已傳送
Account,林鈺婷,2024/05/31,15:01:25,您好~
Account,王振華,2024/05/31,15:22:39,店長好，魷魚頭，一包5斤，一箱2包，一斤100元
Account,王振華,2024/05/31,15:22:47,照片已傳送
User,枋寮東區釣具（公務用）,2024/05/31,17:20:57,謝謝 會與父親討論
User,枋寮東區釣具（公務用）,2024/05/31,17:21:06,感謝您幫忙
Account,林鈺婷,2024/05/31,17:59:24,貼圖已傳送
User,枋寮東區釣具（公務用）,2024/06/03,14:06:31,老闆好 請問魷魚頭可先買一包試試嗎
Account,林鈺婷,2024/06/03,14:06:43,您好~當然可以喔
User,枋寮東區釣具（公務用）,2024/06/03,14:07:53,"謝謝您
再麻煩出貨 蛤仔肉2包、魷魚頭1包"
User,枋寮東區釣具（公務用）,2024/06/03,14:07:56,貼圖已傳送
Account,俐均,2024/06/03,14:29:02,貼圖已傳送
User,枋寮東區釣具（公務用）,2024/06/11,04:35:24,"謝謝您
再麻煩出貨魷魚頭2包 "
Account,自動回應訊息,2024/06/11,04:35:24,貼圖已傳送
Account,自動回應訊息,2024/06/11,04:35:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/06/11,04:35:27,貼圖已傳送
Account,自動回應訊息,2024/06/11,04:35:28,貼圖已傳送
Account,自動回應訊息,2024/06/11,04:35:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/06/25,06:47:53,"謝謝您
再麻煩出貨魷魚頭2包 "
Account,自動回應訊息,2024/06/25,06:47:54,貼圖已傳送
Account,自動回應訊息,2024/06/25,06:47:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/06/25,06:49:39,煩請安排［ 這週星期五 ］配送 謝謝
Account,自動回應訊息,2024/06/25,06:49:39,貼圖已傳送
Account,自動回應訊息,2024/06/25,06:49:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/07/18,19:02:41,"謝謝您
再麻煩出貨 蛤仔肉2包"
Account,自動回應訊息,2024/07/18,19:02:41,貼圖已傳送
Account,自動回應訊息,2024/07/18,19:02:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/18,23:31:20,店長好，上次拿給您看的秋刀魚5號可以嗎？
User,枋寮東區釣具（公務用）,2024/08/03,15:53:15,"謝謝您
再麻煩週2時出貨魷魚頭3包"
Account,自動回應訊息,2024/08/03,15:53:16,貼圖已傳送
Account,自動回應訊息,2024/08/03,15:53:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/08/03,15:53:17,貼圖已傳送
Account,自動回應訊息,2024/08/03,15:53:18,貼圖已傳送
Account,自動回應訊息,2024/08/03,15:53:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/08/16,14:25:11,您好 請問目前有劍蝦蝦仁嗎
Account,俐均,2024/08/16,15:26:50,"老闆好
目前沒有劍蝦仁"
User,枋寮東區釣具（公務用）,2024/08/16,15:42:12,沒問題 謝謝謝您
User,枋寮東區釣具（公務用）,2024/08/16,15:42:14,貼圖已傳送
Account,俐均,2024/08/16,15:43:38,貼圖已傳送
User,枋寮東區釣具（公務用）,2024/09/13,17:05:54,您好 請問下週一有配貨到我們這嗎
Account,林鈺婷,2024/09/13,17:11:11,星期一基本上沒有送枋寮喔，如果有需要送貨，在請司機另外安排喔
User,枋寮東區釣具（公務用）,2024/09/13,17:14:07,沒問題 但是另外安排的話數量有需多少為單位嗎 需叫4號秋刀
Account,林鈺婷,2024/09/13,17:22:42,老闆請問有急用嗎?如果幫您安排星期三方便嗎?
User,枋寮東區釣具（公務用）,2024/09/13,17:25:43,可以沒問題
User,枋寮東區釣具（公務用）,2024/09/13,17:26:15,不好意思沒注意到量不夠 謝謝幫忙
Account,林鈺婷,2024/09/13,17:40:06,貼圖已傳送
Account,俐均,2024/09/16,11:53:15,"老闆好
請問要幫您送幾件呢?"
User,枋寮東區釣具（公務用）,2024/09/16,14:12:44,您好 4號的需5件
User,枋寮東區釣具（公務用）,2024/09/16,14:12:57,請問有方便送嗎
Account,俐均,2024/09/16,14:14:06,"老闆好
星期三幫您送"
User,枋寮東區釣具（公務用）,2024/09/16,14:15:55,感謝幫忙 太謝謝了
Account,俐均,2024/09/16,14:32:19,貼圖已傳送
User,枋寮東區釣具（公務用）,2024/10/08,03:52:54,您好 秋刀4號*3箱 謝謝您
Account,自動回應訊息,2024/10/08,03:52:54,貼圖已傳送
Account,自動回應訊息,2024/10/08,03:52:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/10/14,18:00:59,您好 再煩請出貨4號秋刀5箱 謝謝
Account,俐均,2024/10/15,08:36:46,貼圖已傳送
User,枋寮東區釣具（公務用）,2024/10/17,12:36:47,您好，明日要訂秋刀魚4號* 6箱，再麻煩了 謝謝您
Account,俐均,2024/10/17,12:42:19,貼圖已傳送
User,枋寮東區釣具（公務用）,2024/10/17,22:09:39,您好，要麻煩再追加一箱4號秋刀魚
Account,自動回應訊息,2024/10/17,22:09:39,貼圖已傳送
Account,自動回應訊息,2024/10/17,22:09:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/10/17,22:11:45,明天10／18（五）再麻煩一起出喲☺️謝謝
Account,自動回應訊息,2024/10/17,22:11:45,貼圖已傳送
Account,自動回應訊息,2024/10/17,22:11:45,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/10/21,19:38:41,老闆好 再麻煩幫我們出貨秋刀魚1號*1箱
Account,自動回應訊息,2024/10/21,19:38:41,貼圖已傳送
Account,自動回應訊息,2024/10/21,19:38:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/10/21,19:38:43,貼圖已傳送
Account,自動回應訊息,2024/10/21,19:38:44,貼圖已傳送
Account,自動回應訊息,2024/10/21,19:38:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/10/21,23:46:30,老闆好，秋刀魚1號要星期四才到貨
User,枋寮東區釣具（公務用）,2024/10/22,02:04:50,"抱歉 是我打錯訂單了
再煩請幫取消1號的部分"
Account,自動回應訊息,2024/10/22,02:04:50,貼圖已傳送
Account,自動回應訊息,2024/10/22,02:04:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/10/22,02:05:29,請幫出貨秋刀魚3號×1箱 謝謝您
Account,自動回應訊息,2024/10/22,02:05:30,貼圖已傳送
Account,自動回應訊息,2024/10/22,02:05:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/10/22,02:05:32,貼圖已傳送
Account,自動回應訊息,2024/10/22,02:05:33,貼圖已傳送
Account,自動回應訊息,2024/10/22,02:05:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2024/12/03,07:10:13, 您好 請出4號秋刀魚*3件
Account,自動回應訊息,2024/12/03,07:10:14,貼圖已傳送
Account,自動回應訊息,2024/12/03,07:10:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2025/03/24,18:47:29,"您好 
謝謝您
再麻煩出貨 蛤仔肉2包"
Account,自動回應訊息,2025/03/24,18:47:30,貼圖已傳送
Account,自動回應訊息,2025/03/24,18:47:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,枋寮東區釣具（公務用）,2025/04/21,20:54:16,"您好 
謝謝您
再麻煩出貨 蛤仔肉2包"
Account,自動回應訊息,2025/04/21,20:54:17,貼圖已傳送
Account,自動回應訊息,2025/04/21,20:54:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
