帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/04/16,20:56:17,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/04/16,20:56:17,"牛哥歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,台南/義雄土魠魚羹,2025/04/16,22:24:28,照片已傳送
Account,自動回應訊息,2025/04/16,22:24:29,貼圖已傳送
Account,自動回應訊息,2025/04/16,22:24:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/04/17,08:53:48,老闆您好~
User,台南/義雄土魠魚羹,2025/04/17,14:03:22,你好
User,台南/義雄土魠魚羹,2025/04/17,14:03:39,你們有賣蝦仁嗎
Account,林鈺婷,2025/04/17,14:05:44,老闆您好~我們目前沒有賣蝦仁，另外我們目前台南都是用宅配的，運費要另外算
User,台南/義雄土魠魚羹,2025/04/17,14:09:04,喔喔
User,台南/義雄土魠魚羹,2025/04/17,14:09:07,沒關係
User,台南/義雄土魠魚羹,2025/04/17,14:09:09,謝謝你
User,台南/義雄土魠魚羹,2025/04/17,14:09:12,感恩
Account,林鈺婷,2025/04/17,17:02:38,貼圖已傳送
