帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/12/31,11:55:31,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/12/31,11:55:31,"Cindy公用歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Cindy公用(新竹/秉豐食品行),2024/12/31,11:57:17,貼圖已傳送
User,Cindy公用(新竹/秉豐食品行),2024/12/31,11:58:52,請幫我們報價   a級薄鹽鯖魚的營業報價 感謝
Account,俐均,2024/12/31,11:59:17,老闆娘您好
Account,俐均,2024/12/31,12:00:02,方便提供店家.電話.地址
User,Cindy公用(新竹/秉豐食品行),2024/12/31,12:04:26,您好 訂購業者會是另一家團膳業者 我是代為詢價 店家在新竹
User,Cindy公用(新竹/秉豐食品行),2024/12/31,12:07:40,我們目前已試過S號 一般用戶價格54元。想詢問 M尺寸的營業用報價是否符合預算來決定下單量
User,Cindy公用(新竹/秉豐食品行),2024/12/31,12:08:36,請問真空的和非真空的品質應該一樣只差別在包裝對嗎
Account,俐均,2024/12/31,12:17:29,"不好意思
要麻煩您先提供店家,電話.地址,我們才好方便報價給您"
Account,俐均,2024/12/31,12:18:12,"品質是一樣的,差在包裝喔~"
User,Cindy公用(新竹/秉豐食品行),2024/12/31,12:50:13,店家：秉豐食品行 地址： 新竹市明湖路648 巷18弄196號1樓 電話：0903-696712
User,Cindy公用(新竹/秉豐食品行),2024/12/31,12:52:03,請給我們薄鹽鯖魚M尺寸A級 的報價 謝謝
User,Cindy公用(新竹/秉豐食品行),2024/12/31,16:27:44,請問還需要很久嗎
Account,俐均,2024/12/31,16:44:27,"不好意思,讓您久等了
我們老闆已有跟老闆娘聯絡
星期五先寄樣品給您"
User,Cindy公用(新竹/秉豐食品行),2024/12/31,17:28:39,報價也有給了嗎
Account,俐均,2024/12/31,17:34:09,"不好意思
這部份再幫您問一下,謝謝"
Account,俐均,2025/01/02,14:01:47,"您好
我司老闆已有報價給老闆娘 130g±5%   43元/片(未稅)
(鯖魚油質較豐富的部份是前段,鯖魚樣品取前段尾段去掉) "
User,Cindy公用(新竹/秉豐食品行),2025/01/02,14:14:11,我們需要的是160克的喔 是不是有搞錯？
Account,俐均,2025/01/02,14:55:18,有請老闆致電給您喔~請問是這個號碼嗎?
User,Cindy公用(新竹/秉豐食品行),2025/01/02,15:14:36,可以打那支
Account,俐均,2025/01/02,15:18:40,好的
User,Cindy公用(新竹/秉豐食品行),2025/01/02,15:51:32,請問140克營業用的可以拍照參考嗎
Account,俐均,2025/01/02,16:07:18,照片已傳送
User,Cindy公用(新竹/秉豐食品行),2025/01/02,16:33:06,140的是哪一個呢
Account,俐均,2025/01/02,16:36:23,左圖第一個
User,Cindy公用(新竹/秉豐食品行),2025/01/02,17:54:38,這個太小了耶
User,Cindy公用(新竹/秉豐食品行),2025/01/02,18:26:00,M號的報價多少呢
Account,自動回應訊息,2025/01/02,18:26:00,貼圖已傳送
Account,自動回應訊息,2025/01/02,18:26:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
