帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/25,21:13:18,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/02/25,21:13:18,"我姓鍾歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,我姓鍾(屏東-韓金智能拉麵),2024/03/01,04:58:47,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米兩箱
日期／時間：3／1（五）09:00後都可送"
Account,自動回應訊息,2024/03/01,04:58:47,貼圖已傳送
Account,自動回應訊息,2024/03/01,04:58:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,我姓鍾(屏東-韓金智能拉麵),2024/03/04,14:11:01,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米4箱
日期／時間：3／5（二）09:00後都可送"
Account,俐均,2024/03/04,14:11:12,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/07,14:11:47,等等回覆您🙏
User,我姓鍾(屏東-韓金智能拉麵),2024/03/07,14:58:15,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米3箱
日期／時間：3／8（五）09:00後都可送"
Account,俐均,2024/03/07,15:03:36,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/11,14:04:38,明天不用謝謝👌👌👌
Account,林鈺婷,2024/03/11,14:05:01,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/14,14:05:33,你好我稍後回覆你不好意思🙏
Account,俐均,2024/03/14,14:06:43,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/14,16:36:03,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：3／15（五）09:00後都可送"
Account,俐均,2024/03/14,16:37:28,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/18,14:01:27,晚點回覆您🙏
Account,俐均,2024/03/18,14:03:16,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/18,19:11:24,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：3／18（二）09:00後都可送"
Account,自動回應訊息,2024/03/18,19:11:25,貼圖已傳送
Account,自動回應訊息,2024/03/18,19:11:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/03/21,14:02:58,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：3／22（五）09:00後都可送"
Account,俐均,2024/03/21,14:04:27,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/25,14:03:32,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：3／26（二）09:00後都可送"
Account,林鈺婷,2024/03/25,14:05:19,老闆不好意思~我們原本那款玉米粒售完了，現在剩台灣的，一箱15公斤 (一公斤多5元)，請問可以嗎?
User,我姓鍾(屏東-韓金智能拉麵),2024/03/25,14:07:08,等等喔
User,我姓鍾(屏東-韓金智能拉麵),2024/03/25,14:08:12,可以
User,我姓鍾(屏東-韓金智能拉麵),2024/03/25,14:08:20,(ok sign)
Account,俐均,2024/03/25,14:08:39,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/28,14:27:21,晚點跟你說👌
Account,俐均,2024/03/28,14:28:08,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/03/28,20:10:43,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米1箱
日期／時間：3／29（五）09:00後都可送"
Account,自動回應訊息,2024/03/28,20:10:44,貼圖已傳送
Account,自動回應訊息,2024/03/28,20:10:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/03/28,20:13:01,不好意思幫再我多加一箱
Account,自動回應訊息,2024/03/28,20:13:02,貼圖已傳送
Account,自動回應訊息,2024/03/28,20:13:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/03/31,14:06:30,👌👌👌
Account,自動回應訊息,2024/03/31,14:06:31,貼圖已傳送
Account,自動回應訊息,2024/03/31,14:06:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/04/01,14:05:36,等等傳數量給你🙏
Account,俐均,2024/04/01,14:11:41,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/04/01,16:06:58,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米5箱
日期／時間：4／2 09:00後都可送"
Account,俐均,2024/04/01,16:17:14,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/04/08,14:05:03,晚點回覆👍
Account,俐均,2024/04/08,14:05:30,貼圖已傳送
Account,俐均,2024/04/08,14:05:36,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/04/08,21:54:42,你好明天不用叫貨謝謝🙏
Account,自動回應訊息,2024/04/08,21:54:43,貼圖已傳送
Account,自動回應訊息,2024/04/08,21:54:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/04/11,14:01:33,明天也先不用還夠🙏👌
Account,俐均,2024/04/11,14:01:39,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/04/15,14:12:52,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米1箱
日期／時間：4／16 （二）09:00後都可送"
Account,俐均,2024/04/15,14:13:06,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/04/18,15:11:33,晚點通知👍
User,我姓鍾(屏東-韓金智能拉麵),2024/04/18,22:52:31,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米1箱
日期／時間：4／1 9（五）09:00後都可送"
Account,自動回應訊息,2024/04/18,22:52:31,貼圖已傳送
Account,自動回應訊息,2024/04/18,22:52:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/04/22,14:07:14,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米1箱
日期／時間：4／23（二）09:00後都可送"
Account,林鈺婷,2024/04/22,14:08:24,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/04/25,16:00:51,明天不用🙏
Account,林鈺婷,2024/04/25,16:01:08,貼圖已傳送
Account,林鈺婷,2024/04/25,16:01:17,明天請司機送發票過去喔~
Account,林鈺婷,2024/04/25,16:01:22,星期二沒有送到
User,我姓鍾(屏東-韓金智能拉麵),2024/04/25,16:01:51,好的感謝！
User,我姓鍾(屏東-韓金智能拉麵),2024/04/29,15:44:13,晚點回覆你👍
User,我姓鍾(屏東-韓金智能拉麵),2024/05/02,14:10:48,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：5／3（五）09:00後都可送"
Account,俐均,2024/05/02,14:12:36,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/06,14:02:47,晚點回覆你🙏
Account,林鈺婷,2024/05/06,14:02:51,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/06,20:11:35,明天不用👌🙏
Account,自動回應訊息,2024/05/06,20:11:35,貼圖已傳送
Account,自動回應訊息,2024/05/06,20:11:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/05/09,02:29:01,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：5／10（五）09:00後都可送"
Account,自動回應訊息,2024/05/09,02:29:01,貼圖已傳送
Account,自動回應訊息,2024/05/09,02:29:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/05/13,14:01:57,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：5／14（二）09:00後都可送"
User,我姓鍾(屏東-韓金智能拉麵),2024/05/13,14:02:18,1箱打錯🙏
Account,俐均,2024/05/13,14:02:18,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/13,14:02:39,1箱就好謝謝👌
Account,俐均,2024/05/13,14:30:20,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/16,14:05:56,晚點回覆👌
Account,俐均,2024/05/17,08:31:37,老闆您好
Account,俐均,2024/05/17,08:31:45,請問送幾箱呢?
User,我姓鍾(屏東-韓金智能拉麵),2024/05/17,08:32:57,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米1箱
日期／時間：5／17（五）09:00後都可送"
User,我姓鍾(屏東-韓金智能拉麵),2024/05/17,08:33:14,抱歉忘記🙏
Account,俐均,2024/05/17,08:41:58,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/20,14:40:58,晚點回覆👌
Account,俐均,2024/05/20,14:41:07,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/23,14:01:28,晚點回複👌
User,我姓鍾(屏東-韓金智能拉麵),2024/05/24,00:11:33,明天不用喔👌
Account,自動回應訊息,2024/05/24,00:11:33,貼圖已傳送
Account,自動回應訊息,2024/05/24,00:11:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/05/27,14:02:15,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：5／28（二）09:00後都可送"
Account,俐均,2024/05/27,14:02:20,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/30,14:05:56,晚點回覆👌
Account,俐均,2024/05/30,14:06:59,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/05/30,19:22:29,明天不用噢👌
Account,自動回應訊息,2024/05/30,19:22:30,貼圖已傳送
Account,自動回應訊息,2024/05/30,19:22:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/05/31,19:32:53,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米2箱
日期／時間：6/4（二）09:00後都可送"
Account,自動回應訊息,2024/05/31,19:32:53,貼圖已傳送
Account,自動回應訊息,2024/05/31,19:32:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,我姓鍾(屏東-韓金智能拉麵),2024/06/03,14:23:52,晚點回覆👌
Account,俐均,2024/06/03,14:24:26,5/31有下單囉
User,我姓鍾(屏東-韓金智能拉麵),2024/06/03,14:25:12,好的👌
Account,俐均,2024/06/03,14:25:33,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/06/06,15:36:07,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米1箱
日期／時間：6／7（五）09:00後都可送"
Account,林鈺婷,2024/06/06,15:37:56,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/06/10,14:05:50,晚點回覆🙏
Account,俐均,2024/06/10,17:35:15,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/06/17,14:10:00,明天不用謝謝👍
Account,俐均,2024/06/17,14:10:15,貼圖已傳送
User,我姓鍾(屏東-韓金智能拉麵),2024/06/19,19:34:00,"店名：韓金智能拉麵
公司抬頭：金鑫餐飲企業社
地址：屏東市民生路4-12號
統編：94293492
數量：冷凍玉米1箱
日期／時間：6／21（五）09:00後都可送"
