帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/03,17:52:24,塩魚1件，古老3件
Account,俐均,2024/01/03,17:52:42,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/07,18:22:21,塩魚3件
Account,自動回應訊息,2024/01/07,18:22:21,貼圖已傳送
Account,自動回應訊息,2024/01/07,18:22:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/10,19:53:14,古老2件，塩魚1件
Account,自動回應訊息,2024/01/10,19:53:15,貼圖已傳送
Account,自動回應訊息,2024/01/10,19:53:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/14,16:37:45,古老2件，玉米粒1件
Account,自動回應訊息,2024/01/14,16:37:46,貼圖已傳送
Account,自動回應訊息,2024/01/14,16:37:46,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/17,14:07:46,塩魚3件，古老3件
Account,林鈺婷,2024/01/17,14:08:26,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/24,17:02:24,塩魚2件，古老3件
Account,俐均,2024/01/24,17:08:22,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/28,16:18:51,塩魚2件
Account,自動回應訊息,2024/01/28,16:18:51,貼圖已傳送
Account,自動回應訊息,2024/01/28,16:18:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/01/31,14:41:30,塩魚2件，古老3件
Account,俐均,2024/01/31,14:43:08,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/06,09:53:17,明天有送貨嗎？
Account,林鈺婷,2024/02/06,10:13:07,老闆您好～明天有送喔
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/06,10:21:23,塩魚3件，古老3件
Account,林鈺婷,2024/02/06,10:30:28,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/14,11:25:56,古老2件，塭魚2件
Account,林鈺婷,2024/02/14,12:16:15,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/18,16:30:29,古老2件
Account,自動回應訊息,2024/02/18,16:30:29,貼圖已傳送
Account,自動回應訊息,2024/02/18,16:30:29,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/21,16:29:35,塩魚2件
Account,林鈺婷,2024/02/21,16:29:41,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/25,13:40:41,26日送古老4件，塩魚2件
Account,自動回應訊息,2024/02/25,13:40:41,貼圖已傳送
Account,自動回應訊息,2024/02/25,13:40:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/25,15:10:22,肉魚5/6是原本我們叫的型號嗎？
Account,自動回應訊息,2024/02/25,15:10:22,貼圖已傳送
Account,自動回應訊息,2024/02/25,15:10:22,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/26,06:49:34,古老十1件
Account,自動回應訊息,2024/02/26,06:49:35,貼圖已傳送
Account,自動回應訊息,2024/02/26,06:49:35,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/02/26,08:32:01,比您之前叫的小一個規格
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/26,09:04:31,有大，或者同規格的嗎？
Account,林鈺婷,2024/02/26,09:12:18,不好意思~目前只有這一種規格
User,內埔/圓夢美食坊(MAAGZ0000),2024/02/28,17:28:44,塩魚2件
Account,林鈺婷,2024/02/28,17:29:26,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/02,14:35:48,古老3件，塩魚1件
Account,自動回應訊息,2024/03/02,14:35:49,貼圖已傳送
Account,自動回應訊息,2024/03/02,14:35:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/06,17:03:19,古老1件，塩魚2件
Account,俐均,2024/03/06,17:06:32,貼圖已傳送
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/10,16:16:32,古老2件，塩魚，2件
Account,自動回應訊息,2024/03/10,16:16:33,貼圖已傳送
Account,自動回應訊息,2024/03/10,16:16:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/11,09:59:12,有250~300格，規吳郭魚嗎？
Account,林鈺婷,2024/03/11,10:40:16,老闆不好意思～目前沒有
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/11,10:42:03,貼圖已傳送
Account,王振華,2024/03/12,01:39:58,老闆好，我問看看，看下禮拜是否可到貨
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/12,05:50:26,貼圖已傳送
Account,自動回應訊息,2024/03/12,05:50:27,貼圖已傳送
Account,自動回應訊息,2024/03/12,05:50:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/13,15:29:28,古老3件，1件
User,內埔/圓夢美食坊(MAAGZ0000),2024/03/13,15:29:44,塩魚
