帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:18
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/04/09,15:31:19,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/04/09,15:31:19,"Johnny歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,Johnny,2025/04/09,15:31:34,貼圖已傳送
Account,林鈺婷,2025/04/09,15:32:49,您好~請問是哪間店家?
User,Johnny,2025/04/09,15:34:25,照片已傳送
User,Johnny,2025/04/09,15:34:33,照片已傳送
User,Johnny,2025/04/09,15:34:45,您好   我想詢問鯖魚的部分
User,Johnny,2025/04/09,15:35:12,"我們一間店舖  一個禮拜約使用8公斤
想了解價格與配合方式"
Account,林鈺婷,2025/04/09,15:40:33,您好~我們目前只有送到高雄，鼓山區固定星期一、三、五送貨
Account,林鈺婷,2025/04/09,15:40:39,請問有大概使用什麼規格嗎?
User,Johnny,2025/04/09,15:43:00,M
Account,林鈺婷,2025/04/09,15:43:25,我們M一盒4公斤1120元(未稅)
