帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,潮州/萫萫便當(VV12T5000),2024/11/29,17:06:14,萫萫清粥小菜
Account,林鈺婷,2024/11/29,17:08:12,老闆娘您好~
User,潮州/萫萫便當(VV12T5000),2024/12/23,06:01:01,有白帶魚嗎
Account,自動回應訊息,2024/12/23,06:01:02,貼圖已傳送
Account,自動回應訊息,2024/12/23,06:01:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/12/23,09:02:18,"有的喔~我們有3/4、4/5、5/6三種規格
都一箱1250元"
User,潮州/萫萫便當(VV12T5000),2024/12/23,09:48:27,那今天可以嘛煩你們的外務過來看看
Account,林鈺婷,2024/12/23,10:06:07,那今天方便一起過去收帳款嗎？
User,潮州/萫萫便當(VV12T5000),2024/12/23,10:08:04,下午過來看看
Account,林鈺婷,2024/12/23,10:53:37,貼圖已傳送
User,潮州/萫萫便當(VV12T5000),2025/02/06,13:21:16,明天一箱白帶魚
Account,林鈺婷,2025/02/06,14:11:00,貼圖已傳送
User,潮州/萫萫便當(VV12T5000),2025/02/10,18:35:06,白帶兩箱要大塊的， 挪威鹹魚兩箱
Account,自動回應訊息,2025/02/10,18:35:07,貼圖已傳送
Account,自動回應訊息,2025/02/10,18:35:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/萫萫便當(VV12T5000),2025/02/26,13:33:08,挪威鹹魚2.白帶魚2
User,潮州/萫萫便當(VV12T5000),2025/02/26,13:33:53,白帶魚要大塊的
Account,俐均,2025/02/26,14:00:43,貼圖已傳送
User,潮州/萫萫便當(VV12T5000),2025/03/04,14:23:05,黃金柳葉魚大的一箱多少錢幾尾
Account,林鈺婷,2025/03/04,14:27:37,我們目前比較大的是L號的 一箱630元 一公斤，大約90-105尾左右
User,潮州/萫萫便當(VV12T5000),2025/03/13,12:48:34,挪威鹹魚。大的白帶魚，各一箱
Account,俐均,2025/03/13,12:48:59,"老闆好
明天幫您送過去"
User,潮州/萫萫便當(VV12T5000),2025/03/13,12:49:11,好
User,潮州/萫萫便當(VV12T5000),2025/03/18,14:34:33,挪威鹹魚白帶魚。各一箱
Account,俐均,2025/03/18,14:36:32,貼圖已傳送
User,潮州/萫萫便當(VV12T5000),2025/03/25,10:03:07,挪威鹹魚蒲燒鯛白帶魚大的各一箱
Account,林鈺婷,2025/03/25,10:06:42,貼圖已傳送
User,潮州/萫萫便當(VV12T5000),2025/04/02,14:13:42, 今天還可以送一箱挪威鹹魚大的嗎
Account,俐均,2025/04/02,14:24:34,"老闆娘好
幫您問一下司機喔~"
User,潮州/萫萫便當(VV12T5000),2025/04/02,14:24:57,好
Account,☆羅惠君☆,2025/04/02,14:49:37,老闆娘  已請司機安排喔
