帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,三地門/答給發力(2EZX00000),2024/01/03,12:35:02,黑輪3公斤1包怎麼賣
Account,林鈺婷,2024/01/03,12:35:17,一包300元喔
User,三地門/答給發力(2EZX00000),2024/01/03,12:37:35,"明天
鯖魚單凍1箱
柳葉魚1箱
黑輪3公斤1包"
Account,林鈺婷,2024/01/03,12:38:40,貼圖已傳送
Account,林鈺婷,2024/01/03,12:43:21,照片已傳送
Account,林鈺婷,2024/01/03,12:43:21,照片已傳送
Account,林鈺婷,2024/01/03,12:43:36,老闆您好~請問黑輪要長條狀的還是圓形的呢?
User,三地門/答給發力(2EZX00000),2024/01/03,12:50:29,長條
Account,林鈺婷,2024/01/03,12:54:39,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/01/24,22:28:46,1/25（四）單凍鯖魚1箱
Account,自動回應訊息,2024/01/24,22:28:47,貼圖已傳送
Account,自動回應訊息,2024/01/24,22:28:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三地門/答給發力(2EZX00000),2024/02/21,09:27:59,明天1箱單凍鯖魚
Account,林鈺婷,2024/02/21,09:45:27,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/03/18,09:38:35,我要1箱單凍鯖魚
User,三地門/答給發力(2EZX00000),2024/03/18,09:38:47,還有辦法送嗎？今天
Account,林鈺婷,2024/03/18,09:42:03,可以喔～今天幫您送過去
User,三地門/答給發力(2EZX00000),2024/03/18,09:47:22,謝謝
Account,林鈺婷,2024/03/18,10:20:19,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/03/31,12:59:50,明天1箱單凍鯖魚
Account,自動回應訊息,2024/03/31,12:59:50,貼圖已傳送
Account,自動回應訊息,2024/03/31,12:59:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/04/01,11:35:24,你好。可以用匯款的方式嗎
Account,俐均,2024/04/01,11:37:12,可以喔~
Account,俐均,2024/04/01,11:37:30,照片已傳送
User,三地門/答給發力(2EZX00000),2024/04/01,11:37:32,今天的貨款。我用匯的
Account,俐均,2024/04/01,11:37:39,好的
Account,俐均,2024/04/01,11:37:49,我跟司機說
User,三地門/答給發力(2EZX00000),2024/04/01,11:37:52,我今天貨款多少
User,三地門/答給發力(2EZX00000),2024/04/01,11:37:54,好的
Account,俐均,2024/04/01,11:38:26,1134元
User,三地門/答給發力(2EZX00000),2024/04/01,11:38:45,店沒人。可以麻煩司機真假幫我放到樓下對面白色的冷凍冰箱
Account,俐均,2024/04/01,11:40:29,"好
謝謝您"
User,三地門/答給發力(2EZX00000),2024/04/01,11:41:37,謝謝
User,三地門/答給發力(2EZX00000),2024/04/01,11:48:14,"嗨！我已經從824 LINE Bank (帳號末五碼：61642) 轉帳新臺幣$1,134元到您的帳戶囉 (第一商業銀行，帳號末五碼：68240)！請確認一下！"
Account,俐均,2024/04/01,11:50:24,"好的
我們請會計查
謝謝您"
User,三地門/答給發力(2EZX00000),2024/04/09,19:05:03,柳葉魚1箱
Account,自動回應訊息,2024/04/09,19:05:04,貼圖已傳送
Account,自動回應訊息,2024/04/09,19:05:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/10,08:34:31,"老闆娘您好
星期四幫您送喔~"
Account,俐均,2024/04/10,11:54:04,"老闆娘您好
請問是昨天發的訊息裹粉柳葉魚嗎?"
User,三地門/答給發力(2EZX00000),2024/04/11,15:08:12,單凍鯖魚調漲多少
Account,林鈺婷,2024/04/11,15:10:37,每公斤調漲15元，一箱1170元
User,三地門/答給發力(2EZX00000),2024/04/17,19:58:02,明天1箱單凍鯖魚
Account,自動回應訊息,2024/04/17,19:58:02,貼圖已傳送
Account,自動回應訊息,2024/04/17,19:58:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/04/28,16:00:57,明天1箱單凍鯖魚
Account,自動回應訊息,2024/04/28,16:00:57,貼圖已傳送
Account,自動回應訊息,2024/04/28,16:00:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/05/22,14:58:09,明天1箱單凍鯖魚
Account,俐均,2024/05/22,14:58:16,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/06/04,15:00:06,禮拜四單凍鯖魚1箱
Account,林鈺婷,2024/06/04,15:02:29,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/07/07,13:19:50,明天單凍鯖魚1箱
Account,自動回應訊息,2024/07/07,13:19:50,貼圖已傳送
Account,自動回應訊息,2024/07/07,13:19:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/07/30,20:23:28,禮拜四。單凍鯖魚1箱
Account,自動回應訊息,2024/07/30,20:23:28,貼圖已傳送
Account,自動回應訊息,2024/07/30,20:23:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/08/20,12:46:02,禮拜四。單凍鯖魚1箱
Account,俐均,2024/08/20,14:29:59,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/09/03,11:47:37,禮拜四一箱單凍鯖魚加1箱柳葉魚
Account,林鈺婷,2024/09/03,11:52:53,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/10/06,16:46:40,明天一箱單凍鯖魚
Account,自動回應訊息,2024/10/06,16:46:40,貼圖已傳送
Account,自動回應訊息,2024/10/06,16:46:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/10/20,17:39:36,明天。單凍鯖魚一箱
Account,自動回應訊息,2024/10/20,17:39:37,貼圖已傳送
Account,自動回應訊息,2024/10/20,17:39:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/11/06,16:52:26,明天單凍鯖魚ㄧ箱
Account,林鈺婷,2024/11/06,16:53:07,貼圖已傳送
Account,林鈺婷,2024/11/06,16:53:52,老闆娘您好~我們鯖魚11/1起有調漲價格喔
User,三地門/答給發力(2EZX00000),2024/11/06,19:08:04,了解
Account,自動回應訊息,2024/11/06,19:08:05,貼圖已傳送
Account,自動回應訊息,2024/11/06,19:08:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/11/17,22:37:37,明天。單凍鯖魚1箱
Account,自動回應訊息,2024/11/17,22:37:37,貼圖已傳送
Account,自動回應訊息,2024/11/17,22:37:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/12/01,15:56:21,明天單凍鯖魚1箱
Account,自動回應訊息,2024/12/01,15:56:21,貼圖已傳送
Account,自動回應訊息,2024/12/01,15:56:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2024/12/04,08:48:11,明天。單凍鯖魚1箱
Account,俐均,2024/12/04,12:18:43,貼圖已傳送
User,三地門/答給發力(2EZX00000),2024/12/10,18:27:28,請問。鯖魚是有醃過的嗎？
Account,王振華,2024/12/11,01:07:46,老闆娘好，鯖魚是薄鹽的
User,三地門/答給發力(2EZX00000),2024/12/14,12:41:29,禮拜一。一箱單凍鯖魚
Account,自動回應訊息,2024/12/14,12:41:30,貼圖已傳送
Account,自動回應訊息,2024/12/14,12:41:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2025/01/13,09:41:26,禮拜四。單凍鯖魚1箱
Account,俐均,2025/01/13,09:41:56,"老闆娘好
星期四幫您送去謝謝"
User,三地門/答給發力(2EZX00000),2025/01/15,19:01:17,明天星期四。我要增加一箱單凍鯖魚
Account,自動回應訊息,2025/01/15,19:01:18,貼圖已傳送
Account,自動回應訊息,2025/01/15,19:01:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2025/01/16,15:59:13,不好意思
User,三地門/答給發力(2EZX00000),2025/01/16,15:59:30,今天的貨。沒有送到
Account,林鈺婷,2025/01/16,16:03:19,不好意思~因為過年前貨運量比較大，稍等一下
User,三地門/答給發力(2EZX00000),2025/01/23,07:48:44,今天。單凍鯖魚1箱。謝謝
Account,自動回應訊息,2025/01/23,07:48:45,貼圖已傳送
Account,自動回應訊息,2025/01/23,07:48:45,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三地門/答給發力(2EZX00000),2025/03/31,16:03:40,禮拜三有送三地門嗎
Account,林鈺婷,2025/03/31,16:09:45,稍等幫您確認一下
Account,林鈺婷,2025/03/31,16:17:39,您好~如果有需要的話，星期三可以幫您送喔
User,三地門/答給發力(2EZX00000),2025/03/31,16:42:28,謝謝。禮拜三單凍鯖魚1箱
Account,俐均,2025/03/31,16:44:13,貼圖已傳送
User,三地門/答給發力(2EZX00000),2025/03/31,21:51:49,不好意思。2箱單凍鯖魚
Account,自動回應訊息,2025/03/31,21:51:50,貼圖已傳送
Account,自動回應訊息,2025/03/31,21:51:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
