帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,萬巒/海星自助餐(CVY5H0000),2024/01/02,06:01:08,鹽魚2箱
Account,自動回應訊息,2024/01/02,06:01:09,貼圖已傳送
Account,自動回應訊息,2024/01/02,06:01:09,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/01/04,01:33:48,鹽魚1箱
Account,自動回應訊息,2024/01/04,01:33:48,貼圖已傳送
Account,自動回應訊息,2024/01/04,01:33:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/01/08,07:50:49,鹽魚，烏魚，各1
Account,自動回應訊息,2024/01/08,07:50:50,貼圖已傳送
Account,自動回應訊息,2024/01/08,07:50:50,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/08,09:57:55,老闆娘不好意思～原本的烏魚切塊缺貨中，先帶另外一種的過去給您參考看看
User,萬巒/海星自助餐(CVY5H0000),2024/01/11,07:25:51,鹽魚1箱
Account,自動回應訊息,2024/01/11,07:25:51,貼圖已傳送
Account,自動回應訊息,2024/01/11,07:25:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/01/18,07:00:10,鹽魚2箱
Account,自動回應訊息,2024/01/18,07:00:11,貼圖已傳送
Account,自動回應訊息,2024/01/18,07:00:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/01/22,07:55:44,鹽魚1箱
Account,自動回應訊息,2024/01/22,07:55:45,貼圖已傳送
Account,自動回應訊息,2024/01/22,07:55:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/01/25,02:35:51,鹽魚2箱
Account,自動回應訊息,2024/01/25,02:35:52,貼圖已傳送
Account,自動回應訊息,2024/01/25,02:35:52,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/01/29,07:51:28,鹽魚1箱
Account,自動回應訊息,2024/01/29,07:51:29,貼圖已傳送
Account,自動回應訊息,2024/01/29,07:51:29,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/02/01,08:48:10,鹽魚1箱
Account,林鈺婷,2024/02/01,08:49:28,貼圖已傳送
User,萬巒/海星自助餐(CVY5H0000),2024/02/04,23:55:34,鹽魚，2箱
Account,自動回應訊息,2024/02/04,23:55:34,貼圖已傳送
Account,自動回應訊息,2024/02/04,23:55:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/02/19,00:10:33,鹽魚，1箱
Account,自動回應訊息,2024/02/19,00:10:34,貼圖已傳送
Account,自動回應訊息,2024/02/19,00:10:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/02/22,07:55:55,鹽魚2箱
Account,自動回應訊息,2024/02/22,07:55:55,貼圖已傳送
Account,自動回應訊息,2024/02/22,07:55:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/02/29,07:08:10,鹽 魚2箱
Account,自動回應訊息,2024/02/29,07:08:11,貼圖已傳送
Account,自動回應訊息,2024/02/29,07:08:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,萬巒/海星自助餐(CVY5H0000),2024/03/04,07:30:12,鹽魚。2箱
Account,自動回應訊息,2024/03/04,07:30:13,貼圖已傳送
