帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:19
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/04,14:16:13,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/02/04,14:16:13,"小曼♪歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/04,15:19:44,"您好我這邊是 
後庄成功路 -香檳烤鴨
要訂購 薄鹽鯖魚 *1"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/04,15:19:51,照片已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/04,15:20:59,跟虱目魚排
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/04,15:21:10,照片已傳送
Account,林鈺婷,2025/02/04,15:25:11,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/04,15:27:13,你們有訂購電話嗎  有時打電話比較方便
Account,俐均,2025/02/04,15:30:24,有的
Account,俐均,2025/02/04,15:31:20,"老闆娘
08-7807373
撥進來請找988部門
謝謝"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/04,15:51:24,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/05,14:24:32,不用 謝謝
Account,俐均,2025/02/05,14:25:33,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/09,18:59:32,請問價格
Account,自動回應訊息,2025/02/09,18:59:33,貼圖已傳送
Account,自動回應訊息,2025/02/09,18:59:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/09,18:59:53,照片已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/09,18:59:55,照片已傳送
Account,自動回應訊息,2025/02/09,18:59:55,貼圖已傳送
Account,自動回應訊息,2025/02/09,18:59:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,自動回應訊息,2025/02/09,18:59:57,貼圖已傳送
Account,自動回應訊息,2025/02/09,18:59:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/02/09,20:33:14,照片已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/09,20:34:19,貼圖已傳送
Account,自動回應訊息,2025/02/09,20:34:20,貼圖已傳送
Account,自動回應訊息,2025/02/09,20:34:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/18,14:22:54,"你好 明天需要一箱
虱目魚排
能送嗎"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/18,14:26:13,不好意思 先取消 還有庫存
Account,林鈺婷,2025/02/18,14:26:39,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/25,14:24:33,你好 我需要鯖魚 跟 虱目魚各一
Account,俐均,2025/02/25,14:26:17,貼圖已傳送
Account,俐均,2025/02/25,14:27:20,"老闆娘好
請問是虱目魚排一件嗎?"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/25,14:35:49,這裡
Account,林鈺婷,2025/02/25,14:36:47,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/25,14:52:57,"再加一箱玉米 （10包對嗎？
現在一樣一箱600嗎"
Account,林鈺婷,2025/02/25,15:07:32,是得沒錯喔
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/02/25,15:16:53,"👌 那一箱玉米
謝謝"
Account,林鈺婷,2025/02/25,15:20:26,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:07:23,"鯖魚一箱
虱目魚排一箱
玉米一箱"
Account,俐均,2025/03/12,15:08:24,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:13:56,再加青花菜🥦1k 10包（一箱）
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:14:05,550$嗎
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:15:13,請問你們牛肉片是哪種
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:15:30,可以只叫1k 嗎
Account,林鈺婷,2025/03/12,15:15:33,是的喔~
Account,林鈺婷,2025/03/12,15:15:54,可以喔，我們剛好一公斤一包~稍等傳圖片給您看
Account,林鈺婷,2025/03/12,15:16:09,照片已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:19:36,牛肉只有一種對嗎
Account,林鈺婷,2025/03/12,15:20:47,對~目前只有一種
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:37:36,好 那我先牛肉片1k 
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:37:57,還有這個
Account,林鈺婷,2025/03/12,15:38:26,"鯖魚一箱
虱目魚排一箱
玉米一箱
青花菜一箱
牛肉片一箱"
Account,林鈺婷,2025/03/12,15:38:31,明天總共這樣對嗎?
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:39:06,牛肉片是一小包～ 
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,15:39:44,"1k 是一包對嗎？
10k一箱"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,16:01:00,"所以是
鯖魚一箱
虱目魚排一箱
玉米一箱
青花菜一箱

牛肉片一包"
Account,俐均,2025/03/12,16:35:42,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/12,19:52:14,謝謝
Account,自動回應訊息,2025/03/12,19:52:15,貼圖已傳送
Account,自動回應訊息,2025/03/12,19:52:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/13,11:33:50,"請問牛肉片價格是22還是240？
我當初收到的報價是220"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/13,11:33:54,照片已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/13,11:33:54,照片已傳送
Account,林鈺婷,2025/03/13,11:35:35,不好意思~我們3月1號有調漲價格
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/13,14:32:45,了解
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,14:20:09,"您好我要訂
鯖魚一箱
青花菜一箱
白花菜一箱"
Account,林鈺婷,2025/03/26,14:23:31,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,14:29:58,謝謝
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,14:30:35,你好想先請問價格
Account,林鈺婷,2025/03/26,14:31:17,請問是明天訂單的金額嗎?
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,14:43:00,對
Account,林鈺婷,2025/03/26,14:44:39,請問白花菜要小包裝還是散裝的呢?
Account,林鈺婷,2025/03/26,14:44:48,"小包裝的550元
散裝的500元"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,14:59:13,"跟我上次叫的青花一樣就好
來的時候是一箱 我沒拆開看"
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,14:59:43,散的意思是 一大包嗎
Account,林鈺婷,2025/03/26,15:02:50,對~
Account,林鈺婷,2025/03/26,15:02:53,貼圖已傳送
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,15:05:38,散的 謝謝
Account,林鈺婷,2025/03/26,15:12:02,貼圖已傳送
Account,林鈺婷,2025/03/26,15:24:55,這樣總共2200元
User,大寮/香檳烤鴨燒臘(V1DUGX000),2025/03/26,15:25:57,謝謝
